"pathway","distance","rank"
"PROS",20.5817815422586,1
"PTPRM",5.04037865751005,2
"COLLAGEN",4.90705628103742,3
"LAMININ",4.75510770360972,4
"APP",3.73549154925271,5
"NRXN",2.1666084880672,6
"IGF",1.78814464467807,7
"RELN",1.19793353466977,8
"MPZ",0.793768631928815,9
"CLDN",0.784372744109004,10
"Testosterone",0.783259458546705,11
"CD39",0.748201480625936,12
"CDH",0.743452676327147,13
"Estradiol",0.740301829657486,14
"Androstenedione",0.716689754587512,15
"JAM",0.648675740372068,16
"NCAM",0.610689865413615,17
"CADM",0.575894434544641,18
"NRG",0.552760908990839,19
"ADGRL",0.546362695632052,20
"PDGF",0.251780595654169,21
"PCDH",0.244503184724133,22
