"pathway","distance","rank"
"APP",30.6597701459859,1
"PROS",30.2280787238336,2
"EPHB",29.0918428878196,3
"Cholesterol",17.8545178641543,4
"Testosterone",10.7013345247539,5
"NRXN",4.15483224497186,6
"PTPRM",3.87482752340147,7
"SEMA6",3.0145545439949,8
"NCAM",2.49516292017065,9
"CDH",1.61518347573863,10
"NRG",1.55161437470933,11
"NGL",1.41318873349912,12
"Androstenedione",1.3955990927273,13
"JAM",1.05343493341475,14
"Netrin",0.900230322709044,15
"NECTIN",0.733494328225151,16
"EPHA",0.71739624394013,17
"CADM",0.604780368457281,18
"ADGRL",0.547296303093033,19
"MPZ",0.495392341677558,20
"COLLAGEN",0.4770382897994,21
"LAMININ",0.265030876680061,22
