"pathway","distance","rank"
"PROS",22.1558446421472,1
"JAM",21.9602529924401,2
"NRXN",7.46424186062758,3
"GAP",6.46191247721408,4
"LAMININ",4.6947652686932,5
"COLLAGEN",4.38441995840157,6
"Testosterone",4.16613955473157,7
"CDH",2.64881943126779,8
"CLDN",1.54764513792319,9
"RELN",1.3083365492013,10
"Estradiol",1.10981887534596,11
"NRG",1.09453365079783,12
"Androstenedione",0.786158766440522,13
"NCAM",0.586130189470309,14
"PTPRM",0.550226965086356,15
"APP",0.409062916022331,16
"EPHA",0.323900730018568,17
"CADM",0.219023221442652,18
"BMP",0.209368975411493,19
"ADGRL",0.208542384479735,20
"MPZ",0.146651307387262,21
