"pathway","distance","rank"
"PROS",14.8121671829531,1
"APP",5.70761136663087,2
"Androstenedione",5.42526955150706,3
"SEMA6",4.96852768197449,4
"EPHA",4.23717364517961,5
"CDH",3.40267847484429,6
"CADM",3.35485204752642,7
"PTPRM",2.80127615005119,8
"Testosterone",2.42143180142134,9
"NCAM",2.16610779949856,10
"NGL",1.96528300608985,11
"Cholesterol",1.29211240503448,12
"NRXN",0.938153441680162,13
"Netrin",0.535661476015068,14
"COLLAGEN",0.512290923445857,15
"JAM",0.480616837029352,16
"NECTIN",0.415075116188243,17
"NRG",0.410809798190642,18
"LAMININ",0.402744069081309,19
"IGF",0.381436758101263,20
"EPHB",0.361005827981359,21
"PDGF",0.346303222695815,22
"ADGRL",0.265840950679938,23
"MPZ",0.238941944415961,24
