"celltype","pathway","cluster","dataset","weight"
"Endothelial","ADGRL","C4","crypto",0.002555205613008
"Endothelial","APP","C4","crypto",0.000437150848029163
"Endothelial","CD45","C4","crypto",0.000342252230251597
"Endothelial","EPHA","C2","healthy",0.000126991636335834
"Endothelial","RELN","C2","healthy",7.77226392125187e-05
"Endothelial","SEMA3","C4","healthy",0.000199530570317929
"Endothelial","SEMA6","C2","healthy",6.38745499402081e-05
"Fibroblast","ADGRL","C4","crypto",0.0143349326693341
"Fibroblast","CADM","C2","crypto",0.00220877093955233
"Fibroblast","COLLAGEN","C4","crypto",0.00015574524108078
"Fibroblast","COLLAGEN","C4","healthy",0.00105395951775499
"Fibroblast","Cholesterol","C1","crypto",4.83722812163447e-05
"Fibroblast","EPHA","C2","crypto",0.000576269731911089
"Fibroblast","EPHA","C2","healthy",0.000275833723393066
"Fibroblast","IGF","C4","crypto",0.00398242945762499
"Fibroblast","IGF","C4","healthy",0.00132076442005205
"Fibroblast","LAMININ","C4","crypto",0.00509163851136206
"Fibroblast","LAMININ","C4","healthy",0.0045700490607255
"Fibroblast","NOTCH","C2","crypto",1.01878969272071e-05
"Fibroblast","NRG","C4","crypto",3.64990278447096e-05
"Fibroblast","NRXN","C4","crypto",0.000428694108398883
"Fibroblast","PDGF","C4","crypto",0.00185026906302148
"Fibroblast","PDGF","C4","healthy",0.000340678641893572
"Fibroblast","PTN","C1","crypto",3.88481422180126e-05
"Fibroblast","PTPRM","C4","crypto",0.00204634096508205
"Fibroblast","PTPRM","C4","healthy",0.00458512217927341
"Fibroblast","SLIT","C2","crypto",8.59531899001256e-05
"Leydig","ADGRL","C4","crypto",0.00144075291303378
"Leydig","ADGRL","C4","healthy",0.0519304221159664
"Leydig","APP","C2","healthy",0.00388221149309896
"Leydig","Androstenedione","C1","healthy",0.00456943917500064
"Leydig","Androstenedione","C4","crypto",8.84352236054786e-05
"Leydig","BMP","C1","healthy",0.0060914836544109
"Leydig","CNTN","C4","healthy",0.000129064567484424
"Leydig","COLLAGEN","C4","crypto",0.000293961777757001
"Leydig","COLLAGEN","C4","healthy",0.0213023184231987
"Leydig","Cholesterol","C1","crypto",0.000604888076813706
"Leydig","Cholesterol","C1","healthy",0.0198688310322166
"Leydig","Cort","C1","healthy",0.00169046177433303
