"sender","receiver","pathway","cluster","dataset","weight"
"Sertoli","SSC","LAMININ","C4","healthy",0.00537280976945846
"SSC","Sertoli","LAMININ","C4","healthy",0.00341548395121115
"Spermatocyte","Sertoli","LAMININ","C4","healthy",0.00233033914479798
"Spermatid","Sertoli","LAMININ","C4","healthy",0.00200599423704695
"Sertoli","Sertoli","LAMININ","C4","healthy",0.0976825909187997
"Leydig","Sertoli","LAMININ","C4","healthy",0.00434628302744554
"Myoid","Sertoli","LAMININ","C4","healthy",0.0089533748570212
"Fibroblast","Sertoli","LAMININ","C4","healthy",0.00358004548524031
"SSC","Leydig","LAMININ","C4","healthy",0.000833700415686512
"Sertoli","Leydig","LAMININ","C4","healthy",0.0199265421029274
"Leydig","Leydig","LAMININ","C4","healthy",0.000871035333106972
"Myoid","Leydig","LAMININ","C4","healthy",0.0017793702620244
"Sertoli","Myoid","LAMININ","C4","healthy",0.0071853748444248
"Sertoli","Fibroblast","LAMININ","C4","healthy",0.000990003575485185
"Sertoli","SSC","ADGRL","C4","healthy",0.00306626274252765
"Leydig","SSC","ADGRL","C4","healthy",0.000984446005814934
"SSC","Sertoli","ADGRL","C4","healthy",0.00664387979168814
"Spermatocyte","Sertoli","ADGRL","C4","healthy",0.0026929222794366
"Spermatid","Sertoli","ADGRL","C4","healthy",0.00678781237418216
"Sertoli","Sertoli","ADGRL","C4","healthy",0.0676048710579486
"Leydig","Sertoli","ADGRL","C4","healthy",0.013698253506237
"SSC","Leydig","ADGRL","C4","healthy",0.00223183828596392
"Spermatocyte","Leydig","ADGRL","C4","healthy",0.000911918633858512
"Spermatid","Leydig","ADGRL","C4","healthy",0.0022883052798209
"Sertoli","Leydig","ADGRL","C4","healthy",0.0226535745478984
"Leydig","Leydig","ADGRL","C4","healthy",0.00458104292818635
"Sertoli","Myoid","ADGRL","C4","healthy",0.00360830084181215
"Sertoli","SSC","CADM","C4","healthy",0.0105958180261325
"Spermatocyte","Spermatocyte","CADM","C4","healthy",0.00421552006485251
"Sertoli","Spermatocyte","CADM","C4","healthy",0.0295247710342024
"Sertoli","Spermatid","CADM","C4","healthy",0.00733595452174186
"SSC","Sertoli","CADM","C4","healthy",0.00690441412207344
"Spermatocyte","Sertoli","CADM","C4","healthy",0.0159892287893273
"Sertoli","Sertoli","CADM","C4","healthy",0.0495886682977258
"Sertoli","SSC","PTPRM","C4","healthy",0.00879753086756437
"SSC","Sertoli","PTPRM","C4","healthy",0.00879753086756437
"Sertoli","Sertoli","PTPRM","C4","healthy",0.0587612371536477
"Fibroblast","Sertoli","PTPRM","C4","healthy",0.0022925610896367
"Sertoli","Fibroblast","PTPRM","C4","healthy",0.0022925610896367
"SSC","Spermatid","NRG","C4","healthy",0.000661902906698481
"Spermatocyte","Spermatid","NRG","C4","healthy",0.0011809444588325
"Leydig","Spermatid","NRG","C4","healthy",0.00104769253069875
"SSC","Sertoli","NRG","C4","healthy",0.009696225712306
"Spermatocyte","Sertoli","NRG","C4","healthy",0.0163678607005174
"Spermatid","Sertoli","NRG","C4","healthy",0.00738493508745596
"Sertoli","Sertoli","NRG","C4","healthy",0.00482774218313998
"Leydig","Sertoli","NRG","C4","healthy",0.0164107887219328
"Sertoli","SSC","COLLAGEN","C4","healthy",0.000460533002981383
"Sertoli","Sertoli","COLLAGEN","C4","healthy",0.0182294659257824
