"pathway","distance","rank"
"JAM",16.0839370184599,1
"ACTIVIN",14.6534924996942,2
"CADM",14.6093813446848,3
"ANGPTL",14.1119828591476,4
"LIFR",14.0964065898069,5
"ApoA",12.1691881818837,6
"AGRN",11.8292453138906,7
"ADGRA",7.69433554484771,8
"NGL",7.30839848826911,9
"PTPRM",6.4937517143651,10
"NCAM",6.35067891908331,11
"ncWNT",5.74494067392795,12
"KIT",5.73786979726423,13
"ADGRG",5.68128486346947,14
"Testosterone",5.6012480064534,15
"ANGPT",5.56950116991091,16
"CDH",5.50767648195176,17
"NT",5.02824121897523,18
"DHEA",4.83815261780989,19
"VISFATIN",4.70121526953119,20
"Glutamate",4.44045466164827,21
"VEGF",4.43979586255875,22
"Netrin",4.29869278906756,23
"SEMA3",4.28953905582916,24
"SEMA4",4.28082355511698,25
"NEGR",4.13470894674215,26
"CD46",4.09001049856799,27
"UNC5",4.05619674212294,28
"APP",4.00852336839773,29
"CD45",4.00190124890949,30
"Prostaglandin",3.98139222187557,31
"BMP",3.7687596281349,32
"PECAM1",3.76252109043236,33
"RA",3.59778253757441,34
"EDA",3.44634660517753,35
"OCLN",3.4334916791466,36
"VWF",3.42774018883196,37
"NPNT",3.32313650422822,38
"HGF",3.25659667609189,39
"IL1",3.10370154202802,40
"PTN",3.00420813114405,41
"NRXN",2.97945047813114,42
"PSAP",2.97806942694455,43
"DESMOSOME",2.66788197496094,44
"Adenosine",2.1105066532282,45
"EGF",2.07448353842249,46
"CD6",2.00278972358224,47
"TULP",1.90118574340655,48
"THBS",1.87938545343812,49
"FN1",1.58765649725168,50
"FLRT",1.34138239156802,51
"HSPG",1.24961255300726,52
"CD200",1.15557582996193,53
"PCDH",1.15152926976418,54
"DHT",1.03692690286999,55
"GAS",0.994421392590082,56
"CD39",0.887761393330917,57
"CNTN",0.879250307440851,58
"ADGRL",0.815459435419546,59
"NRG",0.74458476984785,60
"RELN",0.726686623694399,61
"GAP",0.686747228098882,62
"PROS",0.669908487117173,63
"Cholesterol",0.600674284071937,64
"SEMA5",0.565409626035078,65
"PDGF",0.518189503322751,66
"PECAM2",0.488687142741772,67
"ADGRB",0.487648394597964,68
"SEMA7",0.465418695382204,69
"FGF",0.420012626773731,70
"PTPR",0.418782251250533,71
"TGFb",0.397952992840846,72
"TENASCIN",0.386515141016599,73
"MPZ",0.383602943135671,74
"EPHA",0.37933860746866,75
"SEMA6",0.357605546745627,76
"IGF",0.345249243907904,77
"NOTCH",0.327261209178392,78
"LAMININ",0.32373926933665,79
"Estradiol",0.307947888067175,80
"NECTIN",0.300562200664318,81
"EPHB",0.298150351958468,82
"CLDN",0.27758062323954,83
"VCAM",0.232087876889199,84
"COLLAGEN",0.206653092960995,85
"SLIT",0.194709779848528,86
"CD99",0.132732279686365,87
"CDH5",0.116968930868195,88
"Androstenedione",0.107273090181882,89
