"celltype","pathway","cluster","dataset","weight"
"Endothelial","ADGRG","C2","healthy",0.0001251756157915
"Endothelial","ADGRG","C4","crypto",0.000375134586059861
"Endothelial","ADGRL","C4","crypto",0.00249093513337952
"Endothelial","ADGRL","C4","healthy",0.00112159987546561
"Endothelial","ANGPT","C1","crypto",1.28177461944327e-06
"Endothelial","ANGPT","C2","healthy",9.41623521535101e-07
"Endothelial","ANGPTL","C3","crypto",2.79606791087688e-05
"Endothelial","APP","C4","crypto",0.000848959590482654
"Endothelial","BMP","C4","crypto",3.72883534371535e-05
"Endothelial","BMP","C4","healthy",0.000317929139547763
"Endothelial","CD200","C1","crypto",1.74539929268033e-06
"Endothelial","CD34","C2","healthy",3.35842052171965e-07
"Endothelial","CD39","C2","crypto",3.43662240876653e-06
"Endothelial","CD40","C1","crypto",7.25667520869797e-09
"Endothelial","CD45","C1","crypto",0.000860745199677189
"Endothelial","CD45","C2","healthy",3.1398191347248e-05
"Endothelial","CD46","C4","crypto",2.94616027087705e-05
"Endothelial","CD48","C1","crypto",4.78827294000235e-10
"Endothelial","CD6","C1","crypto",2.87735510128292e-07
"Endothelial","CD6","C2","healthy",7.49865603171206e-09
"Endothelial","CD96","C1","crypto",5.93049189835806e-07
"Endothelial","CD99","C2","crypto",3.44880226608431e-05
"Endothelial","CDH","C4","crypto",2.11805740432314e-05
"Endothelial","CDH5","C1","crypto",8.57105570763517e-10
"Endothelial","CDH5","C1","healthy",1.68297353043334e-07
"Endothelial","COLLAGEN","C4","crypto",0.00350094457374893
"Endothelial","DESMOSOME","C2","healthy",4.36997885642729e-07
"Endothelial","DHEA","C2","healthy",8.40266248556002e-06
"Endothelial","DHEA","C4","crypto",7.02022382523559e-05
"Endothelial","EPHA","C4","crypto",0.000590875946346053
"Endothelial","EPHA","C4","healthy",0.0002011684656368
"Endothelial","FGF","C4","crypto",1.10001410489671e-05
"Endothelial","FLT3","C1","crypto",1.84413825110301e-06
"Endothelial","FN1","C4","crypto",9.12347431094558e-05
"Endothelial","FN1","C4","healthy",4.55478973921387e-05
"Endothelial","GAP","C4","crypto",1.90227282429707e-06
"Endothelial","Glutamate","C4","crypto",0.000470782425496211
"Endothelial","Glutamate","C4","healthy",0.000466673808014999
"Endothelial","HGF","C2","healthy",3.13331368370939e-06
"Endothelial","HGF","C4","crypto",4.40583162843553e-07
"Endothelial","HSPG","C2","crypto",6.89112923414076e-05
"Endothelial","HSPG","C2","healthy",2.73250146267337e-05
"Endothelial","IGF","C2","crypto",5.75239950417123e-05
