"sender","receiver","pathway","cluster","dataset","weight"
"Sertoli","SSC","LAMININ","C4","healthy",0.0089229621943477
"Sertoli","Spermatocyte","LAMININ","C4","healthy",0.00188388640751601
"Sertoli","Spermatid","LAMININ","C4","healthy",0.00615431485847203
"SSC","Sertoli","LAMININ","C4","healthy",0.00542223838167369
"Spermatocyte","Sertoli","LAMININ","C4","healthy",0.00531932534322974
"Spermatid","Sertoli","LAMININ","C4","healthy",0.00589471760582425
"Sertoli","Sertoli","LAMININ","C4","healthy",0.116625015563396
"Leydig","Sertoli","LAMININ","C4","healthy",0.00792219352804235
"Myoid","Sertoli","LAMININ","C4","healthy",0.0121370621116625
"Fibroblast","Sertoli","LAMININ","C4","healthy",0.00531774138402498
"Sertoli","Leydig","LAMININ","C4","healthy",0.0318204711446691
"Leydig","Leydig","LAMININ","C4","healthy",0.00217979655083455
"Myoid","Leydig","LAMININ","C4","healthy",0.0034536722496713
"Sertoli","Myoid","LAMININ","C4","healthy",0.0123452917455341
"Sertoli","Fibroblast","LAMININ","C4","healthy",0.00387420354096749
"Sertoli","Endothelial","LAMININ","C4","healthy",0.00202019645614466
"Sertoli","SSC","ADGRL","C4","healthy",0.00437288198621467
"Leydig","SSC","ADGRL","C4","healthy",0.0012670431646284
"SSC","Sertoli","ADGRL","C4","healthy",0.0110585383986774
"Spermatocyte","Sertoli","ADGRL","C4","healthy",0.00763960787606948
"Spermatid","Sertoli","ADGRL","C4","healthy",0.00846326659584963
"Sertoli","Sertoli","ADGRL","C4","healthy",0.0855409969905959
"Leydig","Sertoli","ADGRL","C4","healthy",0.0150263982441385
"Myoid","Sertoli","ADGRL","C4","healthy",0.00141173121516502
"Fibroblast","Sertoli","ADGRL","C4","healthy",0.00219799749430018
"Endothelial","Sertoli","ADGRL","C4","healthy",0.00112159987546561
"SSC","Leydig","ADGRL","C4","healthy",0.00377720573304414
"Spermatocyte","Leydig","ADGRL","C4","healthy",0.00168559613975737
"Spermatid","Leydig","ADGRL","C4","healthy",0.00272046584620359
"Sertoli","Leydig","ADGRL","C4","healthy",0.0282419174744262
"Leydig","Leydig","ADGRL","C4","healthy",0.00504151196702992
"Sertoli","Myoid","ADGRL","C4","healthy",0.00474921140583458
"Sertoli","SSC","CADM","C2","healthy",0.0102407229300942
"Sertoli","Spermatocyte","CADM","C2","healthy",0.0272170365947555
"Sertoli","Spermatid","CADM","C2","healthy",0.0160278403742588
"SSC","Sertoli","CADM","C2","healthy",0.0066600506846786
"Spermatocyte","Sertoli","CADM","C2","healthy",0.0149307956255078
"Spermatid","Sertoli","CADM","C2","healthy",0.00855920003207769
"Sertoli","Sertoli","CADM","C2","healthy",0.0490595007256232
"Sertoli","Leydig","CADM","C2","healthy",0.00625197279674246
"Sertoli","SSC","PTPRM","C2","healthy",0.00867282008725014
"Sertoli","Spermatocyte","PTPRM","C2","healthy",0.0184180949864724
"SSC","Sertoli","PTPRM","C2","healthy",0.00867282008725014
"Spermatocyte","Sertoli","PTPRM","C2","healthy",0.0184180949864724
"Sertoli","Sertoli","PTPRM","C2","healthy",0.0581701988887547
"Sertoli","Spermatocyte","COLLAGEN","C4","healthy",0.00118389193064555
"Sertoli","Spermatid","COLLAGEN","C4","healthy",0.00116451914965967
"Leydig","Spermatid","COLLAGEN","C4","healthy",0.000972001981553201
"Spermatid","Sertoli","COLLAGEN","C4","healthy",0.00192746506435923
"Sertoli","Sertoli","COLLAGEN","C4","healthy",0.0240908074397568
"Leydig","Sertoli","COLLAGEN","C4","healthy",0.0134705380008395
"Myoid","Sertoli","COLLAGEN","C4","healthy",0.00783663350586667
"Fibroblast","Sertoli","COLLAGEN","C4","healthy",0.00269812963602539
"Sertoli","Leydig","COLLAGEN","C4","healthy",0.0123772102436761
"Leydig","Leydig","COLLAGEN","C4","healthy",0.00556039444961373
"Myoid","Leydig","COLLAGEN","C4","healthy",0.00299279475496309
"Fibroblast","Leydig","COLLAGEN","C4","healthy",0.00103947099551395
"Sertoli","Myoid","COLLAGEN","C4","healthy",0.00489316136041266
"Leydig","Myoid","COLLAGEN","C4","healthy",0.00219977590045887
"Myoid","Myoid","COLLAGEN","C4","healthy",0.0012374922708041
"Sertoli","Fibroblast","COLLAGEN","C4","healthy",0.00150599004524574
"SSC","Spermatocyte","NRG","C4","healthy",0.000817771025097991
"Leydig","Spermatocyte","NRG","C4","healthy",0.00111031686319605
"SSC","Spermatid","NRG","C4","healthy",0.000786802377815722
"Leydig","Spermatid","NRG","C4","healthy",0.00107150206852192
"SSC","Sertoli","NRG","C4","healthy",0.0127997534736623
"Spermatocyte","Sertoli","NRG","C4","healthy",0.0249552705345232
"Spermatid","Sertoli","NRG","C4","healthy",0.0151018249732396
"Sertoli","Sertoli","NRG","C4","healthy",0.00876926915158742
"Leydig","Sertoli","NRG","C4","healthy",0.0193782489247971
"Myoid","Sertoli","NRG","C4","healthy",0.00273156088059089
"Fibroblast","Sertoli","NRG","C4","healthy",0.00177162292601643
"Endothelial","Sertoli","NRG","C4","healthy",0.00113086769763138
"Sertoli","SSC","JAM","C2","healthy",0.00195106039125397
"Sertoli","Spermatocyte","JAM","C2","healthy",0.00122508250264486
"Sertoli","Spermatid","JAM","C2","healthy",0.000702744529733123
"SSC","Sertoli","JAM","C2","healthy",0.000360477956302227
"Sertoli","Sertoli","JAM","C2","healthy",0.0467695922874824
"Sertoli","Myoid","JAM","C2","healthy",0.000811413442929734
"SSC","SSC","CDH","C4","healthy",0.000293965866358088
"Sertoli","SSC","CDH","C4","healthy",0.00265566256058617
"Spermatocyte","Spermatocyte","CDH","C4","healthy",1.46803294236684e-05
