"pathway","distance","rank","iter"
"LAMININ",0.127426489216496,87,1
"ADGRL",0.829310616822367,60,1
"CADM",8.46791376713483,4,1
"PTPRM",6.61942078133109,13,1
"COLLAGEN",0.243863948717164,81,1
"NRG",0.908807790971442,57,1
"JAM",6.98471285649206,11,1
"CDH",6.83619101654093,12,1
"Testosterone",5.76782265441483,19,1
"Cholesterol",0.595575218806689,63,1
"BMP",3.29759588650106,36,1
"NRXN",4.75587570679174,23,1
"NCAM",6.18040163660228,16,1
"Glutamate",5.70935474602188,20,1
"APP",4.07284546872192,30,1
"Estradiol",0.265067255743405,80,1
"SEMA3",8.47770247826433,3,1
"MPZ",0.445913191460163,69,1
"IGF",0.400108689784664,74,1
"PROS",0.568235881424954,64,1
"TENASCIN",0.369031754248637,75,1
"PCDH",1.19078296056158,54,1
"PTPR",0.358563007776498,77,1
"EPHA",0.513162935648019,67,1
"CD39",0.810556472021219,61,1
"Androstenedione",0.207919774527356,82,1
"NECTIN",0.350083875622092,78,1
"EPHB",0.410840903833772,73,1
"SEMA5",0.444578445249824,70,1
"EGF",1.88554301255218,47,1
"GAS",0.773193510443329,62,1
"Netrin",8.56056124449375,2,1
"CNTN",0.899685624637507,58,1
"SEMA7",0.453591428262579,68,1
"PDGF",1.50997658254117,50,1
"SEMA6",0.32622818758665,79,1
"CLDN",0.0393987806408094,89,1
"PSAP",2.57885261026332,44,1
"FGF",0.118056253379618,88,1
"GAP",0.362197973344173,76,1
"RELN",0.555817094917036,65,1
"VCAM",0.162110346698784,85,1
"NOTCH",0.202307336877095,84,1
"NGL",9.41311200992885,1,1
"SLIT",0.205292229965151,83,1
"THBS",1.38061352976391,52,1
"DHT",1.17242712351366,55,1
"ADGRG",5.96793658602274,17,1
"TULP",1.91467796324187,46,1
"ncWNT",5.554984080791,21,1
"CD99",0.546080918199699,66,1
"UNC5",8.17212675554722,7,1
"ACTIVIN",7.60189674479894,9,1
"ANGPTL",8.42902702021455,5,1
"AGRN",6.59409646122188,14,1
"CD46",8.38871634888574,6,1
"PTN",2.76631086039005,42,1
"PECAM2",0.42644212943068,71,1
"EDA",3.21753105852239,37,1
"Adenosine",2.0174856355956,45,1
"KIT",5.9645923718914,18,1
"FN1",1.61738392581816,48,1
"LIFR",7.96465185312556,8,1
"NT",4.51397743623265,25,1
"ApoA",7.40528069058896,10,1
"VISFATIN",4.31534622974496,27,1
"CD45",3.41124145279741,32,1
"RA",3.81921609262848,31,1
"VEGF",4.17721768880111,29,1
"NEGR",4.18170987912995,28,1
"NPNT",2.91301215712943,38,1
"SEMA4",4.35292916028217,26,1
"DHEA",4.68669374197949,24,1
"FLRT",1.4357020127295,51,1
"ADGRA",6.46031784597004,15,1
"HSPG",1.0152656728247,56,1
"Prostaglandin",3.38533620565868,34,1
"ANGPT",5.23136535901958,22,1
"PECAM1",2.79654343514615,40,1
"TGFb",0.425633283897667,72,1
"OCLN",3.38670830336865,33,1
"VWF",2.90786334746285,39,1
"DESMOSOME",2.651107292791,43,1
"HGF",3.32425547556646,35,1
"ADGRB",0.888802772660999,59,1
"CD200",1.23333507218851,53,1
"IL1",2.77093701444744,41,1
"CDH5",0.160310611097016,86,1
"CD6",1.52513486331395,49,1
"LAMININ",0.129402956248651,86,2
"ADGRL",0.61521930568196,65,2
"CADM",12.4618522867798,7,2
"PTPRM",6.19227265978614,12,2
"COLLAGEN",0.369722301167356,73,2
"NRG",0.939030960625177,57,2
"JAM",15.1061176424757,3,2
"CDH",4.77381665661731,22,2
"Testosterone",5.54089399153289,15,2
"Cholesterol",0.48135986930143,67,2
"BMP",3.27966606724998,36,2
"NRXN",2.19190038217782,45,2
"NCAM",7.09529782639086,10,2
"Glutamate",3.64925401588689,32,2
"APP",4.3203641414101,26,2
"Estradiol",0.318090978467249,76,2
"SEMA3",4.84442349153287,20,2
"MPZ",0.0265671420518332,89,2
"IGF",0.292661759654059,78,2
"PROS",0.617229697414217,64,2
"TENASCIN",0.423459182542904,71,2
"PCDH",1.37891151308908,52,2
"PTPR",0.351380781362868,75,2
"EPHA",0.294111888681134,77,2
"CD39",0.700729005180117,61,2
"Androstenedione",0.0931611910051582,88,2
"NECTIN",0.244321605317264,79,2
"EPHB",0.379444648293065,72,2
"SEMA5",0.454981260938711,68,2
"EGF",2.94316892642725,40,2
"GAS",0.893509472703115,58,2
"Netrin",4.83890934563219,21,2
"CNTN",1.06298531650497,55,2
"SEMA7",0.449186136855917,69,2
"PDGF",0.642120656703434,62,2
"SEMA6",0.366607867495886,74,2
"CLDN",0.163126847667869,84,2
"PSAP",2.93286130914604,41,2
"FGF",0.439634508289839,70,2
"GAP",0.622517707514797,63,2
"RELN",0.829651969660146,59,2
"VCAM",0.095378053655363,87,2
"NOTCH",0.239537576426779,80,2
"NGL",7.54350024618302,9,2
"SLIT",0.148533560714242,85,2
"THBS",1.40582122268236,50,2
"DHT",1.05231368271683,56,2
"ADGRG",5.82709359091896,13,2
"TULP",1.52179398170714,49,2
"ncWNT",5.18405840318007,17,2
"CD99",0.184032139475502,82,2
"UNC5",4.31404592219811,27,2
"ACTIVIN",14.5513444292653,4,2
"ANGPTL",14.2072641452651,5,2
"AGRN",18.1170081980764,1,2
"CD46",4.71229465699484,23,2
"PTN",2.59075585425227,43,2
"PECAM2",0.602669230159299,66,2
"EDA",3.69765440565784,31,2
"Adenosine",2.00123265591097,47,2
"KIT",6.58237895514028,11,2
"FN1",1.39217613660703,51,2
"LIFR",13.8499093387991,6,2
"NT",5.35448180501263,16,2
"ApoA",16.8769129771968,2,2
"VISFATIN",4.88271705816567,18,2
"CD45",3.31369868275291,35,2
"RA",4.51834369625967,25,2
"VEGF",4.864543410758,19,2
"NEGR",3.96902030319912,30,2
"NPNT",3.64214505379779,33,2
"SEMA4",4.52785753075788,24,2
"DHEA",4.10959556511051,29,2
"FLRT",1.57852876423063,48,2
"ADGRA",8.15148686175219,8,2
"HSPG",1.36439385860269,53,2
"Prostaglandin",4.28114807725539,28,2
"ANGPT",5.68469284317052,14,2
"PECAM1",3.13514251137113,37,2
"TGFb",0.235634068891115,81,2
"OCLN",3.32400260273998,34,2
"VWF",2.95660975110499,39,2
"DESMOSOME",2.20871118996759,44,2
"HGF",2.98341663371843,38,2
"ADGRB",0.714625597505339,60,2
"CD200",1.06797864205109,54,2
"IL1",2.80891956591354,42,2
"CDH5",0.167802768992369,83,2
"CD6",2.12200521718468,46,2
"LAMININ",0.311184719160974,76,3
"ADGRL",0.888366640759205,56,3
"CADM",9.29252506770221,5,3
"PTPRM",6.83978951291836,13,3
"COLLAGEN",0.156469424902744,86,3
"NRG",0.902403058262328,55,3
"JAM",9.61292251705774,4,3
"CDH",8.11863203496098,9,3
"Testosterone",6.05446189795678,19,3
"Cholesterol",0.534930184908925,66,3
"BMP",3.27676298068729,36,3
"NRXN",6.12652835199,17,3
"NCAM",6.69961028456085,14,3
"Glutamate",7.27632690815959,12,3
"APP",4.52668178105679,26,3
"Estradiol",0.2846538296499,80,3
"SEMA3",9.61924631456592,3,3
"MPZ",0.184851126565037,85,3
"IGF",0.304036007684721,77,3
"PROS",0.71915948370322,61,3
"TENASCIN",0.30222512559635,78,3
"PCDH",1.02119318504185,53,3
"PTPR",0.468663247649585,70,3
"EPHA",0.575460315084532,65,3
"CD39",0.620047475676093,64,3
"Androstenedione",0.233998408302242,84,3
"NECTIN",0.105778555058219,88,3
"EPHB",0.473619968107325,69,3
"SEMA5",0.424429297939712,72,3
"EGF",2.26109869744573,46,3
"GAS",0.788156013817918,59,3
"Netrin",9.71478741668436,2,3
"CNTN",0.759815856506334,60,3
"SEMA7",0.485850964068471,67,3
"PDGF",0.886070666469421,57,3
"SEMA6",0.39849042713115,73,3
"CLDN",0.337174235225329,75,3
"PSAP",2.92762497596855,39,3
"FGF",0.268734450486027,81,3
"GAP",0.288171557413972,79,3
"RELN",0.478717735540561,68,3
"VCAM",0.340289732337437,74,3
"NOTCH",0.260130997977025,82,3
"NGL",10.2365546109799,1,3
"SLIT",0.149711025162415,87,3
"THBS",1.51594590712153,49,3
"DHT",0.870196779548521,58,3
"ADGRG",6.13579838169917,16,3
"TULP",1.72318437505081,47,3
"ncWNT",5.62601765304165,20,3
"CD99",0.0287932803277982,89,3
"UNC5",9.03545348153517,7,3
"ACTIVIN",8.11867013385528,8,3
"ANGPTL",7.88551784364113,11,3
"AGRN",3.71634495975394,32,3
"CD46",9.20200304681627,6,3
"PTN",2.79281170190204,40,3
"PECAM2",0.654683308092088,63,3
"EDA",3.6554509536633,34,3
"Adenosine",2.48505310694598,42,3
"KIT",6.06786987328353,18,3
"FN1",1.6811825326211,48,3
"LIFR",7.97361094941341,10,3
"NT",5.16429383368631,22,3
"ApoA",4.62682248486583,25,3
"VISFATIN",4.26471484326557,28,3
"CD45",3.14510876340921,37,3
"RA",3.83720420944751,31,3
"VEGF",4.63560015369655,24,3
"NEGR",4.22560428180452,29,3
"NPNT",3.03250802135704,38,3
"SEMA4",4.47726006230374,27,3
"DHEA",4.66015215364103,23,3
"FLRT",1.49780078471195,50,3
"ADGRA",6.42488631902142,15,3
"HSPG",0.931580227497075,54,3
"Prostaglandin",3.71045111279645,33,3
"ANGPT",5.28515749968633,21,3
"PECAM1",2.41393250502209,43,3
"TGFb",0.425884040766646,71,3
"OCLN",3.85628408016623,30,3
"VWF",2.34422667850591,45,3
"DESMOSOME",2.36377786378017,44,3
"HGF",3.31424115761163,35,3
"ADGRB",0.69570267529215,62,3
"CD200",1.35915895389809,51,3
"IL1",2.5746435429074,41,3
"CDH5",0.23760377704419,83,3
"CD6",1.14903813517386,52,3
"LAMININ",0.513004065208417,67,4
"ADGRL",0.62103416977594,63,4
"CADM",14.5479604326321,2,4
"PTPRM",6.43193154127494,15,4
"COLLAGEN",0.1130292007878,86,4
"NRG",1.19829813215809,55,4
"JAM",15.4627445599177,1,4
"CDH",7.14138595767493,14,4
"Testosterone",5.12399457936321,23,4
"Cholesterol",0.670055913128316,60,4
"BMP",3.21512780563174,38,4
"NRXN",5.15579209440651,22,4
"NCAM",6.01152147410356,17,4
