"pathway","mean_dist","sd_dist","median_dist","q25_dist","q75_dist","median_rank","q25_rank","q75_rank","min_rank","max_rank","freq_top1","freq_top3","freq_top5","freq_top10","cv_dist","wins","losses","ties"
"JAM",12.7798541579295,4.53356234639549,11.8938770257007,9.94031635136713,14.6200345722627,2,1,5.25,1,18,0.42,0.68,0.75,0.94,0.354742885980632,88,0,0
"CADM",12.3888576775294,4.49285202266671,11.3326097051143,9.45861582397757,14.4018489020258,3,2,6,1,15,0.18,0.53,0.71,0.95,0.362652646403044,87,1,0
"ACTIVIN",11.8877153335763,4.51547338267801,10.8188051528862,8.91788259108546,13.9200110023327,4,3,6.25,2,22,0,0.4,0.71,0.83,0.379843666841876,86,2,0
"LIFR",11.6213398532552,4.58255387372169,10.7978783109527,8.45457856878593,13.5641251447769,5,4,8.25,1,25,0.01,0.18,0.65,0.81,0.394322335598686,85,3,0
"ANGPTL",11.5355596809179,4.45454230374462,10.7210023150869,8.34774968890238,13.5819022350555,5,5,8,1,18,0.01,0.09,0.53,0.83,0.386157449396524,84,4,0
"ApoA",10.1403025786036,4.66076733917478,8.95167751369332,6.42245321561578,12.5940047136462,8,6,14,1,30,0.03,0.14,0.16,0.57,0.459628034079494,82,5,1
"NGL",10.0915940994712,2.89528601940558,9.36432787711419,8.22959367166179,11.1057818345364,6,2,8,1,21,0.23,0.4,0.46,0.96,0.286900760263166,81,5,2
"AGRN",9.89343495889645,4.78634185474013,8.35303331952555,6.15539631722447,12.9609713226718,8,7,15.25,1,32,0.08,0.16,0.19,0.57,0.483789692318755,79,6,3
"Netrin",8.44069545185488,2.89848036673758,8.03936865941947,6.60851569985231,9.30260709370265,9,6,12,1,25,0.01,0.11,0.21,0.6,0.343393548940404,79,7,2
"SEMA3",8.34960291626175,2.9178487106861,7.97456137252616,6.52623582616952,9.3430515356096,10,7.75,12,2,26,0,0.1,0.2,0.6,0.349459577892414,78,8,2
"ADGRA",7.66640654202972,0.568541472308463,7.75712789041022,7.38212378132835,8.04765466900032,9,8,14,2,25,0,0.05,0.06,0.6,0.0741600995448825,76,8,4
"UNC5",8.01913387705468,2.99257128432871,7.45716391398532,6.11235128851091,8.83438709877617,11,9,15.25,2,27,0,0.04,0.11,0.36,0.373178865724067,76,10,2
"CD46",7.98152896403498,3.01567830905313,7.43667614904544,6.11885702861054,8.82788898572352,12,8.75,15,1,28,0.02,0.03,0.11,0.4,0.377832157553005,76,10,2
"PTPRM",6.7190126947953,0.471899184222692,6.68647781392017,6.4207840705289,6.99396888081209,13.5,10,16,3,18,0,0.01,0.01,0.29,0.0702334116124287,74,13,1
"CDH",7.52997757288603,2.87838349049813,6.8254856890562,5.60674536118773,8.43670259891523,14,9.75,18,2,34,0,0.05,0.08,0.27,0.38225658212617,74,13,1
"NCAM",6.49271738964548,0.535490172206203,6.50127169683916,6.14783278964185,6.83174397547915,15,12,17,6,20,0,0,0,0.12,0.0824755091081275,72,15,1
"KIT",6.19372262465113,0.40232960983753,6.18059531064387,5.9431067232689,6.48122662976146,16,14,18,9,21,0,0,0,0.03,0.0649576408598362,71,16,1
"ADGRG",5.94590144577747,0.560718830592223,5.92801327672708,5.58928544078796,6.29204283957782,18,16,20,9,23,0,0,0,0.02,0.0943034181958097,70,17,1
"Glutamate",6.541165350752,3.06595408085899,5.84248168011263,4.35080410742938,7.60248987926457,18,14,26.25,3,43,0,0.01,0.04,0.14,0.468716798376992,70,15,3
"ANGPT",5.50150806275062,0.288434888503391,5.4797089027996,5.34917647195252,5.69083254113134,20,18,22,11,31,0,0,0,0,0.0524283315071941,67,19,2
