"","ACTIVIN","Adenosine","ADGRA","ADGRB","ADGRG","ADGRL","AGRN","Androstenedione","ANGPT","ANGPTL","ApoA","APP","BMP","CADM","CD200","CD39","CD45","CD46","CD6","CD99","CDH","CDH5","Cholesterol","CLDN","CNTN","COLLAGEN","DESMOSOME","DHEA","DHT","EDA","EGF","EPHA","EPHB","Estradiol","FGF","FLRT","FN1","GAP","GAS","Glutamate","HGF","HSPG","IGF","IL1","JAM","KIT","LAMININ","LIFR","MPZ","NCAM","ncWNT","NECTIN","NEGR","Netrin","NGL","NOTCH","NPNT","NRG","NRXN","NT","OCLN","PCDH","PDGF","PECAM1","PECAM2","PROS","Prostaglandin","PSAP","PTN","PTPR","PTPRM","RA","RELN","SEMA3","SEMA4","SEMA5","SEMA6","SEMA7","SLIT","TENASCIN","Testosterone","TGFb","THBS","TULP","UNC5","VCAM","VEGF","VISFATIN","VWF"
"ACTIVIN",NA,5.3714805341368e-18,3.05348203881873e-15,5.3714805341368e-18,5.5112193311429e-18,5.3714805341368e-18,1.35293218650631e-10,5.3714805341368e-18,5.62930628044811e-18,1.75325388527329e-09,1.03647750523754e-11,5.3714805341368e-18,5.3714805341368e-18,1.17727125253526e-05,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,1.32301307132511e-10,5.3714805341368e-18,5.3714805341368e-18,1.11259047645649e-11,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,9.3200970534999e-14,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,8.14173566700204e-15,9.60367766486886e-18,5.3714805341368e-18,2.65270136900271e-08,5.3714805341368e-18,1.28377884562579e-17,5.62930628044811e-18,5.3714805341368e-18,5.3887032033284e-18,6.65104535728647e-09,0.00398897490246471,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,2.25883859418989e-15,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,1.98007923546106e-17,5.3714805341368e-18,5.3714805341368e-18,2.30603212363793e-09,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.62930628044811e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,1.07975268674866e-10,5.3714805341368e-18,5.3714805341368e-18,5.3887032033284e-18,5.3714805341368e-18
"Adenosine",5.3714805341368e-18,NA,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,0.00390361217788105,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,2.25731387263526e-14,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,2.12091206300182e-10,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,1.61469715004828e-17,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.62930628044811e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,1.11560626785615e-16,5.3887032033284e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3887032033284e-18,5.5112193311429e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,1.48134022406213e-17,4.01141500490995e-16,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,7.00212777280674e-18
"ADGRA",3.05348203881873e-15,5.3714805341368e-18,NA,5.3714805341368e-18,6.6674718314111e-17,5.3714805341368e-18,0.000685966603523039,5.3714805341368e-18,5.3714805341368e-18,2.86610952535571e-14,1.68750634193447e-05,5.3887032033284e-18,5.3714805341368e-18,1.02420352662956e-16,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,0.591916915186233,5.3714805341368e-18,5.3714805341368e-18,0.0231558049345735,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.10498133499387e-06,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,7.92518955953919e-17,1.36101800145847e-17,5.3714805341368e-18,5.11642251015781e-14,5.3714805341368e-18,1.3729842745079e-15,8.32168935987523e-18,5.3714805341368e-18,5.3714805341368e-18,0.130341524294771,1.2706898436893e-13,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,1.61046379383446e-09,5.62930628044811e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,7.18407031097343e-14,5.3714805341368e-18,5.3714805341368e-18,0.260773845579243,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.62930628044811e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,0.778458675357359,5.3714805341368e-18,5.5112193311429e-18,5.3714805341368e-18,5.3714805341368e-18
"ADGRB",5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,NA,5.3714805341368e-18,5.46239125202492e-16,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.92844944668488e-18,1.40663723495393e-08,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,3.36530656105062e-09,5.5112193311429e-18,1.87355915217242e-14,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3887032033284e-18,5.3714805341368e-18,5.3714805341368e-18,1.0080046707933e-06,1.76631951856557e-16,5.62930628044811e-18,5.14181967652991e-17,5.3714805341368e-18,5.3714805341368e-18,2.1832092377267e-13,1.87355915217242e-14,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,7.06385266980561e-17,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.62930628044811e-18,5.3714805341368e-18,5.3887032033284e-18,5.3714805341368e-18,5.3714805341368e-18,5.5112193311429e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3887032033284e-18,5.3714805341368e-18,1.28377884562579e-17,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,0.105399007486257,5.3714805341368e-18,2.55199271093145e-08,0.2892464561474,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,1.92456542327104e-17,5.3714805341368e-18,5.3714805341368e-18,0.3947996917054,5.3714805341368e-18,5.3714805341368e-18,8.38750344074673e-17,2.03717374611713e-17,4.99470857284037e-15,5.3714805341368e-18,1.40001118319082e-17,5.3714805341368e-18,5.3887032033284e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3887032033284e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18
"ADGRG",5.5112193311429e-18,5.3714805341368e-18,6.6674718314111e-17,5.3714805341368e-18,NA,5.3714805341368e-18,4.46011598936902e-12,5.3714805341368e-18,5.09269010531937e-09,5.5112193311429e-18,6.82262148069787e-14,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,1.23673601011665e-10,5.3714805341368e-18,5.3714805341368e-18,1.69421350952886e-07,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,0.699029377952719,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,2.65270136900271e-08,5.3714805341368e-18,7.00212777280674e-18,5.3714805341368e-18,1.17596127561008e-17,7.73955049950946e-13,5.3714805341368e-18,5.3887032033284e-18,2.57691139660294e-14,6.0939749679077e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,0.000604785552553887,1.48134022406213e-17,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,9.08240408539114e-14,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,1.78780298876291e-08,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.33226993334577e-11,5.3714805341368e-18,5.3714805341368e-18,5.77501384870303e-18,5.3714805341368e-18
"ADGRL",5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.46239125202492e-16,5.3714805341368e-18,NA,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,3.58378131061913e-16,6.96728539852636e-10,5.3714805341368e-18,5.3714805341368e-18,5.3887032033284e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.62930628044811e-18,5.3714805341368e-18,0.0440499773309515,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,8.60978904174117e-11,5.3714805341368e-18,5.3714805341368e-18,8.81961179043531e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.62930628044811e-18,0.103244510147344,5.3714805341368e-18,5.3714805341368e-18,2.64378363942378e-17,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,0.00752329174693672,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,9.06784962009111e-18,2.9961048984494e-07,5.3714805341368e-18,5.5112193311429e-18,2.86054725517998e-16,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,3.74561734537555e-17,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18
"AGRN",1.35293218650631e-10,5.3714805341368e-18,0.000685966603523039,5.3714805341368e-18,4.46011598936902e-12,5.3714805341368e-18,NA,5.3714805341368e-18,7.9256377505836e-15,5.30632043508935e-09,0.00092407969158293,1.1427735290097e-17,5.3714805341368e-18,1.15564182125454e-10,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,0.00550219352421645,5.3714805341368e-18,5.3714805341368e-18,0.000334067975025411,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,1.52421796708431e-17,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,3.46389700712749e-07,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,1.04397721438761e-12,8.80642345291087e-11,5.3714805341368e-18,6.51754792308493e-09,5.3714805341368e-18,2.84628691211592e-09,5.11642251015781e-14,5.3714805341368e-18,6.0939749679077e-18,0.0790819358000235,0.313297693716502,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,1.54899094134584e-10,7.6538704671983e-16,5.3887032033284e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.77501384870303e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,3.62731092916364e-08,6.44313419611251e-18,5.3714805341368e-18,0.050958361036183,8.56707990762344e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,1.51288940661104e-14,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,0.00816337047499912,5.3714805341368e-18,3.85269186367346e-17,2.72141023839932e-17,5.3714805341368e-18
"Androstenedione",5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,NA,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,0.197219483004531,5.3714805341368e-18,0.417998508742704,5.3714805341368e-18,1.90895922126703e-05,5.3714805341368e-18,0.145849044256998,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,6.0939749679077e-18,5.3887032033284e-18,1.11703703354587e-13,1.3648978811507e-16,5.3714805341368e-18,5.3714805341368e-18,1.66190446414875e-17,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,1.40001118319082e-17,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,0.000703260428062063,5.3714805341368e-18,0.0119171764837048,5.3714805341368e-18,5.3714805341368e-18,7.86528314005552e-11,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,8.78135406377837e-08,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,6.44313419611251e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.77501384870303e-18,1.07880511484604e-17,9.60367766486886e-18,0.303539796469474,3.48409441565436e-16,5.3714805341368e-18,8.10799433025675e-10,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,0.00104389263072781,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18
"ANGPT",5.62930628044811e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.09269010531937e-09,5.3714805341368e-18,7.9256377505836e-15,5.3714805341368e-18,NA,5.92844944668488e-18,2.03586075040674e-16,7.48573832205379e-17,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,6.64962293721266e-14,5.3714805341368e-18,5.3714805341368e-18,6.25801570632609e-11,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,3.53255205468106e-17,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,0.0306679922494735,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,9.60367766486886e-18,5.3714805341368e-18,6.61645529090463e-18,5.3714805341368e-18,1.2108684966806e-17,0.505332441018103,5.3714805341368e-18,5.3887032033284e-18,3.20210327234657e-16,5.5112193311429e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,0.0298857086835351,9.93296319250235e-13,5.3887032033284e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3887032033284e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,6.0939749679077e-18,1.92456542327104e-17,5.3714805341368e-18,7.44773312175928e-16,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,0.356156321180309,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,4.37273692131746e-14,5.3714805341368e-18,1.76631951856557e-16,5.3714805341368e-18,5.3714805341368e-18
"ANGPTL",1.75325388527329e-09,5.3714805341368e-18,2.86610952535571e-14,5.3714805341368e-18,5.5112193311429e-18,5.3714805341368e-18,5.30632043508935e-09,5.3714805341368e-18,5.92844944668488e-18,NA,2.37131949192953e-10,5.3714805341368e-18,5.3714805341368e-18,3.13032316742125e-11,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,1.61046379383446e-09,5.3714805341368e-18,5.3714805341368e-18,1.00930719160883e-10,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,4.33644926042872e-13,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,6.64962293721266e-14,1.10980480011119e-17,5.3714805341368e-18,0.0109106538246537,5.3714805341368e-18,2.09720165312598e-17,5.62930628044811e-18,5.3714805341368e-18,5.3714805341368e-18,5.66098257592886e-08,0.0198423341680669,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.4191084658662e-15,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,3.85269186367346e-17,5.3714805341368e-18,5.3714805341368e-18,2.31267703038568e-08,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.5112193311429e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,1.51181707012586e-09,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18,5.3714805341368e-18
