"","ACTIVIN","Adenosine","ADGRA","ADGRB","ADGRG","ADGRL","AGRN","Androstenedione","ANGPT","ANGPTL","ApoA","APP","BMP","CADM","CD200","CD39","CD45","CD46","CD6","CD99","CDH","CDH5","Cholesterol","CLDN","CNTN","COLLAGEN","DESMOSOME","DHEA","DHT","EDA","EGF","EPHA","EPHB","Estradiol","FGF","FLRT","FN1","GAP","GAS","Glutamate","HGF","HSPG","IGF","IL1","JAM","KIT","LAMININ","LIFR","MPZ","NCAM","ncWNT","NECTIN","NEGR","Netrin","NGL","NOTCH","NPNT","NRG","NRXN","NT","OCLN","PCDH","PDGF","PECAM1","PECAM2","PROS","Prostaglandin","PSAP","PTN","PTPR","PTPRM","RA","RELN","SEMA3","SEMA4","SEMA5","SEMA6","SEMA7","SLIT","TENASCIN","Testosterone","TGFb","THBS","TULP","UNC5","VCAM","VEGF","VISFATIN","VWF"
"ACTIVIN",NA,3.95591160889952e-18,2.6487943018047e-15,3.95591160889952e-18,4.20237510796545e-18,3.95591160889952e-18,1.2361571407864e-10,3.95591160889952e-18,4.33123080260219e-18,1.61401436578402e-09,9.32988561277412e-12,3.95591160889952e-18,3.95591160889952e-18,1.12075261221947e-05,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,1.20848257306689e-10,3.95591160889952e-18,3.95591160889952e-18,1.00235423925907e-11,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,8.24671508947323e-14,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,7.10218821207328e-15,7.67117051473693e-18,3.95591160889952e-18,2.47183536657071e-08,3.95591160889952e-18,1.03462871215398e-17,4.33123080260219e-18,3.95591160889952e-18,4.07730530936212e-18,6.15510428365837e-09,0.00385349643922982,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,1.95369926417803e-15,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,1.61703099974578e-17,3.95591160889952e-18,3.95591160889952e-18,2.12642543372231e-09,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,4.33123080260219e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,9.85177821693811e-11,3.95591160889952e-18,3.95591160889952e-18,4.07730530936212e-18,3.95591160889952e-18
"Adenosine",3.95591160889952e-18,NA,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,0.00377003607169207,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,1.97889645678163e-14,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,1.93947551011479e-10,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,1.31328151759545e-17,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,4.33123080260219e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,9.39832757318043e-17,4.07730530936212e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,4.07730530936212e-18,4.20237510796545e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,1.20103554938643e-17,3.42240488544539e-16,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,5.51265575167599e-18
"ADGRA",2.6487943018047e-15,3.95591160889952e-18,NA,3.95591160889952e-18,5.56757734645411e-17,3.95591160889952e-18,0.000660041410131463,3.95591160889952e-18,3.95591160889952e-18,2.516262652751e-14,1.60778502598506e-05,4.07730530936212e-18,3.95591160889952e-18,8.61523599774715e-17,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,0.5881380789044,3.95591160889952e-18,3.95591160889952e-18,0.0225290134833312,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,4.84816792258483e-06,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,6.63198319372062e-17,1.09826784591644e-17,3.95591160889952e-18,4.50888000065235e-14,3.95591160889952e-18,1.18365549303848e-15,6.60252524033002e-18,3.95591160889952e-18,3.95591160889952e-18,0.128144757031376,1.12726673058647e-13,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,1.48215309320209e-09,4.33123080260219e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,6.34751871194282e-14,3.95591160889952e-18,3.95591160889952e-18,0.257244475350515,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,4.33123080260219e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,0.776669572170889,3.95591160889952e-18,4.20237510796545e-18,3.95591160889952e-18,3.95591160889952e-18
"ADGRB",3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,NA,3.95591160889952e-18,4.6770678927578e-16,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,4.60075532902844e-18,1.30606051743935e-08,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.10491639557607e-09,4.20237510796545e-18,1.6405603505616e-14,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,4.07730530936212e-18,3.95591160889952e-18,3.95591160889952e-18,9.51890008323197e-07,1.49207992017746e-16,4.33123080260219e-18,4.27915994019688e-17,3.95591160889952e-18,3.95591160889952e-18,1.94013486907276e-13,1.6405603505616e-14,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,5.9021772052104e-17,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,4.33123080260219e-18,3.95591160889952e-18,4.07730530936212e-18,3.95591160889952e-18,3.95591160889952e-18,4.20237510796545e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,4.07730530936212e-18,3.95591160889952e-18,1.03462871215398e-17,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,0.103514959854991,3.95591160889952e-18,2.37603815731769e-08,0.285701045040383,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,1.56972981663118e-17,3.95591160889952e-18,3.95591160889952e-18,0.390968642603049,3.95591160889952e-18,3.95591160889952e-18,7.02956749043176e-17,1.66573808352069e-17,4.34549849531847e-15,3.95591160889952e-18,1.1315207851887e-17,3.95591160889952e-18,4.07730530936212e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,4.07730530936212e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18
"ADGRG",4.20237510796545e-18,3.95591160889952e-18,5.56757734645411e-17,3.95591160889952e-18,NA,3.95591160889952e-18,4.01023197103379e-12,3.95591160889952e-18,4.70774723729727e-09,4.20237510796545e-18,6.02293219069779e-14,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,1.12904270586492e-10,3.95591160889952e-18,3.95591160889952e-18,1.59081283823739e-07,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,0.696351788404892,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,2.47183536657071e-08,3.95591160889952e-18,5.51265575167599e-18,3.95591160889952e-18,9.45934121085736e-18,6.92330066388704e-13,3.95591160889952e-18,4.07730530936212e-18,2.26170696377025e-14,4.74166029806301e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,0.000581619609529607,1.20103554938643e-17,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,8.03407756685263e-14,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,1.66134194997656e-08,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,4.83934814686181e-11,3.95591160889952e-18,3.95591160889952e-18,4.46398542390809e-18,3.95591160889952e-18
"ADGRL",3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,4.6770678927578e-16,3.95591160889952e-18,NA,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.05390148966701e-16,6.39438808026142e-10,3.95591160889952e-18,3.95591160889952e-18,4.07730530936212e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,4.33123080260219e-18,3.95591160889952e-18,0.0430263440477245,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,7.84247127474228e-11,3.95591160889952e-18,3.95591160889952e-18,7.01109588958762e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,4.33123080260219e-18,0.101346245405105,3.95591160889952e-18,3.95591160889952e-18,2.17457280454137e-17,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,0.00728314581528016,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,7.22464014675288e-18,2.81936837354087e-07,3.95591160889952e-18,4.20237510796545e-18,2.43029640397951e-16,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.09807318224499e-17,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18
"AGRN",1.2361571407864e-10,3.95591160889952e-18,0.000660041410131463,3.95591160889952e-18,4.01023197103379e-12,3.95591160889952e-18,NA,3.95591160889952e-18,6.91165804858095e-15,4.90658485583722e-09,0.000890099233056898,9.18070868811165e-18,3.95591160889952e-18,1.05471498191107e-10,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,0.00532375159940146,3.95591160889952e-18,3.95591160889952e-18,0.000320418619559613,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,1.23735672047013e-17,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.26221965329065e-07,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,9.35473964577657e-13,8.02383015321399e-11,3.95591160889952e-18,6.02989686550988e-09,3.95591160889952e-18,2.62532899043992e-09,4.50888000065235e-14,3.95591160889952e-18,4.74166029806301e-18,0.0774663702065603,0.309617485874071,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,1.41568911620959e-10,6.56520707337055e-16,4.07730530936212e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,4.46398542390809e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.38555195252633e-08,5.0363722610573e-18,3.95591160889952e-18,0.0498132293275047,6.80378409415447e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,1.32319872769224e-14,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,0.00790487764075502,3.95591160889952e-18,3.19057193919638e-17,2.23981235913202e-17,3.95591160889952e-18
"Androstenedione",3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,NA,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,0.194298458996803,3.95591160889952e-18,0.4141558258227,3.95591160889952e-18,1.82023844029906e-05,3.95591160889952e-18,0.143465403084259,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,4.74166029806301e-18,4.07730530936212e-18,9.89815757508727e-14,1.15089193145036e-16,3.95591160889952e-18,3.95591160889952e-18,1.35294980380649e-17,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,1.1315207851887e-17,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,0.000676861224046455,3.95591160889952e-18,0.0115550355231428,3.95591160889952e-18,3.95591160889952e-18,7.1562828978595e-11,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,8.22747396833576e-08,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,5.0363722610573e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,4.46398542390809e-18,8.64752108146507e-18,7.67117051473693e-18,0.299896698810111,2.96806408851454e-16,3.95591160889952e-18,7.44544116741657e-10,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,0.00100630609831396,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18
"ANGPT",4.33123080260219e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,4.70774723729727e-09,3.95591160889952e-18,6.91165804858095e-15,3.95591160889952e-18,NA,4.60075532902844e-18,1.72289135006331e-16,6.25659385293209e-17,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,5.86681492545193e-14,3.95591160889952e-18,3.95591160889952e-18,5.68750712431423e-11,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,2.92094064174088e-17,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,0.0299083407560621,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,7.67117051473693e-18,3.95591160889952e-18,5.19043683699158e-18,3.95591160889952e-18,9.74631639820544e-18,0.501461150611938,3.95591160889952e-18,4.07730530936212e-18,2.72456795287507e-16,4.20237510796545e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,0.0291378027971749,8.89806815099546e-13,4.07730530936212e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,4.07730530936212e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,4.74166029806301e-18,1.56972981663118e-17,3.95591160889952e-18,6.38268446287644e-16,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,0.352336462781542,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.8479191600766e-14,3.95591160889952e-18,1.49207992017746e-16,3.95591160889952e-18,3.95591160889952e-18
"ANGPTL",1.61401436578402e-09,3.95591160889952e-18,2.516262652751e-14,3.95591160889952e-18,4.20237510796545e-18,3.95591160889952e-18,4.90658485583722e-09,3.95591160889952e-18,4.60075532902844e-18,NA,2.16906701228079e-10,3.95591160889952e-18,3.95591160889952e-18,2.83535655639509e-11,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,1.48215309320209e-09,3.95591160889952e-18,3.95591160889952e-18,9.20129385608661e-11,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.87024774392195e-13,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,5.86681492545193e-14,8.91017949833904e-18,3.95591160889952e-18,0.0105763130537246,3.95591160889952e-18,1.71589226164853e-17,4.33123080260219e-18,3.95591160889952e-18,3.95591160889952e-18,5.29379933428281e-08,0.0192950992114399,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,4.71750274773695e-15,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.19057193919638e-17,3.95591160889952e-18,3.95591160889952e-18,2.15204164931701e-08,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,4.20237510796545e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,1.39020767863208e-09,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18
