"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Sertoli","SSC","INHBA","ACVR1B_ACVR2A",8.81886174751058e-05,0,"INHBA_ACVR1B_ACVR2A","INHBA - (ACVR1B+ACVR2A)","ACTIVIN","Secreted Signaling","KEGG: hsa04350"
"Sertoli","Spermatocyte","INHBA","ACVR1B_ACVR2A",1.96543068239154e-05,0,"INHBA_ACVR1B_ACVR2A","INHBA - (ACVR1B+ACVR2A)","ACTIVIN","Secreted Signaling","KEGG: hsa04350"
"Sertoli","Spermatid","INHBA","ACVR1B_ACVR2A",2.89333705875998e-05,0,"INHBA_ACVR1B_ACVR2A","INHBA - (ACVR1B+ACVR2A)","ACTIVIN","Secreted Signaling","KEGG: hsa04350"
"Sertoli","Sertoli","INHBA","ACVR1B_ACVR2A",0.00039248978203288,0,"INHBA_ACVR1B_ACVR2A","INHBA - (ACVR1B+ACVR2A)","ACTIVIN","Secreted Signaling","KEGG: hsa04350"
"Sertoli","SSC","INHBA","ACVR1B_ACVR2B",6.06928933772024e-05,0,"INHBA_ACVR1B_ACVR2B","INHBA - (ACVR1B+ACVR2B)","ACTIVIN","Secreted Signaling","KEGG: hsa04351"
"Sertoli","Spermatocyte","INHBA","ACVR1B_ACVR2B",1.21426811241818e-05,0,"INHBA_ACVR1B_ACVR2B","INHBA - (ACVR1B+ACVR2B)","ACTIVIN","Secreted Signaling","KEGG: hsa04351"
"Sertoli","Spermatid","INHBA","ACVR1B_ACVR2B",1.67016292595155e-05,0,"INHBA_ACVR1B_ACVR2B","INHBA - (ACVR1B+ACVR2B)","ACTIVIN","Secreted Signaling","KEGG: hsa04351"
"Sertoli","Sertoli","INHBA","ACVR1B_ACVR2B",0.000199499223574133,0,"INHBA_ACVR1B_ACVR2B","INHBA - (ACVR1B+ACVR2B)","ACTIVIN","Secreted Signaling","KEGG: hsa04351"
"SSC","SSC","WNT5B","FZD3",1.85787753218447e-06,0,"WNT5B_FZD3","WNT5B - FZD3","ncWNT","Secreted Signaling","KEGG: hsa04310"
"SSC","Spermatid","WNT5B","FZD3",1.12206228144451e-06,0,"WNT5B_FZD3","WNT5B - FZD3","ncWNT","Secreted Signaling","KEGG: hsa04310"
"SSC","Sertoli","WNT5B","FZD3",0.000122194410078902,0,"WNT5B_FZD3","WNT5B - FZD3","ncWNT","Secreted Signaling","KEGG: hsa04310"
"SSC","SSC","WNT5B","FZD6",1.34981088306153e-06,0,"WNT5B_FZD6","WNT5B - FZD6","ncWNT","Secreted Signaling","KEGG: hsa04310"
"Sertoli","SSC","WNT5B","FZD6",6.36546074405613e-06,0,"WNT5B_FZD6","WNT5B - FZD6","ncWNT","Secreted Signaling","KEGG: hsa04310"
"SSC","Spermatid","WNT5B","FZD6",3.16057280193583e-07,0,"WNT5B_FZD6","WNT5B - FZD6","ncWNT","Secreted Signaling","KEGG: hsa04310"
"SSC","Sertoli","WNT5B","FZD6",1.79486512625135e-05,0,"WNT5B_FZD6","WNT5B - FZD6","ncWNT","Secreted Signaling","KEGG: hsa04310"
"SSC","Sertoli","NRG1","ERBB3",0.000221790050086013,0,"NRG1_ERBB3","NRG1 - ERBB3","NRG","Secreted Signaling","KEGG: hsa04012"
"Sertoli","Sertoli","NRG1","ERBB3",0.00245210190569137,0,"NRG1_ERBB3","NRG1 - ERBB3","NRG","Secreted Signaling","KEGG: hsa04012"
"SSC","Sertoli","NRG1","ERBB2_ERBB3",5.63307660598559e-05,0,"NRG1_ERBB2_ERBB3","NRG1 - (ERBB2+ERBB3)","NRG","Secreted Signaling","KEGG: hsa04012"
"Sertoli","Sertoli","NRG1","ERBB2_ERBB3",0.000620221285501327,0,"NRG1_ERBB2_ERBB3","NRG1 - (ERBB2+ERBB3)","NRG","Secreted Signaling","KEGG: hsa04012"
"SSC","Sertoli","NRG1","ERBB4",0.00746670802591474,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Sertoli","Sertoli","NRG1","ERBB4",0.100844435782735,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"SSC","Sertoli","NRG1","ERBB2_ERBB4",0.00038690517450123,0,"NRG1_ERBB2_ERBB4","NRG1 - (ERBB2+ERBB4)","NRG","Secreted Signaling","KEGG: hsa04012"
"Sertoli","Sertoli","NRG1","ERBB2_ERBB4",0.0042953656127247,0,"NRG1_ERBB2_ERBB4","NRG1 - (ERBB2+ERBB4)","NRG","Secreted Signaling","KEGG: hsa04012"
"SSC","Sertoli","NRG2","ERBB3",1.03509527054436e-05,0,"NRG2_ERBB3","NRG2 - ERBB3","NRG","Secreted Signaling","KEGG: hsa04012"
"SSC","Sertoli","NRG2","ERBB2_ERBB3",2.61155902717093e-06,0,"NRG2_ERBB2_ERBB3","NRG2 - (ERBB2+ERBB3)","NRG","Secreted Signaling","KEGG: hsa04012"
"Sertoli","Sertoli","NRG2","ERBB2_ERBB3",7.33164659508154e-06,0,"NRG2_ERBB2_ERBB3","NRG2 - (ERBB2+ERBB3)","NRG","Secreted Signaling","KEGG: hsa04012"
"SSC","SSC","NRG2","ERBB4",4.94211006412931e-06,0.01,"NRG2_ERBB4","NRG2 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"SSC","Spermatid","NRG2","ERBB4",3.3451755533927e-06,0.01,"NRG2_ERBB4","NRG2 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"SSC","Sertoli","NRG2","ERBB4",0.000492016320460528,0,"NRG2_ERBB4","NRG2 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"SSC","Leydig","NRG2","ERBB4",2.13899998294699e-06,0.01,"NRG2_ERBB4","NRG2 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"SSC","Myoid","NRG2","ERBB4",4.83051329497939e-06,0,"NRG2_ERBB4","NRG2 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"SSC","Sertoli","NRG2","ERBB2_ERBB4",1.81777489500988e-05,0,"NRG2_ERBB2_ERBB4","NRG2 - (ERBB2+ERBB4)","NRG","Secreted Signaling","KEGG: hsa04012"
"SSC","SSC","NRG3","ERBB4",4.70257852151113e-05,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"SSC","Spermatocyte","NRG3","ERBB4",3.0463685702835e-05,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"SSC","Spermatid","NRG3","ERBB4",3.18497843191043e-05,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
