"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence","datasets","ligand.logFC","ligand.pct.1","ligand.pct.2","ligand.pvalues","receptor.logFC","receptor.pct.1","receptor.pct.2","receptor.pvalues"
"Sertoli","SSC","INHBA","ACVR1B_ACVR2A",8.81886174751058e-05,0,"INHBA_ACVR1B_ACVR2A","INHBA - (ACVR1B+ACVR2A)","ACTIVIN","Secreted Signaling","KEGG: hsa04350","crypto",0.285928423496044,31.0999907330183,16.7179301610277,7.61521566048103e-251,NA,NA,NA,NA
"Sertoli","Sertoli","INHBA","ACVR1B_ACVR2A",0.00039248978203288,0,"INHBA_ACVR1B_ACVR2A","INHBA - (ACVR1B+ACVR2A)","ACTIVIN","Secreted Signaling","KEGG: hsa04350","crypto",0.285928423496044,31.0999907330183,16.7179301610277,7.61521566048103e-251,-0.0975788259355636,28.7925122787508,49.1405825945359,3.98396995214607e-169
"Sertoli","SSC","INHBA","ACVR1B_ACVR2B",6.06928933772024e-05,0,"INHBA_ACVR1B_ACVR2B","INHBA - (ACVR1B+ACVR2B)","ACTIVIN","Secreted Signaling","KEGG: hsa04351","crypto",0.285928423496044,31.0999907330183,16.7179301610277,7.61521566048103e-251,-0.0889196439268797,25.5345911949686,30.8649289099526,0.00176443619799431
"Sertoli","Sertoli","INHBA","ACVR1B_ACVR2B",0.000199499223574133,0,"INHBA_ACVR1B_ACVR2B","INHBA - (ACVR1B+ACVR2B)","ACTIVIN","Secreted Signaling","KEGG: hsa04351","crypto",0.285928423496044,31.0999907330183,16.7179301610277,7.61521566048103e-251,NA,NA,NA,NA
"Sertoli","SSC","Activin AB","ACVR1B_ACVR2A",6.90800315419454e-06,0,"INHBABB_ACVR1B_ACVR2A","INHBABB - (ACVR1B+ACVR2A)","ACTIVIN","Secreted Signaling","PMID: 2457849; PMID: 22991378","crypto",0.285928423496044,31.0999907330183,16.7179301610277,7.61521566048103e-251,NA,NA,NA,NA
"Sertoli","Sertoli","Activin AB","ACVR1B_ACVR2A",3.06570581147316e-05,0,"INHBABB_ACVR1B_ACVR2A","INHBABB - (ACVR1B+ACVR2A)","ACTIVIN","Secreted Signaling","PMID: 2457849; PMID: 22991378","crypto",0.285928423496044,31.0999907330183,16.7179301610277,7.61521566048103e-251,-0.0975788259355636,28.7925122787508,49.1405825945359,3.98396995214607e-169
"Sertoli","SSC","Activin AB","ACVR1B_ACVR2B",4.74914899152109e-06,0,"INHBABB_ACVR1B_ACVR2B","INHBABB - (ACVR1B+ACVR2B)","ACTIVIN","Secreted Signaling","PMID: 2457849; PMID: 22991378","crypto",0.285928423496044,31.0999907330183,16.7179301610277,7.61521566048103e-251,-0.0889196439268797,25.5345911949686,30.8649289099526,0.00176443619799431
"Sertoli","Sertoli","Activin AB","ACVR1B_ACVR2B",1.5578447104021e-05,0,"INHBABB_ACVR1B_ACVR2B","INHBABB - (ACVR1B+ACVR2B)","ACTIVIN","Secreted Signaling","PMID: 2457849; PMID: 22991378","crypto",0.285928423496044,31.0999907330183,16.7179301610277,7.61521566048103e-251,NA,NA,NA,NA
"Sertoli","SSC","Activin AB","ACVR1C_ACVR2A",1.35401685170431e-05,0,"INHBABB_ACVR1C_ACVR2A","INHBABB - (ACVR1C+ACVR2A)","ACTIVIN","Secreted Signaling","PMID: 2457849; PMID: 22991378","crypto",0.285928423496044,31.0999907330183,16.7179301610277,7.61521566048103e-251,-0.118682902414647,26.2893081761006,34.0047393364929,8.05144275826436e-05
"Sertoli","SSC","Activin AB","ACVR1C_ACVR2B",9.30947133578158e-06,0,"INHB_ACVR1C_ACVR2B","INHB - (ACVR1C+ACVR2B)","ACTIVIN","Secreted Signaling","PMID: 2457849; PMID: 22991378","crypto",0.285928423496044,31.0999907330183,16.7179301610277,7.61521566048103e-251,-0.103801273170763,25.9119496855346,32.4348341232227,0.000922475312788475
