"gene","status"
"TGFB1","PRESENT"
"TGFB2","PRESENT"
"TGFB3","PRESENT"
"BMP2","PRESENT"
"BMP4","PRESENT"
"GDF5","PRESENT"
"GDF6","PRESENT"
"GDF7","PRESENT"
"BMP15","PRESENT"
"BMP5","PRESENT"
"BMP6","PRESENT"
"BMP7","PRESENT"
"BMP8A","PRESENT"
"BMP8B","PRESENT"
"BMP10","PRESENT"
"GDF2","PRESENT"
"GDF9","PRESENT"
"GDF10","PRESENT"
"GDF11","PRESENT"
"GDF15","PRESENT"
"MSTN","PRESENT"
"AMH","PRESENT"
"GDNF","PRESENT"
"NRTN","PRESENT"
"ARTN","PRESENT"
"PSPN","PRESENT"
"NODAL","PRESENT"
"GDF1","PRESENT"
"GDF3","PRESENT"
"INHBA","PRESENT"
"INHBB","PRESENT"
"INHBC","PRESENT"
"INHBE","PRESENT"
"WNT1","PRESENT"
"WNT10A","PRESENT"
"WNT10B","PRESENT"
"WNT16","PRESENT"
"WNT2","PRESENT"
"WNT2B","PRESENT"
"WNT3","PRESENT"
"WNT3A","PRESENT"
"WNT4","PRESENT"
"WNT6","PRESENT"
"WNT7A","PRESENT"
"WNT7B","PRESENT"
"WNT8A","PRESENT"
"WNT8B","PRESENT"
"WNT9A","PRESENT"
"WNT9B","PRESENT"
"WNT5A","PRESENT"
"WNT5B","PRESENT"
"WNT11","PRESENT"
"EGF","PRESENT"
"TGFA","PRESENT"
"AREG","PRESENT"
"BTC","PRESENT"
"HBEGF","PRESENT"
"EREG","PRESENT"
"NRG1","PRESENT"
"NRG2","PRESENT"
"NRG3","PRESENT"
"NRG4","PRESENT"
"FGF1","PRESENT"
"FGF2","PRESENT"
"FGF4","PRESENT"
"FGF5","PRESENT"
"FGF6","PRESENT"
"FGF7","PRESENT"
"FGF3","PRESENT"
"FGF10","PRESENT"
"FGF22","PRESENT"
"FGF8","PRESENT"
"FGF17","PRESENT"
"FGF18","PRESENT"
"FGF9","PRESENT"
"FGF20","PRESENT"
"FGF16","PRESENT"
"FGF19","PRESENT"
"FGF21","PRESENT"
"FGF23","PRESENT"
"PDGFA","PRESENT"
"PDGFB","PRESENT"
"PDGFC","PRESENT"
"PDGFD","PRESENT"
"VEGFA","PRESENT"
"VEGFB","PRESENT"
"VEGFC","PRESENT"
"VEGFD","PRESENT"
"PGF","PRESENT"
"IGF1","PRESENT"
"IGF2","PRESENT"
"INS","PRESENT"
"APLN","PRESENT"
"DHH","PRESENT"
"IHH","PRESENT"
"SHH","PRESENT"
"CCL5","PRESENT"
"CCL3","PRESENT"
"CCL8","PRESENT"
"CCL13","PRESENT"
"CCL15","PRESENT"
"CCL16","PRESENT"
"CCL2","PRESENT"
"CCL27","PRESENT"
"CCL11","PRESENT"
"CCL24","PRESENT"
"CCL26","PRESENT"
"CCL28","PRESENT"
"CCL17","PRESENT"
"CCL22","PRESENT"
"CCL4","PRESENT"
"CCL20","PRESENT"
"CCL19","PRESENT"
"CCL1","PRESENT"
"CCL25","PRESENT"
"CXCL1","PRESENT"
"CXCL2","PRESENT"
"CXCL6","PRESENT"
"CXCL8","PRESENT"
"CXCL9","PRESENT"
"CXCL10","PRESENT"
"CXCL11","PRESENT"
"CXCL13","PRESENT"
"PPBP","PRESENT"
"PF4","PRESENT"
"CXCL12","PRESENT"
"CXCL16","PRESENT"
"MIF","PRESENT"
"CX3CL1","PRESENT"
"XCL1","PRESENT"
"IL2","PRESENT"
"IL4","PRESENT"
"IL7","PRESENT"
"IL9","PRESENT"
"IL15","PRESENT"
"IL21","PRESENT"
"TSLP","PRESENT"
"IL5","PRESENT"
"CSF2","PRESENT"
"IL13","PRESENT"
"IL6","PRESENT"
"IL11","PRESENT"
"IL31","PRESENT"
"CNTF","PRESENT"
"CLCF1","PRESENT"
"CTF1","PRESENT"
"LIF","PRESENT"
"OSM","PRESENT"
"IL10","PRESENT"
"IL19","PRESENT"
"IL20","PRESENT"
"IL24","PRESENT"
"IL22","PRESENT"
"IL26","PRESENT"
"IL1A","PRESENT"
"IL36A","PRESENT"
"IL36B","PRESENT"
"IL36G","PRESENT"
"IL1F10","PRESENT"
"IL37","PRESENT"
"IL18","PRESENT"
"IL33","PRESENT"
"IL17A","PRESENT"
"IL17F","PRESENT"
"IL17B","PRESENT"
"IL17C","PRESENT"
"IL25","PRESENT"
"IL34","PRESENT"
"CSF1","PRESENT"
"IL16","PRESENT"
"EPO","PRESENT"
"GH1","PRESENT"
"PRL","PRESENT"
"THPO","PRESENT"
"CSF3","PRESENT"
"IFNB1","PRESENT"
"IFNK","PRESENT"
"IFNE","PRESENT"
"IFNA1","PRESENT"
"IFNG","PRESENT"
"TNF","PRESENT"
"LTA","PRESENT"
"TNFSF14","PRESENT"
"FASLG","PRESENT"
"TNFSF15","PRESENT"
"TNFSF10","PRESENT"
"EDA","PRESENT"
"NGF","PRESENT"
"TNFSF11","PRESENT"
"TNFSF12","PRESENT"
"CD70","PRESENT"
"TNFSF8","PRESENT"
"TNFSF9","PRESENT"
"TNFSF4","PRESENT"
"TNFSF18","PRESENT"
"TNFSF13","PRESENT"
"TNFSF13B","PRESENT"
"CD40LG","PRESENT"
"SPP1","PRESENT"
"ADIPOQ","PRESENT"
"RETN","PRESENT"
"NAMPT","PRESENT"
"ANGPTL1","PRESENT"
"ANGPTL2","PRESENT"
"ANGPTL7","PRESENT"
"ANGPTL4","PRESENT"
"ANGPTL3","PRESENT"
"ANGPT1","PRESENT"
"ANGPT2","PRESENT"
"MDK","PRESENT"
"PTN","PRESENT"
"POSTN","PRESENT"
"AGT","PRESENT"
"GRP","PRESENT"
"NMB","PRESENT"
"KNG1","PRESENT"
"C5","PRESENT"
"CCK","PRESENT"
"EDN1","PRESENT"
"EDN2","PRESENT"
"EDN3","PRESENT"
"GAL","PRESENT"
"GALP","PRESENT"
"GHRL","PRESENT"
"KISS1","PRESENT"
"POMC","PRESENT"
"NMU","PRESENT"
"NMS","PRESENT"
"NPFF","PRESENT"
"NPY","PRESENT"
"PPY","PRESENT"
"PYY","PRESENT"
"NPB","PRESENT"
"NPW","PRESENT"
"NTS","PRESENT"
"PDYN","PRESENT"
"PENK","PRESENT"
"HCRT","PRESENT"
"OXT","PRESENT"
"SST","PRESENT"
"TAC1","PRESENT"
"TAC4","PRESENT"
"TAC3","PRESENT"
"UTS2","PRESENT"
"AVP","PRESENT"
"PRLH","PRESENT"
"F2","PRESENT"
"PLG","PRESENT"
"GZMA","PRESENT"
"PRSS2","PRESENT"
"PMCH","PRESENT"
"PROK1","PRESENT"
"PROK2","PRESENT"
"ADCYAP1","PRESENT"
"VIP","PRESENT"
"NPPA","PRESENT"
"NPPB","PRESENT"
"NPPC","PRESENT"
"KITLG","PRESENT"
"GCG","PRESENT"
"GIP","PRESENT"
"FSHB","PRESENT"
"CGA","PRESENT"
"LHB","PRESENT"
"TSHB","PRESENT"
"BDNF","PRESENT"
"FLT3LG","PRESENT"
"HGF","PRESENT"
"NTF3","PRESENT"
"NTF4","PRESENT"
"SEMA3A","PRESENT"
"SEMA3B","PRESENT"
"SEMA3C","PRESENT"
"SEMA3D","PRESENT"
"SEMA3F","PRESENT"
"SEMA3G","PRESENT"
"SEMA3E","PRESENT"
"ADM","PRESENT"
"ANXA1","PRESENT"
"APELA","PRESENT"
"CALCA","PRESENT"
"CALCB","PRESENT"
"CRH","PRESENT"
"ENHO","PRESENT"
"GAS6","PRESENT"
"GHRH","PRESENT"
"GNRH1","PRESENT"
"GRN","PRESENT"
"GUCA2A","PRESENT"
"GUCA2B","PRESENT"
"IAPP","PRESENT"
"INSL3","PRESENT"
"INSL5","PRESENT"
"LEP","PRESENT"
"NPS","PRESENT"
"NPVF","PRESENT"
"OSTN","PRESENT"
"PROS1","PRESENT"
"PSAP","PRESENT"
"PTH","PRESENT"
"PTH2","PRESENT"
"PTHLH","PRESENT"
"QRFP","PRESENT"
"RARRES2","PRESENT"
"RLN3","PRESENT"
"SAA1","PRESENT"
"SCGB3A2","PRESENT"
"SCT","PRESENT"
"BTLA","PRESENT"
"TRH","PRESENT"
"UCN","PRESENT"
"UCN3","PRESENT"
"UTS2B","PRESENT"
"BAG6","PRESENT"
"COL1A1","PRESENT"
"COL1A2","PRESENT"
"COL2A1","PRESENT"
"COL4A1","PRESENT"
"COL4A2","PRESENT"
"COL4A3","PRESENT"
"COL4A4","PRESENT"
"COL4A5","PRESENT"
"COL4A6","PRESENT"
"COL6A1","PRESENT"
"COL6A2","PRESENT"
"COL6A3","PRESENT"
"COL6A5","PRESENT"
"COL6A6","PRESENT"
"COL9A1","PRESENT"
"COL9A2","PRESENT"
"COL9A3","PRESENT"
"FN1","PRESENT"
"LAMA1","PRESENT"
"LAMA2","PRESENT"
"LAMA3","PRESENT"
"LAMA4","PRESENT"
"LAMA5","PRESENT"
"LAMB1","PRESENT"
"LAMB2","PRESENT"
"LAMB3","PRESENT"
"LAMC1","PRESENT"
"LAMC2","PRESENT"
"LAMC3","PRESENT"
"CHAD","PRESENT"
"RELN","PRESENT"
"THBS1","PRESENT"
"THBS2","PRESENT"
"THBS3","PRESENT"
"THBS4","PRESENT"
"COMP","PRESENT"
"VTN","PRESENT"
"TNC","PRESENT"
"TNR","PRESENT"
"TNN","PRESENT"
"TNXB","PRESENT"
"DSPP","PRESENT"
"VWF","PRESENT"
"IBSP","PRESENT"
"DMP1","PRESENT"
"AGRN","PRESENT"
"HSPG2","PRESENT"
"APP","PRESENT"
"CADM1","PRESENT"
"CADM3","PRESENT"
"FCER2","PRESENT"
"CD34","PRESENT"
"ENTPD1","PRESENT"
"PTPRC","PRESENT"
"CD46","PRESENT"
"CD48","PRESENT"
"CD6","PRESENT"
"CD80","PRESENT"
"CD86","PRESENT"
"CD96","PRESENT"
"CD99","PRESENT"
"CDH15","PRESENT"
"CDH4","PRESENT"
"CDH2","PRESENT"
"CDH1","PRESENT"
"CDH5","PRESENT"
"CD1D","PRESENT"
"CD209","PRESENT"
"CD8A","PRESENT"
"SELE","PRESENT"
"CLDN11","PRESENT"
"CLEC2B","PRESENT"
"CD69","PRESENT"
"CLEC2L","PRESENT"
"CLEC1B","PRESENT"
"NFASC","PRESENT"
"CNTN2","PRESENT"
"CNTN1","PRESENT"
"CSPG4","PRESENT"
"DSC1","PRESENT"
"DSC2","PRESENT"
"DSC3","PRESENT"
"EPGN","PRESENT"
"EFNA1","PRESENT"
"EFNA2","PRESENT"
"EFNA3","PRESENT"
"EFNA4","PRESENT"
"EFNA5","PRESENT"
"EFNB1","PRESENT"
"EFNB2","PRESENT"
"EFNB3","PRESENT"
"ESAM","PRESENT"
"GP1BA","PRESENT"
"ICAM1","PRESENT"
"ICAM2","PRESENT"
"ICAM5","PRESENT"
"ICOSLG","PRESENT"
"JAM2","PRESENT"
"JAM3","PRESENT"
"F11R","PRESENT"
"L1CAM","PRESENT"
"LCK","PRESENT"
"MADCAM1","PRESENT"
"MAG","PRESENT"
"HLA-DMA","PRESENT"
"HLA-DMB","PRESENT"
"HLA-DRA","PRESENT"
"MPZ","PRESENT"
"MPZL1","PRESENT"
"NCAM1","PRESENT"
"NCAM2","PRESENT"
"NECTIN1","PRESENT"
"NECTIN3","PRESENT"
"NECTIN2","PRESENT"
"NEGR1","PRESENT"
"LRRC4C","PRESENT"
"LRRC4","PRESENT"
"LRRC4B","PRESENT"
"DLK1","PRESENT"
"DLL1","PRESENT"
"DLL3","PRESENT"
"DLL4","PRESENT"
"JAG1","PRESENT"
"JAG2","PRESENT"
"NRXN1","PRESENT"
"NRXN2","PRESENT"
"NRXN3","PRESENT"
"OCLN","PRESENT"
"CD274","PRESENT"
"PDCD1LG2","PRESENT"
"PECAM1","PRESENT"
"PTPRM","PRESENT"
"PVR","PRESENT"
"SELL","PRESENT"
"SELPLG","PRESENT"
"SEMA4A","PRESENT"
"SEMA4D","PRESENT"
"SEMA4C","PRESENT"
"SEMA4G","PRESENT"
"SEMA5A","PRESENT"
"SEMA5B","PRESENT"
"SEMA6D","PRESENT"
"SEMA6A","PRESENT"
"SEMA6B","PRESENT"
"SEMA7A","PRESENT"
"SIGLEC1","PRESENT"
"THY1","PRESENT"
"VSIR","PRESENT"
"CDH3","PRESENT"
"CDH12","PRESENT"
"GJA5","PRESENT"
"GJA1","PRESENT"
"GJC1","PRESENT"
"GJA3","PRESENT"
"CLDN1","PRESENT"
"CLDN2","PRESENT"
"CLDN3","PRESENT"
"PCDHA3","PRESENT"
"PCDHB1","PRESENT"
"PCDHB2","PRESENT"
"PCDHB3","PRESENT"
"PCDHB4","PRESENT"
"PCDHB5","PRESENT"
"PCDHB6","PRESENT"
"PCDHB7","PRESENT"
"PCDHB8","PRESENT"
"PCDHGC3","PRESENT"
"KLK6","PRESENT"
"KLK5","PRESENT"
"KLK1","PRESENT"
"KLK14","PRESENT"
"KLK7","PRESENT"
"KLK8","PRESENT"
"PROC","PRESENT"
"SDC1","PRESENT"
"SDC2","PRESENT"
"TAX1BP3","PRESENT"
"RTN4R","PRESENT"
"C1QL1","PRESENT"
"C1QL2","PRESENT"
"C1QL3","PRESENT"
"C1QL4","PRESENT"
"CD55","PRESENT"
"LPAR1","PRESENT"
"LPAR2","PRESENT"
"LPAR3","PRESENT"
"SFTPD","PRESENT"
"GAST","PRESENT"
"TGM2","PRESENT"
"PRNP","PRESENT"
"FLRT1","PRESENT"
"FLRT2","PRESENT"
"FLRT3","PRESENT"
"TENM1","PRESENT"
"TENM2","PRESENT"
"TENM3","PRESENT"
"TENM4","PRESENT"
"UNC5A","PRESENT"
"TAFA4","PRESENT"
"LRFN4","PRESENT"
"LRFN5","PRESENT"
"PTPRS","PRESENT"
"PNOC","PRESENT"
"SLITRK1","PRESENT"
"SLITRK2","PRESENT"
"SLITRK3","PRESENT"
"SLITRK4","PRESENT"
"SLITRK5","PRESENT"
"SLITRK6","PRESENT"
"APOA1","PRESENT"
"APOA2","PRESENT"
"APOB","PRESENT"
"APOE","PRESENT"
"CD160","PRESENT"
"CD276","PRESENT"
"CRTAM","PRESENT"
