"gene","reason"
"Activin AB","NO_ORTHOLOG_IN_MAPPING"
"Inhibin A","NO_ORTHOLOG_IN_MAPPING"
"Inhibin B","NO_ORTHOLOG_IN_MAPPING"
"IGFL3","NO_ORTHOLOG_IN_MAPPING"
"CCL3L1","NO_ORTHOLOG_IN_MAPPING"
"CCL3L3","NO_ORTHOLOG_IN_MAPPING"
"CCL7","NO_ORTHOLOG_IN_MAPPING"
"CCL14","NO_ORTHOLOG_IN_MAPPING"
"CCL23","NO_ORTHOLOG_IN_MAPPING"
"CCL21","NO_ORTHOLOG_IN_MAPPING"
"CCL18","NO_ORTHOLOG_IN_MAPPING"
"CXCL3","NO_ORTHOLOG_IN_MAPPING"
"CXCL5","NO_ORTHOLOG_IN_MAPPING"
"PF4V1","NO_ORTHOLOG_IN_MAPPING"
"XCL2","NO_ORTHOLOG_IN_MAPPING"
"IL3","NO_ORTHOLOG_IN_MAPPING"
"IL12AB","NO_ORTHOLOG_IN_MAPPING"
"IL23 complex","NO_ORTHOLOG_IN_MAPPING"
"IL27 complex","NO_ORTHOLOG_IN_MAPPING"
"IL1B","NO_ORTHOLOG_IN_MAPPING"
"IL17AF","NO_ORTHOLOG_IN_MAPPING"
"IFNW1","NO_ORTHOLOG_IN_MAPPING"
"IFNA2","NO_ORTHOLOG_IN_MAPPING"
"IFNA4","NO_ORTHOLOG_IN_MAPPING"
"IFNA5","NO_ORTHOLOG_IN_MAPPING"
"IFNA6","NO_ORTHOLOG_IN_MAPPING"
"IFNA7","NO_ORTHOLOG_IN_MAPPING"
"IFNA8","NO_ORTHOLOG_IN_MAPPING"
"IFNA10","NO_ORTHOLOG_IN_MAPPING"
"IFNA13","NO_ORTHOLOG_IN_MAPPING"
"IFNA14","NO_ORTHOLOG_IN_MAPPING"
"IFNA16","NO_ORTHOLOG_IN_MAPPING"
"IFNA17","NO_ORTHOLOG_IN_MAPPING"
"IFNA21","NO_ORTHOLOG_IN_MAPPING"
"LTa1b2","NO_ORTHOLOG_IN_MAPPING"
"KLK3","NO_ORTHOLOG_IN_MAPPING"
"C3","NO_ORTHOLOG_IN_MAPPING"
"C4A","NO_ORTHOLOG_IN_MAPPING"
"CORT","NO_ORTHOLOG_IN_MAPPING"
"PRSS3","NO_ORTHOLOG_IN_MAPPING"
"CTSG","NO_ORTHOLOG_IN_MAPPING"
"PRSS1","NO_ORTHOLOG_IN_MAPPING"
"LGALS9","NO_ORTHOLOG_IN_MAPPING"
"RLN1","NO_ORTHOLOG_IN_MAPPING"
"SLURP1","NO_ORTHOLOG_IN_MAPPING"
