"human_symbol","n_horse_genes","n_present","best_gene","best_expr","non_loc_gene","non_loc_expr","non_loc_is_best","all_genes"
"ABCC9",4,4,"LOC111772371",50,NA,NA,NA,"LOC111767402=41; LOC111767430=0; LOC111767477=1; LOC111772371=50"
"ACP4",2,2,"LOC102151000",701,"ACP4",262,FALSE,"ACP4=262; LOC102151000=701"
"ACSM5",3,3,"ACSM5",12001,"ACSM5",12001,TRUE,"ACSM5=12001; LOC111767539=5910; LOC111767540=1973"
"ADAMTS3",2,2,"LOC106782979",14454,NA,NA,NA,"LOC100050106=3173; LOC106782979=14454"
"ADAMTS6",3,3,"ADAMTS6",88752,"ADAMTS6",88752,TRUE,"ADAMTS6=88752; LOC111769719=0; LOC111771761=4"
"ADAR",2,2,"ADAR",53661,"ADAR",53661,TRUE,"ADAR=53661; LOC111773516=0"
"ADCK1",2,2,"ADCK1",12663,"ADCK1",12663,TRUE,"ADCK1=12663; LOC106782523=804"
"AEBP1",2,2,"AEBP1",1183,"AEBP1",1183,TRUE,"AEBP1=1183; LOC111773141=7"
"AIDA",2,2,"AIDA",102699,"AIDA",102699,TRUE,"AIDA=102699; LOC111772087=13"
"AKR7A2",2,2,"LOC100071914",662,NA,NA,NA,"LOC100071914=662; LOC106782800=57"
"AKR7A3",3,3,"LOC100146514",97,NA,NA,NA,"LOC100146514=97; LOC100146563=82; LOC111772018=6"
"ALDH4A1",4,4,"ALDH4A1",3343,"ALDH4A1",3343,TRUE,"ALDH4A1=3343; LOC111771736=0; LOC111772301=0; LOC111772327=7"
"ALK",3,3,"LOC111768129",22783,NA,NA,NA,"LOC100070891=2743; LOC111768010=1341; LOC111768129=22783"
"ANAPC1",3,3,"LOC111767487",86,"ANAPC1",17,FALSE,"ANAPC1=17; LOC111767487=86; LOC111768045=15"
"ANKEF1",2,2,"ANKEF1",15348,"ANKEF1",15348,TRUE,"ANKEF1=15348; LOC111767461=25"
"ANKFN1",2,2,"ANKFN1",30249,"ANKFN1",30249,TRUE,"ANKFN1=30249; LOC106782731=1715"
"ANO4",2,2,"ANO4",2500,"ANO4",2500,TRUE,"ANO4=2500; LOC111770996=64"
"ANP32E",2,2,"ANP32E",8861,"ANP32E",8861,TRUE,"ANP32E=8861; LOC111772300=21"
"AP3S1",2,2,"AP3S1",54520,"AP3S1",54520,TRUE,"AP3S1=54520; LOC111767843=1198"
"APLP2",3,3,"APLP2",7273,"APLP2",7273,TRUE,"APLP2=7273; LOC111767432=2125; LOC111771759=133"
"APOLTP",2,2,"LOC102148840",8867,NA,NA,NA,"LOC102148840=8867; LOC102148921=2833"
"APOOL",4,4,"APOOL",6276,"APOOL",6276,TRUE,"APOOL=6276; LOC111772179=0; LOC111772306=0; LOC111772316=0"
"AQP11",2,2,"AQP11",810,"AQP11",810,TRUE,"AQP11=810; LOC111774329=104"
"ARF6",2,2,"ARF6",1360,"ARF6",1360,TRUE,"ARF6=1360; LOC111769311=150"
"ARHGAP24",3,3,"ARHGAP24",135610,"ARHGAP24",135610,TRUE,"ARHGAP24=135610; LOC111767416=0; LOC111767498=0"
"ARHGEF4",4,4,"LOC111768857",3122,NA,NA,NA,"LOC100067370=29; LOC111768857=3122; LOC111768858=0; LOC111771929=17"
"ARID3A",2,2,"ARID3A",850,"ARID3A",850,TRUE,"ARID3A=850; LOC111774158=31"
