"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Myoid","Sertoli","BMP5","ACVR1_ACVR2A",2.11996051228463e-05,0,"BMP5_ACVR1_ACVR2A","BMP5 - (ACVR1+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Myoid","Sertoli","BMP5","ACVR1_BMPR2",5.87453953882943e-05,0,"BMP5_ACVR1_BMPR2","BMP5 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Myoid","SSC","BMP5","BMPR1A_ACVR2A",2.67191504247955e-06,0,"BMP5_BMPR1A_ACVR2A","BMP5 - (BMPR1A+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Myoid","Spermatid","BMP5","BMPR1A_ACVR2A",1.32081210937413e-06,0,"BMP5_BMPR1A_ACVR2A","BMP5 - (BMPR1A+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Myoid","Sertoli","BMP5","BMPR1A_ACVR2A",4.54590244540798e-05,0,"BMP5_BMPR1A_ACVR2A","BMP5 - (BMPR1A+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Myoid","SSC","BMP5","BMPR1A_BMPR2",6.04702035804237e-06,0,"BMP5_BMPR1A_BMPR2","BMP5 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Myoid","Spermatocyte","BMP5","BMPR1A_BMPR2",2.14755473458706e-06,0,"BMP5_BMPR1A_BMPR2","BMP5 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Myoid","Spermatid","BMP5","BMPR1A_BMPR2",2.68468186775483e-06,0,"BMP5_BMPR1A_BMPR2","BMP5 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Myoid","Sertoli","BMP5","BMPR1A_BMPR2",0.000124794871028796,0,"BMP5_BMPR1A_BMPR2","BMP5 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Myoid","Leydig","BMP5","BMPR1A_BMPR2",1.027659139868e-06,0,"BMP5_BMPR1A_BMPR2","BMP5 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Myoid","Myoid","BMP5","BMPR1A_BMPR2",7.05570219263639e-07,0,"BMP5_BMPR1A_BMPR2","BMP5 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
"Myoid","Fibroblast","BMP5","BMPR1A_BMPR2",5.31309816890459e-06,0,"BMP5_BMPR1A_BMPR2","BMP5 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264"
