"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence","datasets","ligand.logFC","ligand.pct.1","ligand.pct.2","ligand.pvalues","receptor.logFC","receptor.pct.1","receptor.pct.2","receptor.pvalues"
"Leydig","Sertoli","BMP6","ACVR1_ACVR2A",0.000436874703769772,0,"BMP6_ACVR1_ACVR2A","BMP6 - (ACVR1+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264","healthy",-0.528895201052862,17.8571428571429,47.7148534525584,1.37179923005718e-10,-0.074415447614364,32.6185958254269,49.1405825945359,2.02258022567438e-77
"Leydig","Myoid","BMP6","ACVR1_ACVR2A",1.74574381175096e-05,0,"BMP6_ACVR1_ACVR2A","BMP6 - (ACVR1+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264","healthy",-0.528895201052862,17.8571428571429,47.7148534525584,1.37179923005718e-10,NA,NA,NA,NA
"Leydig","Sertoli","BMP6","ACVR1_BMPR2",0.00117067895012829,0,"BMP6_ACVR1_BMPR2","BMP6 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264","healthy",-0.528895201052862,17.8571428571429,47.7148534525584,1.37179923005718e-10,NA,NA,NA,NA
"Leydig","Myoid","BMP6","ACVR1_BMPR2",2.59319105414147e-05,0,"BMP6_ACVR1_BMPR2","BMP6 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264","healthy",-0.528895201052862,17.8571428571429,47.7148534525584,1.37179923005718e-10,NA,NA,NA,NA
"Leydig","SSC","BMP6","BMPR1A_ACVR2A",0.00013906947930845,0,"BMP6_BMPR1A_ACVR2A","BMP6 - (BMPR1A+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264","healthy",-0.528895201052862,17.8571428571429,47.7148534525584,1.37179923005718e-10,NA,NA,NA,NA
"Leydig","Spermatocyte","BMP6","BMPR1A_ACVR2A",0.000151237106369395,0,"BMP6_BMPR1A_ACVR2A","BMP6 - (BMPR1A+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264","healthy",-0.528895201052862,17.8571428571429,47.7148534525584,1.37179923005718e-10,-0.180791993958381,20.3045685279188,48.9791622816249,5.82702398514464e-09
"Leydig","Spermatid","BMP6","BMPR1A_ACVR2A",8.75586402686612e-05,0,"BMP6_BMPR1A_ACVR2A","BMP6 - (BMPR1A+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264","healthy",-0.528895201052862,17.8571428571429,47.7148534525584,1.37179923005718e-10,0.520674188088926,54.9668874172185,38.1735479356193,4.63683845929531e-11
"Leydig","Sertoli","BMP6","BMPR1A_ACVR2A",0.000874050597123663,0,"BMP6_BMPR1A_ACVR2A","BMP6 - (BMPR1A+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264","healthy",-0.528895201052862,17.8571428571429,47.7148534525584,1.37179923005718e-10,-0.343861629369237,46.3187855787476,70.983354441831,1.01129011283719e-77
"Leydig","Myoid","BMP6","BMPR1A_ACVR2A",5.94330294577658e-05,0,"BMP6_BMPR1A_ACVR2A","BMP6 - (BMPR1A+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264","healthy",-0.528895201052862,17.8571428571429,47.7148534525584,1.37179923005718e-10,-0.301423243871323,33.6633663366337,53.4466477809254,0.00612607036310074
"Leydig","Fibroblast","BMP6","BMPR1A_ACVR2A",2.71812132549796e-05,0,"BMP6_BMPR1A_ACVR2A","BMP6 - (BMPR1A+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264","healthy",-0.528895201052862,17.8571428571429,47.7148534525584,1.37179923005718e-10,-0.107096331039661,21.4598540145985,29.6153846153846,0.00617151956637503
