"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence","datasets","ligand.logFC","ligand.pct.1","ligand.pct.2","ligand.pvalues","receptor.logFC","receptor.pct.1","receptor.pct.2","receptor.pvalues"
"Myoid","Sertoli","BMP5","ACVR1_ACVR2A",2.11996051228463e-05,0,"BMP5_ACVR1_ACVR2A","BMP5 - (ACVR1+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264","bi-crypto",0.722767536147533,29.7029702970297,1.32200188857413,5.12837788368119e-47,-0.074415447614364,32.6185958254269,49.1405825945359,2.02258022567438e-77
"Myoid","Sertoli","BMP5","ACVR1_BMPR2",5.87453953882943e-05,0,"BMP5_ACVR1_BMPR2","BMP5 - (ACVR1+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264","bi-crypto",0.722767536147533,29.7029702970297,1.32200188857413,5.12837788368119e-47,NA,NA,NA,NA
"Myoid","SSC","BMP5","BMPR1A_ACVR2A",2.67191504247955e-06,0,"BMP5_BMPR1A_ACVR2A","BMP5 - (BMPR1A+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264","bi-crypto",0.722767536147533,29.7029702970297,1.32200188857413,5.12837788368119e-47,NA,NA,NA,NA
"Myoid","Spermatid","BMP5","BMPR1A_ACVR2A",1.32081210937413e-06,0,"BMP5_BMPR1A_ACVR2A","BMP5 - (BMPR1A+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264","bi-crypto",0.722767536147533,29.7029702970297,1.32200188857413,5.12837788368119e-47,0.520674188088926,54.9668874172185,38.1735479356193,4.63683845929531e-11
"Myoid","Sertoli","BMP5","BMPR1A_ACVR2A",4.54590244540798e-05,0,"BMP5_BMPR1A_ACVR2A","BMP5 - (BMPR1A+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264","bi-crypto",0.722767536147533,29.7029702970297,1.32200188857413,5.12837788368119e-47,-0.343861629369237,46.3187855787476,70.983354441831,1.01129011283719e-77
"Myoid","SSC","BMP5","BMPR1A_BMPR2",6.04702035804237e-06,0,"BMP5_BMPR1A_BMPR2","BMP5 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264","bi-crypto",0.722767536147533,29.7029702970297,1.32200188857413,5.12837788368119e-47,0.259020444231623,75.1968503937008,63.7440758293839,6.38602884375617e-05
"Myoid","Spermatocyte","BMP5","BMPR1A_BMPR2",2.14755473458706e-06,0,"BMP5_BMPR1A_BMPR2","BMP5 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264","bi-crypto",0.722767536147533,29.7029702970297,1.32200188857413,5.12837788368119e-47,NA,NA,NA,NA
"Myoid","Spermatid","BMP5","BMPR1A_BMPR2",2.68468186775483e-06,0,"BMP5_BMPR1A_BMPR2","BMP5 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264","bi-crypto",0.722767536147533,29.7029702970297,1.32200188857413,5.12837788368119e-47,0.490737979217039,57.2847682119205,43.1595521343597,2.11563150662559e-08
"Myoid","Sertoli","BMP5","BMPR1A_BMPR2",0.000124794871028796,0,"BMP5_BMPR1A_BMPR2","BMP5 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264","bi-crypto",0.722767536147533,29.7029702970297,1.32200188857413,5.12837788368119e-47,-0.61330781112411,60.0189753320683,92.8261262891261,0
"Myoid","Leydig","BMP5","BMPR1A_BMPR2",1.027659139868e-06,0,"BMP5_BMPR1A_BMPR2","BMP5 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264","bi-crypto",0.722767536147533,29.7029702970297,1.32200188857413,5.12837788368119e-47,0.574779855581128,37.8571428571429,12.4192747143567,2.9208423095774e-21
"Myoid","Myoid","BMP5","BMPR1A_BMPR2",7.05570219263639e-07,0,"BMP5_BMPR1A_BMPR2","BMP5 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264","bi-crypto",0.722767536147533,29.7029702970297,1.32200188857413,5.12837788368119e-47,-0.301423243871323,33.6633663366337,53.4466477809254,0.00612607036310074
"Myoid","Fibroblast","BMP5","BMPR1A_BMPR2",5.31309816890459e-06,0,"BMP5_BMPR1A_BMPR2","BMP5 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264","bi-crypto",0.722767536147533,29.7029702970297,1.32200188857413,5.12837788368119e-47,-0.157929003493194,36.3503649635037,46.3461538461538,0.00988950606711002
"Myoid","Endothelial","BMP5","BMPR1A_BMPR2",1.94021709559068e-06,0,"BMP5_BMPR1A_BMPR2","BMP5 - (BMPR1A+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264","bi-crypto",0.722767536147533,29.7029702970297,1.32200188857413,5.12837788368119e-47,NA,NA,NA,NA
"Myoid","SSC","BMP5","BMPR1B_ACVR2A",3.0003316002052e-06,0,"BMP5_BMPR1B_ACVR2A","BMP5 - (BMPR1B+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264","bi-crypto",0.722767536147533,29.7029702970297,1.32200188857413,5.12837788368119e-47,NA,NA,NA,NA
"Myoid","Spermatid","BMP5","BMPR1B_ACVR2A",1.52697231394881e-06,0,"BMP5_BMPR1B_ACVR2A","BMP5 - (BMPR1B+ACVR2A)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264","bi-crypto",0.722767536147533,29.7029702970297,1.32200188857413,5.12837788368119e-47,0.318838437026596,63.5761589403974,57.3827851644507,0.000210907513724007
"Myoid","SSC","BMP5","BMPR1B_BMPR2",6.77338242764788e-06,0,"BMP5_BMPR1B_BMPR2","BMP5 - (BMPR1B+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264","bi-crypto",0.722767536147533,29.7029702970297,1.32200188857413,5.12837788368119e-47,0.259020444231623,75.1968503937008,63.7440758293839,6.38602884375617e-05
"Myoid","Spermatocyte","BMP5","BMPR1B_BMPR2",3.46156912060346e-06,0,"BMP5_BMPR1B_BMPR2","BMP5 - (BMPR1B+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264","bi-crypto",0.722767536147533,29.7029702970297,1.32200188857413,5.12837788368119e-47,0.207680589988375,51.2690355329949,59.1243948642391,0.0199894148543434
"Myoid","Spermatid","BMP5","BMPR1B_BMPR2",3.09706957774293e-06,0,"BMP5_BMPR1B_BMPR2","BMP5 - (BMPR1B+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264","bi-crypto",0.722767536147533,29.7029702970297,1.32200188857413,5.12837788368119e-47,0.389820103685874,61.5894039735099,52.7641707487754,0.000105474889992877
"Myoid","Endothelial","BMP5","BMPR1B_BMPR2",1.98419652395267e-06,0,"BMP5_BMPR1B_BMPR2","BMP5 - (BMPR1B+BMPR2)","BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264","bi-crypto",0.722767536147533,29.7029702970297,1.32200188857413,5.12837788368119e-47,NA,NA,NA,NA
"SSC","Sertoli","WNT5B","FZD3",4.56169811063499e-05,0,"WNT5B_FZD3","WNT5B - FZD3","ncWNT","Secreted Signaling","KEGG: hsa04310","bi-crypto",0.24847273442488,26.7716535433071,7.58293838862559,1.46711307050998e-21,0.313824495211,35.4648956356736,15.9942102406369,0
"SSC","Sertoli","NRG1","ERBB4",0.00642782075288112,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012","bi-crypto",0.572367382049664,85.8267716535433,68.0094786729858,4.86627962741737e-10,0.44754884403335,99.2504743833017,99.7286050298534,0
"Spermatid","Sertoli","NRG1","ERBB4",0.00261176359066755,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012","bi-crypto",0.677008407802769,58.9403973509934,42.9671098670399,8.49252819541674e-11,0.44754884403335,99.2504743833017,99.7286050298534,0
