"sender","receiver","cluster","dataset","weight","n_pathways"
"Endothelial","Endothelial","C2","Healthy",3.69221058009509e-07,1
"Endothelial","Endothelial","C4","Crypto",9.6909238672266e-06,2
"Endothelial","Endothelial","C4","Healthy",3.68232309494476e-05,5
"Endothelial","Fibroblast","C4","Crypto",1.28656432721099e-05,1
"Endothelial","Fibroblast","C4","Healthy",1.46678621937154e-05,6
"Endothelial","Leydig","C4","Crypto",6.33134253869891e-06,2
"Endothelial","Leydig","C4","Healthy",0.000224705823459938,3
"Endothelial","Myoid","C4","Crypto",1.54499008878132e-05,2
"Endothelial","Myoid","C4","Healthy",0.000102594487066708,6
"Endothelial","SSC","C2","Healthy",2.4042419263516e-06,1
"Endothelial","SSC","C4","Crypto",0.000175398360234374,2
"Endothelial","SSC","C4","Healthy",0.0002936664135472,6
"Endothelial","Sertoli","C2","Crypto",0.000202589717623155,1
"Endothelial","Sertoli","C2","Healthy",0.000390310855671764,5
"Endothelial","Sertoli","C4","Crypto",0.00149325794704456,2
"Endothelial","Sertoli","C4","Healthy",0.00265908140929892,6
"Endothelial","Spermatid","C2","Healthy",2.16840111014385e-05,3
"Endothelial","Spermatid","C4","Crypto",0.000105658365440824,1
"Endothelial","Spermatid","C4","Healthy",0.000144565051732292,4
"Endothelial","Spermatocyte","C2","Healthy",1.23397312713955e-05,2
"Endothelial","Spermatocyte","C4","Healthy",0.000208078810098579,3
"Fibroblast","Endothelial","C4","Crypto",7.25705651899311e-05,2
"Fibroblast","Endothelial","C4","Healthy",4.44280626623305e-05,4
"Fibroblast","Fibroblast","C4","Crypto",0.000813559972806643,3
"Fibroblast","Fibroblast","C4","Healthy",8.05805216927723e-05,5
"Fibroblast","Leydig","C4","Crypto",0.000273929565667336,4
"Fibroblast","Leydig","C4","Healthy",0.00159494176154428,4
"Fibroblast","Myoid","C4","Crypto",0.000472679919355763,4
"Fibroblast","Myoid","C4","Healthy",0.000532723470749457,6
"Fibroblast","SSC","C4","Crypto",0.000742628014753595,6
"Fibroblast","SSC","C4","Healthy",0.000621597371425276,5
"Fibroblast","Sertoli","C2","Crypto",0.000653153614779044,2
"Fibroblast","Sertoli","C2","Healthy",0.000431977744396355,5
"Fibroblast","Sertoli","C4","Crypto",0.0195263318500746,3
"Fibroblast","Sertoli","C4","Healthy",0.00917690731117653,7
"Fibroblast","Spermatid","C2","Healthy",1.83677594083045e-05,2
"Fibroblast","Spermatid","C4","Crypto",0.000373657132541796,3
"Fibroblast","Spermatid","C4","Healthy",0.000166791373402376,5
"Fibroblast","Spermatocyte","C2","Healthy",1.88909128489986e-05,1
"Fibroblast","Spermatocyte","C4","Crypto",3.40968417803504e-05,2
"Fibroblast","Spermatocyte","C4","Healthy",0.000227766755835145,3
"Leydig","Endothelial","C1","Crypto",1.65591115446748e-05,2
"Leydig","Endothelial","C1","Healthy",0.000308393339367567,4
"Leydig","Endothelial","C4","Crypto",7.43505511824944e-06,2
"Leydig","Endothelial","C4","Healthy",0.000200382309163727,6
"Leydig","Fibroblast","C1","Crypto",8.72204234343574e-05,2
"Leydig","Fibroblast","C1","Healthy",0.000772881909586676,5
"Leydig","Fibroblast","C4","Crypto",9.4578378614787e-06,1
"Leydig","Fibroblast","C4","Healthy",0.000393395750534295,5
"Leydig","Leydig","C1","Crypto",1.01187208765253e-05,2
"Leydig","Leydig","C1","Healthy",0.00476474927725356,3
"Leydig","Leydig","C2","Healthy",0.000100356793746684,1
"Leydig","Leydig","C4","Crypto",2.70672569173553e-05,3
"Leydig","Leydig","C4","Healthy",0.0105222436008597,6
"Leydig","Myoid","C1","Crypto",2.08422038865862e-05,2
"Leydig","Myoid","C1","Healthy",0.00157944908942087,5
"Leydig","Myoid","C4","Crypto",4.59619673916291e-05,3
"Leydig","Myoid","C4","Healthy",0.00276712386661462,7
"Leydig","SSC","C1","Crypto",3.84012332244837e-05,2
"Leydig","SSC","C1","Healthy",0.00256825837436925,5
"Leydig","SSC","C4","Crypto",0.000113636511814448,4
"Leydig","SSC","C4","Healthy",0.00216700305934108,6
"Leydig","Sertoli","C1","Crypto",0.000852886715532311,2
"Leydig","Sertoli","C1","Healthy",0.0215185610058557,5
"Leydig","Sertoli","C2","Crypto",0.000136705335116975,2
"Leydig","Sertoli","C2","Healthy",0.00448973260140593,4
"Leydig","Sertoli","C4","Crypto",0.0016052759718065,3
"Leydig","Sertoli","C4","Healthy",0.0495545220101641,7
"Leydig","Spermatid","C1","Crypto",1.67169820762476e-05,2
"Leydig","Spermatid","C1","Healthy",0.00162106264374683,3
"Leydig","Spermatid","C2","Healthy",0.000316434769394856,1
"Leydig","Spermatid","C4","Crypto",5.47102997969293e-05,2
"Leydig","Spermatid","C4","Healthy",0.00202779177724383,4
"Leydig","Spermatocyte","C1","Crypto",1.47133359646874e-05,2
"Leydig","Spermatocyte","C1","Healthy",0.00245610522613695,3
"Leydig","Spermatocyte","C4","Healthy",0.0040808911942091,4
"Myoid","Endothelial","C4","Crypto",1.49193034809421e-05,3
"Myoid","Endothelial","C4","Healthy",0.000116377164357583,5
"Myoid","Fibroblast","C4","Crypto",4.68350628580967e-05,3
"Myoid","Fibroblast","C4","Healthy",0.000211720234241083,4
"Myoid","Leydig","C4","Crypto",5.62261281423996e-05,4
"Myoid","Leydig","C4","Healthy",0.00369058564162608,3
"Myoid","Myoid","C4","Crypto",0.000129212505340519,4
"Myoid","Myoid","C4","Healthy",0.00155414024360332,6
"Myoid","SSC","C4","Crypto",0.000214428773866654,5
"Myoid","SSC","C4","Healthy",0.000644829731750106,3
"Myoid","Sertoli","C2","Healthy",0.000391949106514264,5
"Myoid","Sertoli","C4","Crypto",0.00362022712969255,3
"Myoid","Sertoli","C4","Healthy",0.0151117993310718,4
"Myoid","Spermatid","C2","Healthy",1.8629470542197e-05,1
"Myoid","Spermatid","C4","Crypto",8.86610021102953e-05,3
"Myoid","Spermatid","C4","Healthy",0.000381944933887138,3
"Myoid","Spermatocyte","C4","Crypto",2.94192121633664e-06,1
"Myoid","Spermatocyte","C4","Healthy",0.00102800956425723,5
"SSC","Endothelial","C2","Crypto",1.54159357077561e-05,2
"SSC","Endothelial","C2","Healthy",6.43276018125369e-07,1
"SSC","Endothelial","C4","Crypto",0.000217663863838724,4
"SSC","Endothelial","C4","Healthy",0.000306528231341412,5
"SSC","Fibroblast","C2","Crypto",9.61410868273327e-05,2
"SSC","Fibroblast","C4","Crypto",0.000829353898156994,5
"SSC","Fibroblast","C4","Healthy",0.000667353526637398,9
"SSC","Leydig","C2","Crypto",2.75773081753998e-05,2
"SSC","Leydig","C4","Crypto",0.000187589656360072,6
"SSC","Leydig","C4","Healthy",0.00388734095927023,5
"SSC","Myoid","C2","Crypto",3.08889391906567e-05,2
"SSC","Myoid","C4","Crypto",0.00032872671082074,6
"SSC","Myoid","C4","Healthy",0.00132843307379052,9
"SSC","SSC","C2","Crypto",0.000158436182695562,6
"SSC","SSC","C2","Healthy",0.000360145414826783,3
"SSC","SSC","C4","Crypto",0.000614846374762335,7
"SSC","SSC","C4","Healthy",0.00385878440282241,8
"SSC","Sertoli","C2","Crypto",0.00379157342716514,5
"SSC","Sertoli","C2","Healthy",0.00558692126346727,7
"SSC","Sertoli","C4","Crypto",0.0244753766566938,5
"SSC","Sertoli","C4","Healthy",0.0403384824678656,10
"SSC","Spermatid","C2","Crypto",4.44080129047884e-05,5
"SSC","Spermatid","C2","Healthy",0.000239228570741258,5
"SSC","Spermatid","C4","Crypto",0.000352281691947153,4
"SSC","Spermatid","C4","Healthy",0.00197825152735511,4
"SSC","Spermatocyte","C2","Crypto",3.77360196623007e-05,3
"SSC","Spermatocyte","C2","Healthy",0.000160396012049188,4
"SSC","Spermatocyte","C4","Crypto",0.000211885688626148,4
"SSC","Spermatocyte","C4","Healthy",0.00236957114476067,5
"Sertoli","Endothelial","C1","Healthy",3.43072970294537e-05,1
"Sertoli","Endothelial","C2","Healthy",6.38745499402081e-05,1
"Sertoli","Endothelial","C4","Crypto",0.0018413507442442,2
"Sertoli","Endothelial","C4","Healthy",0.00293175275458456,7
"Sertoli","Fibroblast","C1","Healthy",0.00010581620264067,1
"Sertoli","Fibroblast","C2","Crypto",0.00220877093955233,1
"Sertoli","Fibroblast","C4","Crypto",0.0051941409928647,2
"Sertoli","Fibroblast","C4","Healthy",0.00560701460260526,10
"Sertoli","Leydig","C1","Healthy",0.000678759489323364,1
"Sertoli","Leydig","C2","Crypto",0.000462760059799429,1
"Sertoli","Leydig","C2","Healthy",0.00160481352286993,3
"Sertoli","Leydig","C4","Crypto",0.00232541081114353,4
"Sertoli","Leydig","C4","Healthy",0.0563950999980065,6
"Sertoli","Myoid","C1","Healthy",0.000216002350573946,1
"Sertoli","Myoid","C2","Healthy",0.000221291910784552,2
"Sertoli","Myoid","C4","Crypto",0.00576095882963521,4
"Sertoli","Myoid","C4","Healthy",0.0173139409903421,9
"Sertoli","SSC","C1","Healthy",0.000150759468676826,1
"Sertoli","SSC","C2","Crypto",0.00374780186125711,5
"Sertoli","SSC","C2","Healthy",0.00393486553989801,2
"Sertoli","SSC","C4","Crypto",0.00947823343412657,7
"Sertoli","SSC","C4","Healthy",0.0322896766205074,10
"Sertoli","Sertoli","C1","Healthy",0.00239646466137034,1
"Sertoli","Sertoli","C2","Crypto",0.421833266096719,7
"Sertoli","Sertoli","C2","Healthy",0.100230381921253,11
"Sertoli","Sertoli","C3","Crypto",0.0290007437487374,2
"Sertoli","Sertoli","C3","Healthy",0.016101590294241,3
"Sertoli","Sertoli","C4","Crypto",0.474651086063436,4
"Sertoli","Sertoli","C4","Healthy",0.340383640724326,12
"Sertoli","Spermatid","C1","Healthy",0.000147025566163474,1
"Sertoli","Spermatid","C2","Crypto",0.00109451100412445,3
"Sertoli","Spermatid","C2","Healthy",0.00109353623499542,3
"Sertoli","Spermatid","C4","Crypto",0.00332811811557866,2
"Sertoli","Spermatid","C4","Healthy",0.00789587081180463,4
"Sertoli","Spermatocyte","C1","Healthy",0.000117587908413161,1
"Sertoli","Spermatocyte","C2","Crypto",0.000936137661853272,2
"Sertoli","Spermatocyte","C2","Healthy",0.00110346266963447,3
"Sertoli","Spermatocyte","C4","Crypto",3.71534457582445e-05,1
"Sertoli","Spermatocyte","C4","Healthy",0.0319312957069382,4
"Spermatid","Endothelial","C4","Crypto",0.000126755369218166,4
"Spermatid","Endothelial","C4","Healthy",4.14644842724748e-05,3
"Spermatid","Fibroblast","C4","Crypto",0.000508005829813,5
"Spermatid","Fibroblast","C4","Healthy",0.000128516350522183,6
"Spermatid","Leydig","C4","Crypto",9.70522614913032e-05,6
"Spermatid","Leydig","C4","Healthy",0.00269255307093386,3
"Spermatid","Myoid","C2","Healthy",1.04697925486266e-05,1
"Spermatid","Myoid","C4","Crypto",0.000152958726027545,6
"Spermatid","Myoid","C4","Healthy",0.00060936181796577,7
"Spermatid","SSC","C2","Crypto",5.68211691633053e-05,4
"Spermatid","SSC","C4","Crypto",0.000289415281158048,6
"Spermatid","SSC","C4","Healthy",0.00104885444747876,6
"Spermatid","Sertoli","C2","Crypto",0.000483819837431649,2
"Spermatid","Sertoli","C2","Healthy",0.00167658615873566,4
"Spermatid","Sertoli","C4","Crypto",0.0130220948660274,5
"Spermatid","Sertoli","C4","Healthy",0.0176257351579559,6
"Spermatid","Spermatid","C2","Crypto",9.49209893960942e-06,3
"Spermatid","Spermatid","C2","Healthy",8.2076398391361e-05,1
