"sender","receiver","pathway","cluster","dataset","weight"
"SSC","SSC","LAMININ","C4","Healthy",3.69797633804942e-05
"Spermatocyte","SSC","LAMININ","C4","Healthy",2.40505550428883e-05
"Spermatid","SSC","LAMININ","C4","Healthy",6.12972467641513e-05
"Sertoli","SSC","LAMININ","C4","Healthy",0.00537280976945846
"Leydig","SSC","LAMININ","C4","Healthy",0.000146827408259093
"Myoid","SSC","LAMININ","C4","Healthy",0.000467208424934883
"Fibroblast","SSC","LAMININ","C4","Healthy",0.00018961598995426
"Endothelial","SSC","LAMININ","C4","Healthy",1.26082485932495e-05
"Spermatocyte","Spermatocyte","LAMININ","C4","Healthy",1.80322988336844e-05
"Myoid","Spermatocyte","LAMININ","C4","Healthy",0.000339139770538122
"Fibroblast","Spermatocyte","LAMININ","C4","Healthy",0.000134006245367317
"Endothelial","Spermatocyte","LAMININ","C4","Healthy",4.78591802294682e-06
"Spermatocyte","Spermatid","LAMININ","C4","Healthy",8.56890250119384e-06
"Myoid","Spermatid","LAMININ","C4","Healthy",0.00016067178734171
"Fibroblast","Spermatid","LAMININ","C4","Healthy",6.34748585902373e-05
"Endothelial","Spermatid","LAMININ","C4","Healthy",2.27363296406747e-06
"SSC","Sertoli","LAMININ","C4","Healthy",0.00341548395121115
"Spermatocyte","Sertoli","LAMININ","C4","Healthy",0.00233033914479798
"Spermatid","Sertoli","LAMININ","C4","Healthy",0.00200599423704695
"Sertoli","Sertoli","LAMININ","C4","Healthy",0.0976825909187997
"Leydig","Sertoli","LAMININ","C4","Healthy",0.00434628302744554
"Myoid","Sertoli","LAMININ","C4","Healthy",0.0089533748570212
"Fibroblast","Sertoli","LAMININ","C4","Healthy",0.00358004548524031
"Endothelial","Sertoli","LAMININ","C4","Healthy",0.000399457675895438
"SSC","Leydig","LAMININ","C4","Healthy",0.000833700415686512
"Spermatocyte","Leydig","LAMININ","C4","Healthy",0.000409372074448358
"Spermatid","Leydig","LAMININ","C4","Healthy",0.00036329261651596
"Sertoli","Leydig","LAMININ","C4","Healthy",0.0199265421029274
"Leydig","Leydig","LAMININ","C4","Healthy",0.000871035333106972
"Myoid","Leydig","LAMININ","C4","Healthy",0.0017793702620244
"Fibroblast","Leydig","LAMININ","C4","Healthy",0.000731114633987212
"Endothelial","Leydig","LAMININ","C4","Healthy",8.63634893909566e-05
"SSC","Myoid","LAMININ","C4","Healthy",0.000304066319578195
"Spermatocyte","Myoid","LAMININ","C4","Healthy",0.000285169463794743
"Spermatid","Myoid","LAMININ","C4","Healthy",0.000191131951634352
"Sertoli","Myoid","LAMININ","C4","Healthy",0.0071853748444248
"Leydig","Myoid","LAMININ","C4","Healthy",0.000391538926132259
"Myoid","Myoid","LAMININ","C4","Healthy",0.000676244889857589
"Fibroblast","Myoid","LAMININ","C4","Healthy",0.000263879314624291
"Endothelial","Myoid","LAMININ","C4","Healthy",3.57255660528732e-05
"SSC","Fibroblast","LAMININ","C4","Healthy",1.06359734470589e-05
"Spermatocyte","Fibroblast","LAMININ","C4","Healthy",4.52905691065675e-06
"Spermatid","Fibroblast","LAMININ","C4","Healthy",1.76314866746081e-05
"Sertoli","Fibroblast","LAMININ","C4","Healthy",0.000990003575485185
"Leydig","Fibroblast","LAMININ","C4","Healthy",2.56510355040944e-05
"Myoid","Fibroblast","LAMININ","C4","Healthy",8.82442513749192e-05
"Fibroblast","Fibroblast","LAMININ","C4","Healthy",3.62775262141966e-05
"Endothelial","Fibroblast","LAMININ","C4","Healthy",2.99049786505141e-06
"SSC","Endothelial","LAMININ","C4","Healthy",8.16519478728143e-06
"Spermatocyte","Endothelial","LAMININ","C4","Healthy",3.47066733301765e-06
"Spermatid","Endothelial","LAMININ","C4","Healthy",1.35350198168589e-05
"Sertoli","Endothelial","LAMININ","C4","Healthy",0.000768032459826724
"Leydig","Endothelial","LAMININ","C4","Healthy",8.41316240098688e-06
"Myoid","Endothelial","LAMININ","C4","Healthy",6.57732398422642e-05
"Fibroblast","Endothelial","LAMININ","C4","Healthy",2.81316586787256e-05
"Endothelial","Endothelial","LAMININ","C4","Healthy",2.29532236127832e-06
"SSC","SSC","ADGRL","C4","Healthy",0.000461778169710543
"Spermatocyte","SSC","ADGRL","C4","Healthy",0.000175227589490287
"Spermatid","SSC","ADGRL","C4","Healthy",8.01625667782084e-05
"Sertoli","SSC","ADGRL","C4","Healthy",0.00306626274252765
"Leydig","SSC","ADGRL","C4","Healthy",0.000984446005814934
"Fibroblast","SSC","ADGRL","C4","Healthy",3.75928842081455e-05
"Endothelial","SSC","ADGRL","C4","Healthy",1.52869013458547e-06
"SSC","Spermatocyte","ADGRL","C4","Healthy",6.81689024958888e-05
"Spermatocyte","Spermatocyte","ADGRL","C4","Healthy",0.000106935863783959
"Spermatid","Spermatocyte","ADGRL","C4","Healthy",4.88159044310461e-05
"SSC","Spermatid","ADGRL","C4","Healthy",0.000214253585469823
"Spermatocyte","Spermatid","ADGRL","C4","Healthy",7.8828212146808e-05
"Spermatid","Spermatid","ADGRL","C4","Healthy",3.59912418613944e-05
"SSC","Sertoli","ADGRL","C4","Healthy",0.00664387979168814
"Spermatocyte","Sertoli","ADGRL","C4","Healthy",0.0026929222794366
"Spermatid","Sertoli","ADGRL","C4","Healthy",0.00678781237418216
"Sertoli","Sertoli","ADGRL","C4","Healthy",0.0676048710579486
