"cell_type","pathway","cluster","dataset","Freq"
"Sertoli","LAMININ","C4","Healthy",1
"Myoid","LAMININ","C4","Healthy",1
"Leydig","LAMININ","C4","Healthy",1
"Sertoli","ADGRL","C4","Healthy",1
"Leydig","ADGRL","C4","Healthy",1
"SSC","ADGRL","C4","Healthy",1
"Sertoli","CADM","C4","Healthy",1
"Spermatocyte","CADM","C4","Healthy",1
"SSC","CADM","C4","Healthy",1
"Sertoli","PTPRM","C4","Healthy",1
"SSC","PTPRM","C4","Healthy",1
"Fibroblast","PTPRM","C4","Healthy",1
"Leydig","NRG","C4","Healthy",1
"Spermatocyte","NRG","C4","Healthy",1
"SSC","NRG","C4","Healthy",1
"Sertoli","COLLAGEN","C4","Healthy",1
"Leydig","COLLAGEN","C4","Healthy",1
"Myoid","COLLAGEN","C4","Healthy",1
"Sertoli","JAM","C2","Healthy",1
"Spermatocyte","JAM","C2","Healthy",1
"SSC","JAM","C2","Healthy",1
"Sertoli","CDH","C2","Healthy",1
"SSC","CDH","C2","Healthy",1
"Sertoli","Testosterone","C4","Healthy",1
"Leydig","Testosterone","C4","Healthy",1
"SSC","Testosterone","C4","Healthy",1
"Sertoli","NCAM","C4","Healthy",1
"SSC","NCAM","C4","Healthy",1
"Spermatocyte","NCAM","C4","Healthy",1
"Leydig","Cholesterol","C1","Healthy",1
"Sertoli","Cholesterol","C1","Healthy",1
"Sertoli","APP","C2","Healthy",1
"Leydig","APP","C2","Healthy",1
"Spermatid","APP","C2","Healthy",1
"Leydig","Estradiol","C4","Healthy",1
"Spermatocyte","Estradiol","C4","Healthy",1
"Sertoli","Estradiol","C4","Healthy",1
"Sertoli","MPZ","C3","Healthy",1
"Spermatocyte","NRXN","C4","Healthy",1
"SSC","NRXN","C4","Healthy",1
"Sertoli","NRXN","C4","Healthy",1
"Sertoli","PROS","C2","Healthy",1
"Leydig","BMP","C1","Healthy",1
"Leydig","IGF","C4","Healthy",1
"Myoid","IGF","C4","Healthy",1
"Fibroblast","IGF","C4","Healthy",1
"Spermatocyte","PCDH","C4","Healthy",1
"Spermatid","PCDH","C4","Healthy",1
"Leydig","Androstenedione","C1","Healthy",1
"Sertoli","PTPR","C2","Healthy",1
"Leydig","PTPR","C2","Healthy",1
"Sertoli","TENASCIN","C4","Healthy",1
"Spermatocyte","TENASCIN","C4","Healthy",1
"Sertoli","CLDN","C3","Healthy",1
"Sertoli","CD39","C4","Healthy",1
"Spermatocyte","CD39","C4","Healthy",1
"Spermatid","CD39","C4","Healthy",1
"Spermatocyte","NECTIN","C2","Healthy",1
"Spermatid","NECTIN","C2","Healthy",1
"SSC","NECTIN","C2","Healthy",1
"Leydig","Cort","C1","Healthy",1
"Sertoli","PDGF","C4","Healthy",1
"SSC","PDGF","C4","Healthy",1
"Spermatocyte","PDGF","C4","Healthy",1
"Sertoli","GAS","C2","Healthy",1
"Sertoli","EPHB","C2","Healthy",1
"Spermatocyte","CNTN","C4","Healthy",1
"Spermatid","CNTN","C4","Healthy",1
"Sertoli","PSAP","C2","Healthy",1
"Leydig","PSAP","C2","Healthy",1
"Spermatocyte","PSAP","C2","Healthy",1
"SSC","EPHA","C2","Healthy",1
"Fibroblast","EPHA","C2","Healthy",1
"Endothelial","EPHA","C2","Healthy",1
"Sertoli","SEMA5","C2","Healthy",1
"Myoid","SEMA5","C2","Healthy",1
"Spermatid","SEMA5","C2","Healthy",1
"Leydig","EGF","C1","Healthy",1
"Sertoli","2-AG","C2","Healthy",1
"Spermatocyte","2-AG","C2","Healthy",1
"SSC","RELN","C2","Healthy",1
"Endothelial","RELN","C2","Healthy",1
"Sertoli","GAP","C4","Healthy",1
"Spermatocyte","GAP","C4","Healthy",1
"SSC","GAP","C4","Healthy",1
"Sertoli","NGL","C4","Healthy",1
"Leydig","NGL","C4","Healthy",1
"Spermatocyte","NGL","C4","Healthy",1
"SSC","Netrin","C2","Healthy",1
"Sertoli","Netrin","C2","Healthy",1
"Spermatocyte","Netrin","C2","Healthy",1
"Spermatocyte","FGF","C4","Healthy",1
"Sertoli","SEMA6","C2","Healthy",1
"Spermatid","SEMA6","C2","Healthy",1
"Spermatocyte","SEMA6","C2","Healthy",1
"Sertoli","SEMA3","C4","Healthy",1
"SSC","SEMA3","C4","Healthy",1
"Spermatocyte","SEMA3","C4","Healthy",1
"Leydig","VCAM","C4","Healthy",1
"Sertoli","VCAM","C4","Healthy",1
"Myoid","VCAM","C4","Healthy",1
"Sertoli","CD99","C3","Healthy",1
"SSC","NT","C2","Healthy",1
"Spermatid","NEGR","C4","Healthy",1
"Sertoli","ADGRL","C4","Crypto",1
"Fibroblast","ADGRL","C4","Crypto",1
"SSC","ADGRL","C4","Crypto",1
"Sertoli","CADM","C2","Crypto",1
"SSC","CADM","C2","Crypto",1
"Spermatocyte","CADM","C2","Crypto",1
"Sertoli","LAMININ","C4","Crypto",1
"Fibroblast","LAMININ","C4","Crypto",1
"Myoid","LAMININ","C4","Crypto",1
"Sertoli","NRG","C4","Crypto",1
"SSC","NRG","C4","Crypto",1
"Spermatid","NRG","C4","Crypto",1
"Sertoli","NCAM","C2","Crypto",1
"Sertoli","CDH","C2","Crypto",1
"SSC","CDH","C2","Crypto",1
"Spermatid","CDH","C2","Crypto",1
"Sertoli","JAM","C2","Crypto",1
"Sertoli","MPZ","C3","Crypto",1
"Sertoli","PTPRM","C4","Crypto",1
"SSC","PTPRM","C4","Crypto",1
"Spermatid","PTPRM","C4","Crypto",1
"Sertoli","Testosterone","C2","Crypto",1
"SSC","Testosterone","C2","Crypto",1
"Sertoli","APP","C4","Crypto",1
"SSC","APP","C4","Crypto",1
"Myoid","APP","C4","Crypto",1
"Fibroblast","IGF","C4","Crypto",1
"Myoid","IGF","C4","Crypto",1
"SSC","NRXN","C4","Crypto",1
"Spermatid","NRXN","C4","Crypto",1
"Spermatocyte","NRXN","C4","Crypto",1
"SSC","EPHA","C2","Crypto",1
"Fibroblast","EPHA","C2","Crypto",1
"Spermatid","EPHA","C2","Crypto",1
"SSC","SLIT","C2","Crypto",1
"Sertoli","COLLAGEN","C4","Crypto",1
"Fibroblast","COLLAGEN","C4","Crypto",1
"Myoid","COLLAGEN","C4","Crypto",1
"Sertoli","PDGF","C4","Crypto",1
"Myoid","PDGF","C4","Crypto",1
"SSC","PDGF","C4","Crypto",1
"Sertoli","EPHB","C2","Crypto",1
"Sertoli","PROS","C3","Crypto",1
"Sertoli","NECTIN","C2","Crypto",1
"SSC","NECTIN","C2","Crypto",1
"Fibroblast","NECTIN","C2","Crypto",1
"Leydig","Cholesterol","C1","Crypto",1
"Sertoli","Netrin","C2","Crypto",1
"SSC","Netrin","C2","Crypto",1
"Spermatid","Netrin","C2","Crypto",1
"Leydig","PTN","C1","Crypto",1
"Endothelial","CD45","C4","Crypto",1
"Sertoli","SPP1","C4","Crypto",1
"SSC","NOTCH","C2","Crypto",1
"Sertoli","SEMA6","C4","Crypto",1
"Fibroblast","SEMA6","C4","Crypto",1
"SSC","SEMA6","C4","Crypto",1
"Leydig","Androstenedione","C4","Crypto",1
"Sertoli","CD46","C4","Crypto",1
"SSC","NGL","C2","Crypto",1
"Spermatid","NGL","C2","Crypto",1
"Spermatocyte","NGL","C2","Crypto",1
