"pathway","distance","rank","iter"
"LAMININ",0.457236877010929,19,1
"ADGRL",0.3036853763465,23,1
"CADM",4.96816133323979,1,1
"PTPRM",4.37596839331778,4,1
"NRG",0.704904968751161,14,1
"COLLAGEN",0.654417227175575,15,1
"JAM",0.4126553958302,20,1
"CDH",2.61406777713542,8,1
"Testosterone",2.65356711059382,7,1
"NCAM",2.4119514308681,9,1
"Cholesterol",1.02820616795288,12,1
"APP",4.72235124176305,2,1
"MPZ",0.245634062158048,24,1
"NRXN",0.795541220480684,13,1
"PROS",1.27739133438348,11,1
"IGF",0.375318371679347,21,1
"Androstenedione",3.81615871447857,5,1
"NECTIN",0.466528239984901,18,1
"PDGF",0.479854331603129,17,1
"EPHB",0.31974573339285,22,1
"EPHA",2.7213324054871,6,1
"NGL",2.02646522023729,10,1
"Netrin",0.563128205452951,16,1
"SEMA6",4.41486034174235,3,1
"LAMININ",0.47272657785234,20,2
"ADGRL",0.315490975032157,24,2
"CADM",4.49433863824677,3,2
"PTPRM",4.21039816273831,4,2
"NRG",0.408241248959542,21,2
"COLLAGEN",0.635936449628477,16,2
"JAM",0.794912265753896,13,2
"CDH",2.4190322786511,9,2
"Testosterone",2.67284751784063,8,2
"NCAM",2.36347186074368,10,2
"Cholesterol",0.79224350263918,14,2
"APP",4.76374550925869,2,2
"MPZ",0.537948141702785,18,2
"NRXN",0.910348560968861,12,2
"PROS",3.1199106611905,7,2
"IGF",0.328982621816688,23,2
"Androstenedione",4.02664397399892,5,2
"NECTIN",0.682590281956856,15,2
"PDGF",0.40041221883644,22,2
"EPHB",0.53643909539846,19,2
"EPHA",5.88626053313412,1,2
"NGL",1.64870039745549,11,2
"Netrin",0.566829625456045,17,2
"SEMA6",4.02062395587883,6,2
"LAMININ",0.514459327127686,18,3
"ADGRL",0.279145874962809,24,3
"CADM",4.11148162171109,5,3
"PTPRM",4.075015796876,6,3
"NRG",0.602347865240822,15,3
"COLLAGEN",0.561407543450403,17,3
"JAM",0.561424646550695,16,3
"CDH",3.49133036851402,7,3
"Testosterone",2.12469266964415,10,3
"NCAM",1.91453365190185,11,3
"Cholesterol",1.06217025945712,12,3
"APP",4.51100377417358,4,3
"MPZ",0.289793886065616,23,3
"NRXN",0.671104017533952,13,3
"PROS",2.20051638718404,9,3
"IGF",0.33667269407081,20,3
"Androstenedione",5.90262428525591,2,3
"NECTIN",0.484824461987578,19,3
"PDGF",0.326039954694834,21,3
"EPHB",0.315334281101037,22,3
"EPHA",7.68648229070584,1,3
"NGL",2.61167540322355,8,3
"Netrin",0.647610961674299,14,3
"SEMA6",4.88667672882131,3,3
"LAMININ",0.418663568865401,18,4
"ADGRL",0.25954517079327,22,4
"CADM",3.67571231431155,4,4
"PTPRM",4.6075640220374,2,4
"NRG",0.112214334180517,24,4
"COLLAGEN",0.850282607596251,13,4
"JAM",0.710377333753331,14,4
"CDH",2.3256842087271,8,4
"Testosterone",2.71998542561733,7,4
"NCAM",2.04593699236771,9,4
"Cholesterol",1.00930467847241,12,4
"APP",4.30908384601122,3,4
"MPZ",0.246829817416796,23,4
"NRXN",0.388552285736834,21,4
"PROS",10.7261946589136,1,4
"IGF",0.429061757238556,17,4
"Androstenedione",3.00901072507611,5,4
"NECTIN",0.511920542827679,15,4
"PDGF",0.432189934904251,16,4
"EPHB",0.399148738415278,20,4
"EPHA",1.9041217385027,11,4
"NGL",1.94780186093823,10,4
"Netrin",0.411054410433323,19,4
"SEMA6",2.81574356861462,6,4
"LAMININ",0.433068988301978,19,5
"ADGRL",0.287731869634111,23,5
"CADM",4.81145522745935,5,5
"PTPRM",4.32943904227614,6,5
"NRG",0.344617157143164,20,5
"COLLAGEN",0.697008832557995,13,5
"JAM",0.500628174732629,18,5
"CDH",4.21477513952542,7,5
"Testosterone",2.47190204584031,10,5
"NCAM",2.2950002808157,11,5
"Cholesterol",0.977885280194199,12,5
"APP",4.93289048187348,4,5
"MPZ",0.248538481984322,24,5
"NRXN",0.566786464292663,14,5
"PROS",9.32232187733559,1,5
"IGF",0.304863320338338,22,5
"Androstenedione",8.36090135366091,2,5
"NECTIN",0.53732552097249,16,5
"PDGF",0.337156272313531,21,5
"EPHB",0.538780113684136,15,5
"EPHA",3.04179383931139,8,5
"NGL",2.48446592928922,9,5
"Netrin",0.501432021256538,17,5
"SEMA6",6.54556651736743,3,5
"LAMININ",0.345811760550155,20,6
"ADGRL",0.171068198429218,24,6
"CADM",3.7952286081572,4,6
"PTPRM",3.59716529307344,6,6
"NRG",0.240766387219906,22,6
"COLLAGEN",0.739798889987327,16,6
"JAM",0.80077401556263,15,6
"CDH",4.03683015213337,2,6
"Testosterone",2.4191297528329,7,6
"NCAM",1.83263738715266,11,6
"Cholesterol",1.07346764830722,12,6
"APP",3.69325304177551,5,6
"MPZ",0.199684111971446,23,6
"NRXN",0.896771655621457,14,6
"PROS",2.22238455350124,10,6
"IGF",0.313737462606193,21,6
"Androstenedione",4.70193626529672,1,6
"NECTIN",0.543353946798043,17,6
"PDGF",0.349429218427698,19,6
"EPHB",0.515132793915068,18,6
"EPHA",2.28281302251619,8,6
"NGL",2.24148506917351,9,6
"Netrin",0.955063947578458,13,6
"SEMA6",3.86812501291487,3,6
"LAMININ",0.320198894906531,19,7
"ADGRL",0.150327089608101,23,7
"CADM",4.71437309217209,4,7
"PTPRM",4.339273267346,5,7
"NRG",0.197353198084484,21,7
"COLLAGEN",0.676754127282076,14,7
"JAM",0.639203614133065,15,7
"CDH",3.08362667920755,7,7
"Testosterone",2.55138955059083,8,7
"NCAM",2.1026908221844,11,7
"Cholesterol",1.02581709920894,12,7
"APP",4.8500014051408,3,7
"MPZ",0.137831434752339,24,7
"NRXN",0.767811739438428,13,7
"PROS",2.46870965141629,9,7
"IGF",0.312890689960982,20,7
"Androstenedione",7.0297514118349,1,7
"NECTIN",0.539639747788044,16,7
"PDGF",0.477235604874444,17,7
"EPHB",0.159260570089678,22,7
"EPHA",5.95323866100502,2,7
"NGL",2.11579904714013,10,7
"Netrin",0.461740957042256,18,7
"SEMA6",3.57542931541382,6,7
"LAMININ",0.404745105911731,19,8
"ADGRL",0.166258946293143,24,8
"CADM",3.32973982763412,5,8
"PTPRM",4.15566782751135,3,8
"NRG",0.240131991326629,23,8
"COLLAGEN",0.671820639332875,15,8
"JAM",0.688693985734261,14,8
"CDH",2.58050354269851,7,8
"Testosterone",2.81594390949802,6,8
"NCAM",2.06406387719194,10,8
"Cholesterol",1.09857089312369,12,8
"APP",5.00496583361745,2,8
"MPZ",0.390701697317315,21,8
"NRXN",0.999961966078665,13,8
"PROS",1.93057163437434,11,8
"IGF",0.440171991293128,17,8
"Androstenedione",3.91289715047816,4,8
"NECTIN",0.403844140165225,20,8
"PDGF",0.442334938455411,16,8
"EPHB",0.309605753858895,22,8
"EPHA",2.39436650303011,8,8
"NGL",2.10643280948698,9,8
"Netrin",0.438167291682873,18,8
"SEMA6",5.36955746843653,1,8
"LAMININ",0.381337689764412,22,9
