"","ADGRL","Androstenedione","APP","CADM","CDH","Cholesterol","COLLAGEN","EPHA","EPHB","IGF","JAM","LAMININ","MPZ","NCAM","NECTIN","Netrin","NGL","NRG","NRXN","PDGF","PROS","PTPRM","SEMA6","Testosterone"
"ADGRL",NA,-4.74025393738371,-4.00758614165386,-3.91205369743096,-2.45397130382594,-0.88531441347687,-0.350987903756493,-2.53926505065186,-0.11122601454071,-0.0782941130947618,-0.322008721455417,-0.17380516608399,-0.101986371212468,-1.87812857109857,-0.233101262353185,-0.290199435517995,-1.66556251153738,-0.0807653734597716,-0.584264079893129,-0.176522146962876,-4.01477840773582,-3.85575621871623,-3.81562768560499,-2.2244713672702
"Androstenedione",4.74025393738371,NA,0.464165904907186,0.985597178062743,2.1410071913652,3.71333144023982,4.23906740529711,1.71243425356045,4.54166246038582,4.63968768936693,4.38320602730849,4.48245880437604,4.52487941007426,2.96653879448652,4.50404177185875,4.30638902512654,3.14249363200342,4.51991214853348,4.20530523898743,4.54872059361147,0.41785347398019,1.14101568545593,0.703233353803775,2.46959033585403
"APP",4.00758614165386,-0.464165904907186,NA,0.107061325132966,1.56612324051072,3.06901489828762,3.68586710590877,1.15877691392961,3.93095752322135,3.93855537440132,3.69179510327719,3.83240826429152,3.90746021569336,2.23534067116778,3.77185827683016,3.7598070275951,2.35308963584429,3.91954284046966,3.4659652273353,3.8522656811776,-0.108058074346492,0.243623609072567,0.30460198038251,1.85774195030466
"CADM",3.91205369743096,-0.985597178062743,-0.107061325132966,NA,1.28688741155751,3.04534094283686,3.55153341648336,1.12531255681502,3.75321196866094,3.8251819198698,3.59165723186207,3.69527248539771,3.71685338281678,2.03583294253404,3.63601761743082,3.57729440852056,2.10671097510023,3.84389937994296,3.37995624584999,3.67572572427107,0.0900741588380003,0.117012596028062,-0.0763239263796265,1.64570893115934
"CDH",2.45397130382594,-2.1410071913652,-1.56612324051072,-1.28688741155751,NA,1.57069686695065,2.13657477189266,-0.159755415021053,2.37153599133711,2.40588735076569,2.19758794349461,2.33182658733567,2.37519659420386,0.700135843590762,2.23494283069879,2.17663424012318,0.863218806936422,2.4018196150636,1.90552983143175,2.27483066795077,-1.77670479461453,-1.3152795533684,-1.36276567617074,0.254536198372991
"Cholesterol",0.88531441347687,-3.71333144023982,-3.06901489828762,-3.04534094283686,-1.57069686695065,NA,0.541611124442392,-1.67130019477857,0.804921460612337,0.79026320241357,0.532841962075705,0.695455648698044,0.743324190967338,-0.963589526930481,0.642369846013051,0.592205130376394,-0.77316795733145,0.827347120408462,0.349482108809032,0.702120564055197,-3.0334855622796,-2.92830558745843,-3.00036804298778,-1.35963034550937
"COLLAGEN",0.350987903756493,-4.23906740529711,-3.68586710590877,-3.55153341648336,-2.13657477189266,-0.541611124442392,NA,-2.28091534552899,0.220465887782919,0.248699317222765,0.000913045238176369,0.166987357385931,0.219943460858125,-1.51953641714668,0.111654822984176,0.0406417574662617,-1.32785982048991,0.255524057395677,-0.220885221445645,0.182224660779195,-3.75298469810138,-3.52878287754277,-3.50627599735433,-1.8666474587455
"EPHA",2.53926505065186,-1.71243425356045,-1.15877691392961,-1.12531255681502,0.159755415021053,1.67130019477857,2.28091534552899,NA,2.45230019886075,2.53969189450776,2.29954252235336,2.47265164998328,2.47687873161749,0.717475972718987,2.2934397106117,2.40099839920358,0.882827979394601,2.56029620987853,2.0897374453468,2.40971848793929,-0.932131611230625,-1.11935777722683,-1.07753121823258,0.365902039238505
"EPHB",0.11122601454071,-4.54166246038582,-3.93095752322135,-3.75321196866094,-2.37153599133711,-0.804921460612337,-0.220465887782919,-2.45230019886075,NA,0.0131328684327088,-0.237075122528134,-0.0535204390337524,-0.00422872031050528,-1.74572118790687,-0.112419379266104,-0.152795423406503,-1.56868222341213,0.0222898232470294,-0.459520083139565,-0.0811425166773657,-3.85871824515489,-3.75319576946545,-3.79567285141776,-2.1011033087612
"IGF",0.0782941130947618,-4.63968768936693,-3.93855537440132,-3.8251819198698,-2.40588735076569,-0.79026320241357,-0.248699317222765,-2.53969189450776,-0.0131328684327088,NA,-0.237021245427172,-0.0799365555432107,-0.0473921352229126,-1.78784223876409,-0.134225411116382,-0.210063641188928,-1.57743128335082,0.000214927986568497,-0.481551539103613,-0.0782062885521939,-3.99504835360327,-3.77280458730591,-3.74215262252452,-2.1651391400198
