"pathway","mean_dist","sd_dist","median_dist","q25_dist","q75_dist","median_rank","q25_rank","q75_rank","min_rank","max_rank","freq_top1","freq_top3","freq_top5","freq_top10","cv_dist","wins","losses","ties"
"Androstenedione",5.81498369920585,3.28718549244883,4.99283510375884,3.81510213364543,6.47326623034793,2,1,5,1,8,0.29,0.55,0.82,1,0.565295736408988,22,0,1
"APP",4.58886056438569,1.57709060259561,4.29865262061533,3.72184867190515,4.97050055871346,4,2,5,1,7,0.03,0.49,0.87,1,0.343678039562908,21,2,0
"PROS",7.05309385830951,7.16998295410291,4.34358816053403,2.36678198431,9.76879442338185,4,1,8.25,1,11,0.41,0.48,0.55,0.88,1.01657274072082,21,1,1
"CADM",4.11328829809919,0.614340181148243,4.15710240139674,3.62817121873747,4.56097176839051,4,3,5,1,8,0.09,0.37,0.78,1,0.149355001795556,19,2,2
"PTPRM",4.03874981370596,0.479903515304138,4.12334791159291,3.69042262265827,4.33914222570409,4,3,6,1,8,0.02,0.35,0.71,1,0.118824769406496,18,3,2
"SEMA6",4.41676381536128,1.62409756742445,4.11005747767772,3.42554269980647,4.8998412350155,4,3,6,1,9,0.05,0.44,0.73,1,0.367712115774884,18,3,2
"EPHA",3.80633596159597,2.3696058942438,2.91194134770361,2.22853456557206,4.88285334651497,7,3,9,1,12,0.11,0.28,0.4,0.91,0.622542497076439,17,6,0
"CDH",2.82781506711752,0.558801367208305,2.75454449136967,2.52190813243462,3.17756002662329,7,6,8,2,11,0,0.04,0.13,0.99,0.197608879628012,16,7,0
"Testosterone",2.49509893837116,0.22986941780327,2.50394354295857,2.34539446006643,2.64814630635462,8,7,9,5,11,0,0,0.01,0.98,0.0921283778643797,15,8,0
"NCAM",2.11898433155975,0.224281696672672,2.10565895154208,1.96620992734484,2.29533500221092,10,9,10,8,11,0,0,0,0.79,0.105843961813338,14,9,0
"NGL",1.98491314042305,0.335068307943684,1.93278018101571,1.75930151876943,2.16928787079894,11,10,11,6,12,0,0,0,0.45,0.16880754181126,13,10,0
"Cholesterol",1.15016955101397,0.192609846297049,1.13815551727985,1.03120721103952,1.28790711062902,12,12,12,11,15,0,0,0,0,0.167462132976175,12,11,0
"NRXN",0.830717803189461,0.154477452995093,0.832879912442617,0.723156392509621,0.928309776157854,13,13,14,12,21,0,0,0,0,0.185956593685596,11,12,0
"COLLAGEN",0.615889322743287,0.0956079783957205,0.625500171858553,0.545624802884696,0.676847990231537,15,14.75,16,13,20,0,0,0,0,0.155235648460124,9,13,1
"JAM",0.596203641092095,0.123568993979693,0.599577371805033,0.504460045566286,0.676954660336799,15,14,17,13,23,0,0,0,0,0.207259710379067,8,13,2
"Netrin",0.565212629062742,0.156289246822851,0.565326650337824,0.459307973181701,0.666553925579332,16,15,18.25,13,23,0,0,0,0,0.276514074149433,8,14,1
"NECTIN",0.50414802546212,0.168012218174007,0.501905290557476,0.384341914717372,0.619084320179703,17,15,20,13,24,0,0,0,0,0.333259696931275,7,16,0
"LAMININ",0.434667397832287,0.0954711473824071,0.442209444446119,0.378333641745553,0.499864438551978,19,18,20,13,24,0,0,0,0,0.219641840769581,5,17,1
"PDGF",0.450836683212422,0.120386317229179,0.441510405678882,0.362986677788233,0.515405113790149,19,16.75,21,13,24,0,0,0,0,0.267028664063826,5,17,1
"EPHB",0.385974477315383,0.108451883816935,0.378360043464156,0.315187528675454,0.459749756270697,20,19,22,13,24,0,0,0,0,0.280982008373361,3,19,1
"MPZ",0.394067074919214,0.149041351824119,0.4013408208099,0.286689016760037,0.483559947972031,20,18,23,13,24,0,0,0,0,0.378213155348423,3,19,1
"IGF",0.352512364882393,0.0938627043255192,0.360096897369533,0.303122478479577,0.417834892065146,21,19,22.25,16,24,0,0,0,0,0.266267835333476,1,21,1
"NRG",0.354821946595272,0.117304972025913,0.351311263715158,0.27726398723704,0.428353146053609,21,20,23,14,24,0,0,0,0,0.330602357468371,1,21,1
"ADGRL",0.272330332415836,0.0894152633920889,0.267788859104219,0.212674513859875,0.315818713458073,23,22,24,14,24,0,0,0,0,0.32833383853678,0,23,0
