"pathway","rank_1","rank_2","rank_3","rank_4","rank_5","rank_6","rank_7","rank_8","rank_9","rank_10","rank_11","rank_12","rank_13","rank_14","rank_15","rank_16","rank_17","rank_18","rank_19","rank_20","rank_21","rank_22","rank_23","rank_24"
"ADGRL",0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0,0.02,0.02,0.02,0.13,0.1,0.29,0.4
"Androstenedione",0.29,0.22,0.04,0.15,0.12,0.07,0.08,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"APP",0.03,0.23,0.23,0.2,0.18,0.09,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CADM",0.09,0.11,0.17,0.2,0.21,0.15,0.05,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CDH",0,0.01,0.03,0.02,0.07,0.15,0.25,0.26,0.16,0.04,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cholesterol",0,0,0,0,0,0,0,0,0,0,0.02,0.86,0.08,0.03,0.01,0,0,0,0,0,0,0,0,0
"COLLAGEN",0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.18,0.31,0.21,0.14,0.06,0.02,0.01,0,0,0,0
"EPHA",0.11,0.12,0.05,0.05,0.07,0.06,0.11,0.13,0.08,0.13,0.08,0.01,0,0,0,0,0,0,0,0,0,0,0,0
"EPHB",0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.06,0.04,0.08,0.18,0.13,0.11,0.2,0.09,0.08
"IGF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.06,0.09,0.11,0.11,0.2,0.16,0.14,0.11
"JAM",0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.27,0.22,0.16,0.09,0.1,0.04,0.04,0.02,0.01,0.01,0
"LAMININ",0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.05,0.15,0.18,0.18,0.19,0.09,0.06,0.06,0.01
"MPZ",0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.03,0.05,0.04,0.08,0.11,0.1,0.09,0.13,0.07,0.08,0.21
"NCAM",0,0,0,0,0,0,0,0.1,0.24,0.45,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0
"NECTIN",0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.12,0.1,0.14,0.16,0.06,0.06,0.09,0.04,0.07,0.06,0.06
"Netrin",0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.12,0.15,0.12,0.12,0.12,0.08,0.05,0.05,0.05,0.02,0
"NGL",0,0,0,0,0,0.01,0,0.07,0.16,0.21,0.54,0.01,0,0,0,0,0,0,0,0,0,0,0,0
"NRG",0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.02,0.02,0.06,0.04,0.09,0.15,0.14,0.21,0.16,0.1
"NRXN",0,0,0,0,0,0,0,0,0,0,0,0.12,0.61,0.18,0.06,0.02,0,0,0,0,0.01,0,0,0
"PDGF",0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.03,0.06,0.15,0.1,0.14,0.12,0.12,0.08,0.07,0.09,0.03
"PROS",0.41,0.05,0.02,0.05,0.02,0.05,0.1,0.05,0.06,0.07,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0
"PTPRM",0.02,0.13,0.2,0.22,0.14,0.16,0.11,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SEMA6",0.05,0.13,0.26,0.11,0.18,0.21,0.05,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Testosterone",0,0,0,0,0.01,0.05,0.21,0.32,0.29,0.1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0
