"","ADGRL","Androstenedione","APP","CADM","CDH","Cholesterol","COLLAGEN","EPHA","EPHB","IGF","JAM","LAMININ","MPZ","NCAM","NECTIN","Netrin","NGL","NRG","NRXN","PDGF","PROS","PTPRM","SEMA6","Testosterone"
"ADGRL",NA,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,7.2148208568855e-18,6.65879446972748e-18,3.38743900468828e-10,1.00477115719499e-07,9.25113173118054e-18,4.1957688173716e-15,1.28016075840855e-08,6.65879446972748e-18,3.12798093006776e-15,4.4638117768237e-17,6.65879446972748e-18,2.76497628399218e-07,6.65879446972748e-18,1.06077482761936e-14,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18
"Androstenedione",6.65879446972748e-18,NA,0.00220683835602437,1.20406366531683e-06,1.71593261929714e-17,6.65879446972748e-18,6.65879446972748e-18,1.62758113631835e-07,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,0.693787889053178,1.71410355951672e-07,0.000254715494066314,6.65879446972748e-18
"APP",6.65879446972748e-18,0.00220683835602437,NA,0.0371203072823305,2.66474734217083e-16,6.65879446972748e-18,6.65879446972748e-18,6.12790138568039e-06,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,0.0395605309684276,0.00389647663023101,0.0220403180304993,6.65879446972748e-18
"CADM",6.65879446972748e-18,1.20406366531683e-06,0.0371203072823305,NA,7.31107036056744e-17,6.65879446972748e-18,6.65879446972748e-18,0.0117215224631615,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,0.0139446172315131,0.0768510857432866,0.297339760586174,6.65879446972748e-18
"CDH",6.65879446972748e-18,1.71593261929714e-17,2.66474734217083e-16,7.31107036056744e-17,NA,6.65879446972748e-18,6.65879446972748e-18,0.00561028209821982,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,4.16833078666991e-16,6.65879446972748e-18,6.65879446972748e-18,9.25113173118054e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,4.71121492974373e-08,5.83447639960469e-16,2.82848149212838e-15,1.58300327346252e-06
"Cholesterol",6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,NA,6.65879446972748e-18,6.82267958704979e-18,6.65879446972748e-18,6.65879446972748e-18,7.04034272570647e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.90994047120349e-18,7.39377538003046e-18,7.04034272570647e-18,6.65879446972748e-18,2.9744949972455e-15,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18
"COLLAGEN",7.2148208568855e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,NA,6.65879446972748e-18,3.46047337317805e-17,6.65879446972748e-18,0.357517881351859,1.39993126956841e-17,3.99070802770044e-15,6.65879446972748e-18,1.25607429934375e-07,0.00789513053360291,6.65879446972748e-18,3.37807765639583e-17,5.77691992716507e-15,1.10203181170439e-13,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18
"EPHA",6.65879446972748e-18,1.62758113631835e-07,6.12790138568039e-06,0.0117215224631615,0.00561028209821982,6.82267958704979e-18,6.65879446972748e-18,NA,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,3.33172671078074e-12,6.65879446972748e-18,6.65879446972748e-18,4.94876990266823e-14,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,0.000223303980644395,0.024697356184871,0.00183827019699995,3.58718382369749e-05
"EPHB",3.38743900468828e-10,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,3.46047337317805e-17,6.65879446972748e-18,NA,0.0498579162159129,9.05570932387055e-15,0.000734247895167421,0.594819793328411,6.65879446972748e-18,3.89771698834727e-07,4.64651091589213e-13,6.65879446972748e-18,0.034053248065748,6.90994047120349e-18,0.000275045980388519,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18
"IGF",1.00477115719499e-07,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,0.0498579162159129,NA,8.41575372325954e-17,7.57533107345239e-08,0.0439140107805668,6.65879446972748e-18,5.21531882740527e-09,5.34710122143855e-15,6.65879446972748e-18,0.881106142322605,6.65879446972748e-18,5.80815688526187e-08,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18,6.65879446972748e-18
