"","ADGRL","Androstenedione","APP","CADM","CDH","Cholesterol","COLLAGEN","EPHA","EPHB","IGF","JAM","LAMININ","MPZ","NCAM","NECTIN","Netrin","NGL","NRG","NRXN","PDGF","PROS","PTPRM","SEMA6","Testosterone"
"ADGRL",NA,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,4.60075532902844e-18,3.95591160889952e-18,2.65103922106039e-10,8.22747396833576e-08,6.0333467812047e-18,3.04041218650116e-15,1.02505625945033e-08,3.95591160889952e-18,2.24398631939643e-15,3.00822098003336e-17,3.95591160889952e-18,2.30414690332682e-07,3.95591160889952e-18,7.91737733657925e-15,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18
"Androstenedione",3.95591160889952e-18,NA,0.00198295620396393,1.0208365858121e-06,1.1315207851887e-17,3.95591160889952e-18,3.95591160889952e-18,1.34452354739342e-07,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,4.07730530936212e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,0.691274164817478,1.42220911278742e-07,0.000223337498420464,4.07730530936212e-18
"APP",3.95591160889952e-18,0.00198295620396393,NA,0.0355063808787509,1.82477263648655e-16,3.95591160889952e-18,3.95591160889952e-18,5.26200227683425e-06,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,0.0379838431399758,0.00352941723752809,0.0207626184345283,3.95591160889952e-18
"CADM",3.95591160889952e-18,1.0208365858121e-06,0.0355063808787509,NA,4.95351506313809e-17,3.95591160889952e-18,3.95591160889952e-18,0.0107871982088516,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,0.0129846616974596,0.0746235180405827,0.291953170720483,3.95591160889952e-18
"CDH",3.95591160889952e-18,1.1315207851887e-17,1.82477263648655e-16,4.95351506313809e-17,NA,3.95591160889952e-18,3.95591160889952e-18,0.00510210437193179,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,2.8846057255578e-16,3.95591160889952e-18,3.95591160889952e-18,6.0333467812047e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.80652510627845e-08,4.05876619102935e-16,2.00863178426508e-15,1.34784699008584e-06
"Cholesterol",3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,NA,3.95591160889952e-18,4.20237510796545e-18,3.95591160889952e-18,3.95591160889952e-18,4.46398542390809e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,4.33123080260219e-18,4.74166029806301e-18,4.46398542390809e-18,3.95591160889952e-18,2.12309969006291e-15,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18
"COLLAGEN",4.60075532902844e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,NA,3.95591160889952e-18,2.30698224878537e-17,3.95591160889952e-18,0.352336462781542,9.18070868811165e-18,2.87735832432025e-15,3.95591160889952e-18,1.03307560127185e-07,0.0072085974437244,3.95591160889952e-18,2.23981235913202e-17,4.22803559886719e-15,8.46488203193224e-14,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18
"EPHA",3.95591160889952e-18,1.34452354739342e-07,5.26200227683425e-06,0.0107871982088516,0.00510210437193179,4.20237510796545e-18,3.95591160889952e-18,NA,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,2.58329534821405e-12,3.95591160889952e-18,3.95591160889952e-18,3.74743807846978e-14,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,0.000194986446867026,0.023355108566128,0.00164511861832966,3.10629323863659e-05
"EPHB",2.65103922106039e-10,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,2.30698224878537e-17,3.95591160889952e-18,NA,0.0482321146001766,6.72616091084588e-15,0.000651778022884124,0.590509504970959,3.95591160889952e-18,3.26221965329065e-07,3.58589429378632e-13,3.95591160889952e-18,0.0323259093957463,4.33123080260219e-18,0.000242160047950761,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18
"IGF",8.22747396833576e-08,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,0.0482321146001766,NA,5.73246992743766e-17,6.17554163596662e-08,0.0423229234334448,3.95591160889952e-18,4.15713819575782e-09,3.89408458517807e-15,3.95591160889952e-18,0.881106142322605,4.07730530936212e-18,4.71386645760384e-08,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18,3.95591160889952e-18
