"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"SSC","Sertoli","NRG1","ERBB4",0.011721193554415,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"SSC","SSC","NRG3","ERBB4",7.15414699386368e-05,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"SSC","Sertoli","NRG3","ERBB4",0.00633803069645828,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Sertoli","Sertoli","NRG4","ERBB4",0.052861402654867,0,"NRG4_ERBB4","NRG4 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012"
"Sertoli","SSC","SPP1","ITGAV_ITGB1",6.11931596710802e-05,0,"SPP1_ITGAV_ITGB1","SPP1 - (ITGAV+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263"
"Sertoli","SSC","SPP1","ITGAV_ITGB5",6.12577613500428e-05,0,"SPP1_ITGAV_ITGB5","SPP1 - (ITGAV+ITGB5)","SPP1","Secreted Signaling","PMID: 21907263"
"Sertoli","SSC","SPP1","ITGA9_ITGB1",6.14085072638798e-05,0,"SPP1_ITGA9_ITGB1","SPP1 - (ITGA9+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263"
"Sertoli","SSC","SPP1","ITGA8_ITGB1",7.08480854857137e-05,0,"SPP1_ITGA8_ITGB1","SPP1 - (ITGA8+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263"
"SSC","SSC","SLIT2","ROBO1",2.21126172500946e-05,0,"SLIT2_ROBO1","SLIT2 - ROBO1","SLIT","Secreted Signaling","PMID:10102268"
"SSC","Sertoli","SLIT2","ROBO1",0.0018727372665469,0,"SLIT2_ROBO1","SLIT2 - ROBO1","SLIT","Secreted Signaling","PMID:10102268"
"SSC","SSC","SLIT2","ROBO2",4.78034430220966e-05,0,"SLIT2_ROBO2","SLIT2 - ROBO2","SLIT","Secreted Signaling","PMID:10102268"
"SSC","Sertoli","SLIT2","ROBO2",0.00121645486129731,0,"SLIT2_ROBO2","SLIT2 - ROBO2","SLIT","Secreted Signaling","PMID:10102268"
"Sertoli","Sertoli","LAMA1","ITGA6_ITGB1",0.0335715039551289,0,"LAMA1_ITGA6_ITGB1","LAMA1 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Sertoli","Sertoli","LAMA2","ITGA6_ITGB1",0.0202031894366641,0,"LAMA2_ITGA6_ITGB1","LAMA2 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Sertoli","Sertoli","LAMB1","ITGA6_ITGB1",0.0140143482800184,0,"LAMB1_ITGA6_ITGB1","LAMB1 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"SSC","SSC","COL4A1","ITGA9_ITGB1",4.83551579216104e-06,0,"COL4A1_ITGA9_ITGB1","COL4A1 - (ITGA9+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Sertoli","SSC","COL4A1","ITGA9_ITGB1",2.88866248033613e-05,0,"COL4A1_ITGA9_ITGB1","COL4A1 - (ITGA9+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"SSC","SSC","COL4A2","ITGA9_ITGB1",2.05064134911916e-06,0,"COL4A2_ITGA9_ITGB1","COL4A2 - (ITGA9+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Sertoli","SSC","COL4A2","ITGA9_ITGB1",9.0018480996383e-05,0,"COL4A2_ITGA9_ITGB1","COL4A2 - (ITGA9+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"SSC","SSC","LAMA1","ITGA9_ITGB1",6.80934244675968e-06,0,"LAMA1_ITGA9_ITGB1","LAMA1 - (ITGA9+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Sertoli","SSC","LAMA1","ITGA9_ITGB1",0.00139876521233615,0,"LAMA1_ITGA9_ITGB1","LAMA1 - (ITGA9+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"SSC","SSC","LAMA2","ITGA9_ITGB1",1.46574253500323e-05,0,"LAMA2_ITGA9_ITGB1","LAMA2 - (ITGA9+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Sertoli","SSC","LAMA2","ITGA9_ITGB1",0.00084341949250978,0,"LAMA2_ITGA9_ITGB1","LAMA2 - (ITGA9+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Sertoli","SSC","LAMB1","ITGA9_ITGB1",0.000585585780415848,0,"LAMB1_ITGA9_ITGB1","LAMB1 - (ITGA9+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Sertoli","Sertoli","LAMA1","DAG1",0.0476916502182039,0,"LAMA1_DAG1","LAMA1 - DAG1","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Sertoli","Sertoli","LAMA2","DAG1",0.0288817481025379,0,"LAMA2_DAG1","LAMA2 - DAG1","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Sertoli","Sertoli","LAMB1","DAG1",0.0200931052351977,0,"LAMB1_DAG1","LAMB1 - DAG1","LAMININ","ECM-Receptor","KEGG: hsa04512"
