"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence","datasets","ligand.logFC","ligand.pct.1","ligand.pct.2","ligand.pvalues","receptor.logFC","receptor.pct.1","receptor.pct.2","receptor.pvalues"
"SSC","Sertoli","NRG4","ERBB4",0.00579118242877222,0,"NRG4_ERBB4","NRG4 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012","healthy",-0.122800619417627,26.7924528301887,34.1232227488152,6.66900869084196e-05,0.394759867651887,98.9713650264109,99.7286050298534,0
"Sertoli","Sertoli","GAS6","AXL",0.00243579176657783,0,"GAS6_AXL","GAS6 - AXL","GAS","Secreted Signaling","PMID: 27801848","healthy",-0.188137884857308,9.15114447224539,35.2089741270129,0,-0.117696732278412,30.6783430636642,52.9310656775828,1.39997620779499e-196
"Sertoli","Sertoli","GAS6","MERTK",0.00348555165247813,0,"GAS6_MERTK","GAS6 - MERTK","GAS","Secreted Signaling","PMID: 27801848","healthy",-0.188137884857308,9.15114447224539,35.2089741270129,0,-0.365363397080912,23.4315633398202,60.394427356613,0
"Sertoli","Sertoli","GAS6","TYRO3",0.00199031158720241,0,"GAS6_TYRO3","GAS6 - TYRO3","GAS","Secreted Signaling","PMID: 27801848","healthy",-0.188137884857308,9.15114447224539,35.2089741270129,0,-0.218323989381994,21.78204058938,50.7146734213859,0
"Sertoli","Sertoli","PROS1","AXL",0.0109645380032092,0,"PROS1_AXL","PROS1 - AXL","PROS","Secreted Signaling","PMID: 29531161","healthy",-0.181453709971794,33.2267630432768,60.2677763705446,1.39600624220675e-273,-0.117696732278412,30.6783430636642,52.9310656775828,1.39997620779499e-196
"Sertoli","Sertoli","PROS1","TYRO3",0.00897790943131049,0,"PROS1_TYRO3","PROS1 - TYRO3","PROS","Secreted Signaling","PMID: 30501104","healthy",-0.181453709971794,33.2267630432768,60.2677763705446,1.39600624220675e-273,-0.218323989381994,21.78204058938,50.7146734213859,0
"Sertoli","Sertoli","PSAP","GPR37",0.00560392516894149,0,"PSAP_GPR37","PSAP - GPR37","PSAP","Secreted Signaling","PMID: 23690594","healthy",-0.304228407903862,49.1474376795478,80.0162836982088,1.10806932334198e-252,-0.112663406780026,13.8958391251969,33.6891622941922,0
"Sertoli","Sertoli","PROS1","MERTK",0.0156134522070834,0,"PROS1_MERTK","PROS1 - MERTK","PROS","Secreted Signaling","PMID: 34631419","healthy",-0.181453709971794,33.2267630432768,60.2677763705446,1.39600624220675e-273,-0.365363397080912,23.4315633398202,60.394427356613,0
"Sertoli","Sertoli","LAMA3","ITGA6_ITGB1",0.0344601537245436,0,"LAMA3_ITGA6_ITGB1","LAMA3 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512","healthy",-0.98092660673656,64.1414141414141,96.8065858512756,0,-0.126845569321546,36.0670929478269,55.2153066763163,2.9281001884626e-29
"Sertoli","Sertoli","LAMC1","ITGA6_ITGB1",0.00855734905581777,0,"LAMC1_ITGA6_ITGB1","LAMC1 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512","healthy",-0.13433711477421,34.1627281994254,58.0423376153429,8.6880280001187e-187,-0.126845569321546,36.0670929478269,55.2153066763163,2.9281001884626e-29
