"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence","datasets","ligand.logFC","ligand.pct.1","ligand.pct.2","ligand.pvalues","receptor.logFC","receptor.pct.1","receptor.pct.2","receptor.pvalues"
"SSC","Sertoli","NRG1","ERBB4",0.011721193554415,0,"NRG1_ERBB4","NRG1 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012","crypto",0.473984579190807,84.5283018867925,68.0094786729858,1.08442373422473e-14,0.394759867651887,98.9713650264109,99.7286050298534,0
"SSC","SSC","NRG3","ERBB4",7.15414699386368e-05,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012","crypto",0.281454774619032,57.8616352201258,46.0900473933649,6.72232381922185e-11,0.635224047287213,59.748427672956,29.7985781990521,1.06934641124024e-56
"SSC","Sertoli","NRG3","ERBB4",0.00633803069645828,0,"NRG3_ERBB4","NRG3 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012","crypto",0.281454774619032,57.8616352201258,46.0900473933649,6.72232381922185e-11,0.394759867651887,98.9713650264109,99.7286050298534,0
"Sertoli","Sertoli","NRG4","ERBB4",0.052861402654867,0,"NRG4_ERBB4","NRG4 - ERBB4","NRG","Secreted Signaling","KEGG: hsa04012","crypto",0.242492586056816,38.717449726624,37.3620408901755,2.71008138855187e-65,0.394759867651887,98.9713650264109,99.7286050298534,0
"Sertoli","SSC","SPP1","ITGAV_ITGB1",6.11931596710802e-05,0,"SPP1_ITGAV_ITGB1","SPP1 - (ITGAV+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263","crypto",0.349585725354467,28.1160226114355,2.13497376515289,0,0.192541508058316,37.4842767295597,25.0592417061611,3.27605144643479e-11
"Sertoli","SSC","SPP1","ITGAV_ITGB5",6.12577613500428e-05,0,"SPP1_ITGAV_ITGB5","SPP1 - (ITGAV+ITGB5)","SPP1","Secreted Signaling","PMID: 21907263","crypto",0.349585725354467,28.1160226114355,2.13497376515289,0,0.192541508058316,37.4842767295597,25.0592417061611,3.27605144643479e-11
"Sertoli","SSC","SPP1","ITGA9_ITGB1",6.14085072638798e-05,0,"SPP1_ITGA9_ITGB1","SPP1 - (ITGA9+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263","crypto",0.349585725354467,28.1160226114355,2.13497376515289,0,0.146248529994838,37.1069182389937,26.9549763033175,4.50752038493358e-07
"Sertoli","SSC","SPP1","ITGA8_ITGB1",7.08480854857137e-05,0,"SPP1_ITGA8_ITGB1","SPP1 - (ITGA8+ITGB1)","SPP1","Secreted Signaling","PMID: 21907263","crypto",0.349585725354467,28.1160226114355,2.13497376515289,0,0.105789234109718,44.5283018867925,39.9289099526066,0.005952256729856
"SSC","SSC","SLIT2","ROBO1",2.21126172500946e-05,0,"SLIT2_ROBO1","SLIT2 - ROBO1","SLIT","Secreted Signaling","PMID:10102268","crypto",0.35233575721378,31.4465408805031,12.1445497630332,1.2204822094402e-33,0.357541775351965,63.8993710691824,49.7630331753554,1.54385473616054e-13
"SSC","Sertoli","SLIT2","ROBO1",0.0018727372665469,0,"SLIT2_ROBO1","SLIT2 - ROBO1","SLIT","Secreted Signaling","PMID:10102268","crypto",0.35233575721378,31.4465408805031,12.1445497630332,1.2204822094402e-33,-0.580509007367604,95.3850430914651,99.5838610457753,0
"SSC","SSC","SLIT2","ROBO2",4.78034430220966e-05,0,"SLIT2_ROBO2","SLIT2 - ROBO2","SLIT","Secreted Signaling","PMID:10102268","crypto",0.35233575721378,31.4465408805031,12.1445497630332,1.2204822094402e-33,0.517603080747618,86.5408805031447,68.6018957345972,2.54504733042591e-16
"SSC","Sertoli","SLIT2","ROBO2",0.00121645486129731,0,"SLIT2_ROBO2","SLIT2 - ROBO2","SLIT","Secreted Signaling","PMID:10102268","crypto",0.35233575721378,31.4465408805031,12.1445497630332,1.2204822094402e-33,1.73273954264532,82.7865814104346,34.3676497195585,0
"Sertoli","Sertoli","LAMA1","ITGA6_ITGB1",0.0335715039551289,0,"LAMA1_ITGA6_ITGB1","LAMA1 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512","crypto",0.051057251023209,92.4288759151144,98.6701646462819,2.72195336298691e-186,-0.126845569321546,36.0670929478269,55.2153066763163,2.9281001884626e-29
"Sertoli","Sertoli","LAMA2","ITGA6_ITGB1",0.0202031894366641,0,"LAMA2_ITGA6_ITGB1","LAMA2 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512","crypto",1.40330661825157,73.4778982485405,24.8869187624389,0,-0.126845569321546,36.0670929478269,55.2153066763163,2.9281001884626e-29
"Sertoli","Sertoli","LAMB1","ITGA6_ITGB1",0.0140143482800184,0,"LAMB1_ITGA6_ITGB1","LAMB1 - (ITGA6+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512","crypto",1.02100674908116,59.1187100361412,12.6108196128098,0,-0.126845569321546,36.0670929478269,55.2153066763163,2.9281001884626e-29
"SSC","SSC","COL4A1","ITGA9_ITGB1",4.83551579216104e-06,0,"COL4A1_ITGA9_ITGB1","COL4A1 - (ITGA9+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512","crypto",0.188732410761811,30.440251572327,17.239336492891,2.72391502332981e-14,0.146248529994838,37.1069182389937,26.9549763033175,4.50752038493358e-07
"SSC","SSC","COL4A2","ITGA9_ITGB1",2.05064134911916e-06,0,"COL4A2_ITGA9_ITGB1","COL4A2 - (ITGA9+ITGB1)","COLLAGEN","ECM-Receptor","KEGG: hsa04512","crypto",0.18083219602639,25.1572327044025,13.3293838862559,5.47380653519143e-14,0.146248529994838,37.1069182389937,26.9549763033175,4.50752038493358e-07
