"gene","type"
"TGFB3","ligand"
"BMP2","ligand"
"GDF5","ligand"
"GDF6","ligand"
"GDF7","ligand"
"BMP5","ligand"
"BMP6","ligand"
"BMP7","ligand"
"BMP8A","ligand"
"BMP10","ligand"
"GDF10","ligand"
"GDF11","ligand"
"GDNF","ligand"
"NRTN","ligand"
"NODAL","ligand"
"INHBA","ligand"
"INHBB","ligand"
"Activin AB","ligand"
"Inhibin A","ligand"
"Inhibin B","ligand"
"WNT2","ligand"
"WNT3","ligand"
"WNT3A","ligand"
"WNT6","ligand"
"WNT8B","ligand"
"WNT9A","ligand"
"WNT9B","ligand"
"WNT5A","ligand"
"WNT5B","ligand"
"WNT11","ligand"
"EGF","ligand"
"TGFA","ligand"
"AREG","ligand"
"BTC","ligand"
"HBEGF","ligand"
"EREG","ligand"
"NRG1","ligand"
"NRG2","ligand"
"NRG3","ligand"
"NRG4","ligand"
"FGF1","ligand"
"FGF2","ligand"
"FGF4","ligand"
"FGF7","ligand"
"FGF3","ligand"
"FGF10","ligand"
"FGF17","ligand"
"FGF9","ligand"
"FGF20","ligand"
"FGF16","ligand"
"FGF19","ligand"
"PDGFA","ligand"
"PDGFB","ligand"
"PDGFC","ligand"
"PDGFD","ligand"
"VEGFA","ligand"
"VEGFC","ligand"
"VEGFD","ligand"
"PGF","ligand"
"IGF1","ligand"
"DHH","ligand"
"SHH","ligand"
"CCL5","ligand"
"CCL15","ligand"
"CCL17","ligand"
"CCL2","ligand"
"CXCL1","ligand"
"CXCL2","ligand"
"CXCL10","ligand"
"CXCL12","ligand"
"IL2","ligand"
"IL7","ligand"
"IL15","ligand"
"IL21","ligand"
"IL13","ligand"
"IL6","ligand"
"IL12AB","ligand"
"IL23 complex","ligand"
"CNTF","ligand"
"CTF1","ligand"
"IL10","ligand"
"IL20","ligand"
"IL24","ligand"
"IL26","ligand"
"IL1A","ligand"
"IL1F10","ligand"
"IL37","ligand"
"IL18","ligand"
"IL17C","ligand"
"IL34","ligand"
"IL16","ligand"
"LTa1b2","ligand"
"EDA","ligand"
"NGF","ligand"
"TNFSF12","ligand"
"TNFSF9","ligand"
"TNFSF13","ligand"
"TNFSF13B","ligand"
"CD40LG","ligand"
"SPP1","ligand"
"NAMPT","ligand"
"ANGPTL1","ligand"
"ANGPTL2","ligand"
"ANGPTL4","ligand"
"ANGPT1","ligand"
"ANGPT2","ligand"
"PTN","ligand"
"EDN1","ligand"
"EDN3","ligand"
"NPFF","ligand"
"NPY","ligand"
"PDYN","ligand"
"PENK","ligand"
"POMC","ligand"
"TAC1","ligand"
"TAC4","ligand"
"TAC3","ligand"
"F2","ligand"
"PLG","ligand"
"GZMA","ligand"
"PROK2","ligand"
"KITLG","ligand"
"BDNF","ligand"
"FLT3LG","ligand"
"HGF","ligand"
"NTF3","ligand"
"SEMA3A","ligand"
"SEMA3B","ligand"
"SEMA3C","ligand"
"SEMA3D","ligand"
"SEMA3F","ligand"
"SEMA3G","ligand"
"SEMA3E","ligand"
"ADM","ligand"
"CALCA","ligand"
"CRH","ligand"
"ENHO","ligand"
"GAS6","ligand"
"GRN","ligand"
"INSL3","ligand"
"INSL5","ligand"
"NPVF","ligand"
"OSTN","ligand"
"PMCH","ligand"
"PROS1","ligand"
"PSAP","ligand"
"PTH","ligand"
"PTHLH","ligand"
"RARRES2","ligand"
"UCN","ligand"
"KLK1","ligand"
"KLK7","ligand"
"PROC","ligand"
"PTPRS","both"
"SLITRK4","ligand"
"SLITRK6","ligand"
"SLIT1","ligand"
"SLIT2","ligand"
"TULP2","ligand"
"COL1A1","ligand"
"COL1A2","ligand"
"COL2A1","ligand"
"COL4A1","ligand"
"COL4A2","ligand"
"COL4A3","ligand"
"COL4A4","ligand"
"COL4A5","ligand"
"COL4A6","ligand"
"COL6A1","ligand"
"COL6A2","ligand"
"COL6A3","ligand"
"COL6A5","ligand"
"COL6A6","ligand"
"COL9A1","ligand"
"COL9A2","ligand"
"FN1","ligand"
"LAMA1","ligand"
"LAMA2","ligand"
"LAMA3","ligand"
"LAMA4","ligand"
"LAMB1","ligand"
"LAMB2","ligand"
"LAMC1","ligand"
"LAMC2","ligand"
"LAMC3","ligand"
"CHAD","ligand"
"RELN","ligand"
"THBS1","ligand"
"THBS2","ligand"
"COMP","ligand"
"TNC","ligand"
"TNR","ligand"
"TNN","ligand"
"TNXB","ligand"
"Npnt complex 1","ligand"
"Npnt complex 2","ligand"
"DSPP","ligand"
"VWF","ligand"
"AGRN","ligand"
"HSPG2","ligand"
"Ach-CHAT_SLC10A4","ligand"
"Ach-CHAT_SLC18A3","ligand"
"Ach-CHAT_SLC5A7","ligand"
"GABA-GAD1_SLC32A1","ligand"
"GABA-GAD1_SLC6A1","ligand"
"GABA-GAD1_SLC6A11","ligand"
"GABA-GAD1_SLC6A12","ligand"
"GABA-GAD1_SLC6A13","ligand"
"GABA-GAD1_SLC6A6","ligand"
"GABA-GAD2_SLC32A1","ligand"
"GABA-GAD2_SLC6A1","ligand"
"GABA-GAD2_SLC6A11","ligand"
"GABA-GAD2_SLC6A12","ligand"
"GABA-GAD2_SLC6A13","ligand"
"GABA-GAD2_SLC6A6","ligand"
"GABA-GAD2_SLC6A8","ligand"
"Gly-SHMT1_SLC6A5","ligand"
"Gly-SHMT1_SLC6A9","ligand"
"Gly-SHMT2_SLC6A9","ligand"
"ADO-NT5E_SLC29A1","ligand"
"ADO-NT5E_SLC29A2","ligand"
"ADO-NT5E_SLC29A3","ligand"
"ADO-NT5E_SLC29A4","ligand"
"ADR-PNMT_SLC18A2","ligand"
"NE-DBH_SLC18A1","ligand"
"NE-DBH_SLC18A2","ligand"
"NE-DBH_SLC6A2","ligand"
"LTC4-LTC4S","ligand"
"LTD4-GGT1","ligand"
"DOPA-DDC_SLC18A1","ligand"
"DOPA-DDC_SLC18A2","ligand"
"DOPA-DDC_SLC6A3","ligand"
"Glu-SLC17A6_GLS","ligand"
"Glu-SLC17A7_GLS","ligand"
"Glu-SLC17A8_GLS","ligand"
"Glu-SLC1A1_GLS","ligand"
"Glu-SLC1A2_GLS","ligand"
"Glu-SLC1A3_GLS","ligand"
"Glu-SLC1A6_GLS","ligand"
"Glu-SLC17A6_GLS2","ligand"
"Glu-SLC17A7_GLS2","ligand"
"Glu-SLC17A8_GLS2","ligand"
"Glu-SLC1A1_GLS2","ligand"
"Glu-SLC1A2_GLS2","ligand"
"Glu-SLC1A3_GLS2","ligand"
"Glu-SLC1A6_GLS2","ligand"
"Glu-NRXN1_CBLN1","ligand"
"5-HT-TPH1_SLC18A1","ligand"
"5-HT-TPH1_SLC18A2","ligand"
"5-HT-TPH1_SLC6A4","ligand"
"5-HT-TPH2_SLC18A1","ligand"
"5-HT-TPH2_SLC18A2","ligand"
"5-HT-TPH2_SLC6A4","ligand"
"LTB4-LTA4H","ligand"
"b-Endorphin-POMC","ligand"
"PGD2-PTGDS","ligand"
"22HC-CYP11A1","ligand"
"2AG-DAGLA","ligand"
"2AG-DAGLB","ligand"
"Androstenedione-CYP17A1","ligand"
"Androsterone-HSD17B6","ligand"
"RA-ALDH1A1","ligand"
"RA-ALDH1A2","ligand"
"Cholesterol-CEL","ligand"
"Cholesterol-DHCR24","ligand"
"Cholesterol-DHCR7","ligand"
"Cholesterol-LIPA","ligand"
"Cort-CYP11B1","ligand"
"DHEA-STS","ligand"
"DHEAS-SULT1E1","ligand"
"DHT-SRD5A1","ligand"
"DHT-SRD5A2","ligand"
"E2-CYP19A1","ligand"
"E2-HSD17B1","ligand"
"Melatonin-ASMT","ligand"
"Pregnenolone-CYP11A1","ligand"
"5-HT-DOPA-DDC","ligand"
"Testosterone-AKR1D1","ligand"
"Testosterone-HSD17B12","ligand"
"Testosterone-HSD17B3","ligand"
"T3-DIO3","ligand"
"APP","ligand"
"CADM1","both"
"FCER2","ligand"
"CD34","both"
"ENTPD1","ligand"
"PTPRC","ligand"
"CD46","ligand"
"CD48","ligand"
"CD6","ligand"
"CD80","ligand"
"CD86","ligand"
"CD96","ligand"
"CD99","both"
"CDH15","both"
"CDH4","both"
"CDH2","both"
"CDH5","both"
"CLDN11","both"
"CLEC2B","ligand"
"CD69","ligand"
"CLEC2L","ligand"
"NFASC","ligand"
"CNTN2","both"
"CNTN1","ligand"
"CSPG4","ligand"
"DSC1","ligand"
"DSC2","ligand"
"DSC3","ligand"
"EFNA1","ligand"
"EFNA4","ligand"
"EFNA5","ligand"
"EFNB1","ligand"
"EFNB2","ligand"
"ESAM","both"
"ICAM2","ligand"
"JAM2","both"
"JAM3","both"
"F11R","both"
"L1CAM","both"
"LCK","ligand"
"HLA-DMA","ligand"
"HLA-DMB","ligand"
"HLA-DRA","ligand"
"MPZL1","both"
"NCAM1","both"
"NCAM2","both"
"NECTIN3","both"
"NECTIN2","both"
"NEGR1","both"
"LRRC4C","ligand"
"DLK1","ligand"
"DLL1","ligand"
"DLL3","ligand"
"DLL4","ligand"
"JAG1","both"
"JAG2","ligand"
"NRXN1","ligand"
"NRXN3","ligand"
"OCLN","both"
"PECAM1","both"
"PTPRM","both"
"SELE","ligand"
"SELL","ligand"
"SEMA4A","ligand"
"SEMA4D","ligand"
"SEMA5A","ligand"
"SEMA5B","ligand"
"SEMA6D","ligand"
"SEMA6A","ligand"
"SEMA6B","ligand"
"SEMA7A","ligand"
"THY1","ligand"
"ITGA4_ITGB1","both"
"ITGA9_ITGB1","both"
"ITGA4_ITGB7","both"
"VSIR","ligand"
"CDH3","both"
"CDH12","ligand"
"GJA5","both"
"GJA1","both"
"GJC1","both"
"GJA3","both"
"CLDN1","both"
"PCDHA3","both"
"PCDHB1","both"
"PCDHB2","both"
"PCDHB7","both"
"PCDHGC3","both"
