"pathway_name","category","evidence","lr_count_CellChatDB","lr_count_detected","lr_pair_example"
"ADGRL","Cell-Cell Contact","PMID: 25728924;PMID: 34022279;PMID: 27091502;PMID: 35907405",32,8,"FLRT1_ADGRL1"
"NRG","Secreted Signaling","KEGG: hsa04012",14,3,"NRG1_ERBB3"
"CADM","Cell-Cell Contact","PMID: 24503895",8,2,"CADM1_CADM1"
"LAMININ","ECM-Receptor","KEGG: hsa04512",143,15,"LAMA1_ITGA1_ITGB1"
"NCAM","Cell-Cell Contact","PMID: 12791257",5,2,"NCAM1_FGFR1"
"CDH","Cell-Cell Contact","KEGG: hsa04514",6,2,"CDH15_CDH15"
"JAM","Cell-Cell Contact","PMID: 12070135",10,4,"JAM2_ITGA3_ITGB1"
"MPZ","Cell-Cell Contact","KEGG: hsa04514",3,1,"MPZ_MPZL1"
"PTPRM","Cell-Cell Contact","KEGG: hsa04514",1,1,"PTPRM_PTPRM"
"Testosterone","Non-protein Signaling","HMRbase;uniprot",3,2,"Testosterone-Testosterone-AKR1D1_AR"
"APP","Cell-Cell Contact","PMID: 19849849",4,2,"APP_CD74"
"IGF","Secreted Signaling","PMID: 14604834",8,1,"IGF1_IGF1R"
"EPHA","Cell-Cell Contact","PMID: 15114347",36,1,"EFNA1_EPHA1"
"SLIT","Secreted Signaling","PMID:10102268",3,2,"SLIT1_ROBO1"
"NRXN","Cell-Cell Contact","KEGG: hsa04514",32,7,"NRXN1_NLGN1"
"PDGF","Secreted Signaling","PMID: 15207812",6,1,"PDGFA_PDGFRA"
"PROS","Secreted Signaling","PMID: 29531161",3,2,"PROS1_AXL"
"COLLAGEN","ECM-Receptor","KEGG: hsa04512",187,7,"COL1A1_ITGA1_ITGB1"
"Netrin","Cell-Cell Contact","PMID: 22685302",8,5,"NTN1_DCC"
"Cholesterol","Non-protein Signaling","HMRbase;PMID:12467577;PDB:1N83",8,2,"Cholesterol-Cholesterol-CEL_RORA"
"PTN","Secreted Signaling","PMID: 28356350; PMID: 25620911",8,3,"PTN_PTPRZ1"
"EPHB","Cell-Cell Contact","PMID: 15114347",16,1,"EFNB1_EPHA4"
"BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264",76,6,"BMP2_BMPR1A_ACVR2A"
"NOTCH","Cell-Cell Contact","PMID: 22353464",24,1,"DLK1_NOTCH1"
"SPP1","Secreted Signaling","PMID: 21907263",9,4,"SPP1_CD44"
"CD45","Cell-Cell Contact","PMID: 12115612",2,1,"PTPRC_CD22"
"SEMA6","Cell-Cell Contact","PMID: 22325954",7,2,"SEMA6D_PLXNA1_KDR"
"Estradiol","Non-protein Signaling","HMRbase;reactome",8,1,"Estradiol-E2-CYP19A1_ESR1"
"TENASCIN","ECM-Receptor","KEGG: hsa04512",28,2,"TNC_ITGA8_ITGB1"
"UNC5","Cell-Cell Contact","PMID: 27091502",12,3,"FLRT1_UNC5A"
"CD46","Cell-Cell Contact","PMID: 23086448",1,1,"CD46_JAG1"
"NEGR","Cell-Cell Contact","KEGG: hsa04514",1,1,"NEGR1_NEGR1"
"ncWNT","Secreted Signaling","KEGG: hsa04310",31,1,"WNT5A_FZD1"
"FLRT","Cell-Cell Contact","PMID: 27091502",3,1,"FLRT1_FLRT1"
"NGL","Cell-Cell Contact","KEGG: hsa04514",3,1,"LRRC4C_NTNG1"
"PCDH","Cell-Cell Contact","PMID: 35253643; PMID: 32694982",53,1,"PCDHA10_PCDHA10"
