"gene","type"
"TGFB1","ligand"
"TGFB2","ligand"
"TGFB3","ligand"
"BMP2","ligand"
"BMP4","ligand"
"GDF5","ligand"
"GDF6","ligand"
"GDF7","ligand"
"BMP5","ligand"
"BMP6","ligand"
"BMP7","ligand"
"BMP8A","ligand"
"BMP8B","ligand"
"BMP10","ligand"
"GDF9","ligand"
"GDF10","ligand"
"GDF11","ligand"
"GDF15","ligand"
"MSTN","ligand"
"AMH","ligand"
"GDNF","ligand"
"NRTN","ligand"
"ARTN","ligand"
"NODAL","ligand"
"GDF1","ligand"
"GDF3","ligand"
"INHBA","ligand"
"INHBB","ligand"
"INHBC","ligand"
"Activin AB","ligand"
"Inhibin A","ligand"
"Inhibin B","ligand"
"WNT1","ligand"
"WNT10B","ligand"
"WNT16","ligand"
"WNT2","ligand"
"WNT2B","ligand"
"WNT3","ligand"
"WNT3A","ligand"
"WNT4","ligand"
"WNT6","ligand"
"WNT7A","ligand"
"WNT7B","ligand"
"WNT8A","ligand"
"WNT8B","ligand"
"WNT9A","ligand"
"WNT9B","ligand"
"WNT5A","ligand"
"WNT5B","ligand"
"WNT11","ligand"
"EGF","ligand"
"TGFA","ligand"
"AREG","ligand"
"BTC","ligand"
"HBEGF","ligand"
"EREG","ligand"
"NRG1","ligand"
"NRG2","ligand"
"NRG3","ligand"
"NRG4","ligand"
"FGF1","ligand"
"FGF2","ligand"
"FGF5","ligand"
"FGF6","ligand"
"FGF7","ligand"
"FGF3","ligand"
"FGF10","ligand"
"FGF22","ligand"
"FGF8","ligand"
"FGF18","ligand"
"FGF9","ligand"
"FGF20","ligand"
"FGF19","ligand"
"FGF23","ligand"
"PDGFA","ligand"
"PDGFB","ligand"
"PDGFC","ligand"
"PDGFD","ligand"
"VEGFA","ligand"
"VEGFB","ligand"
"VEGFC","ligand"
"VEGFD","ligand"
"PGF","ligand"
"IGF1","ligand"
"DHH","ligand"
"SHH","ligand"
"CCL5","ligand"
"CCL3","ligand"
"CCL8","ligand"
"CCL13","ligand"
"CCL15","ligand"
"CCL16","ligand"
"CCL2","ligand"
"CCL27","ligand"
"CCL11","ligand"
"CCL26","ligand"
"CCL28","ligand"
"CCL4","ligand"
"CCL20","ligand"
"CCL19","ligand"
"CCL25","ligand"
"CXCL1","ligand"
"CXCL2","ligand"
"CXCL8","ligand"
"CXCL9","ligand"
"CXCL10","ligand"
"CXCL11","ligand"
"CXCL13","ligand"
"CXCL12","ligand"
"CXCL16","ligand"
"MIF","ligand"
"CX3CL1","ligand"
"XCL1","ligand"
"IL2","ligand"
"IL4","ligand"
"IL15","ligand"
"TSLP","ligand"
"IL5","ligand"
"CSF2","ligand"
"IL13","ligand"
"IL12AB","ligand"
"IL23 complex","ligand"
"IL27 complex","ligand"
"IL31","ligand"
"CNTF","ligand"
"CLCF1","ligand"
"CTF1","ligand"
"LIF","ligand"
"IL10","ligand"
"IL19","ligand"
"IL22","ligand"
"IL26","ligand"
"IL1A","ligand"
"IL36A","ligand"
"IL36B","ligand"
"IL36G","ligand"
"IL37","ligand"
"IL18","ligand"
"IL33","ligand"
"IL17C","ligand"
"IL25","ligand"
"IL34","ligand"
"CSF1","ligand"
"IL16","ligand"
"GH1","ligand"
"PRL","ligand"
"THPO","ligand"
"CSF3","ligand"
"IFNB1","ligand"
"IFNK","ligand"
"IFNE","ligand"
"TNF","ligand"
