"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"SSC","Myoid","LAMA1","ITGA1_ITGB1",8.2572380635615e-05,0,"LAMA1_ITGA1_ITGB1","LAMA1 - (ITGA1+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Spermatocyte","Myoid","LAMA1","ITGA1_ITGB1",5.31062318320448e-05,0,"LAMA1_ITGA1_ITGB1","LAMA1 - (ITGA1+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Spermatid","Myoid","LAMA1","ITGA1_ITGB1",3.43615340937792e-05,0,"LAMA1_ITGA1_ITGB1","LAMA1 - (ITGA1+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Sertoli","Myoid","LAMA1","ITGA1_ITGB1",0.00128166134177242,0,"LAMA1_ITGA1_ITGB1","LAMA1 - (ITGA1+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Leydig","Myoid","LAMA1","ITGA1_ITGB1",7.22941292726793e-05,0,"LAMA1_ITGA1_ITGB1","LAMA1 - (ITGA1+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Myoid","Myoid","LAMA1","ITGA1_ITGB1",1.80515041543675e-05,0,"LAMA1_ITGA1_ITGB1","LAMA1 - (ITGA1+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Endothelial","Myoid","LAMA1","ITGA1_ITGB1",4.069492789647e-06,0,"LAMA1_ITGA1_ITGB1","LAMA1 - (ITGA1+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Spermatocyte","Myoid","LAMA2","ITGA1_ITGB1",4.22225357359267e-05,0,"LAMA2_ITGA1_ITGB1","LAMA2 - (ITGA1+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Spermatid","Myoid","LAMA2","ITGA1_ITGB1",4.86379957548116e-05,0,"LAMA2_ITGA1_ITGB1","LAMA2 - (ITGA1+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Leydig","Myoid","LAMA2","ITGA1_ITGB1",7.07538564848049e-05,0,"LAMA2_ITGA1_ITGB1","LAMA2 - (ITGA1+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Myoid","Myoid","LAMA2","ITGA1_ITGB1",0.000137871921228488,0,"LAMA2_ITGA1_ITGB1","LAMA2 - (ITGA1+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Fibroblast","Myoid","LAMA2","ITGA1_ITGB1",6.79855029020965e-05,0,"LAMA2_ITGA1_ITGB1","LAMA2 - (ITGA1+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Endothelial","Myoid","LAMA2","ITGA1_ITGB1",3.30793905621294e-06,0,"LAMA2_ITGA1_ITGB1","LAMA2 - (ITGA1+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Spermatocyte","Myoid","LAMA3","ITGA1_ITGB1",1.63654092151502e-05,0,"LAMA3_ITGA1_ITGB1","LAMA3 - (ITGA1+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Spermatid","Myoid","LAMA3","ITGA1_ITGB1",1.14927415796371e-05,0,"LAMA3_ITGA1_ITGB1","LAMA3 - (ITGA1+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Sertoli","Myoid","LAMA3","ITGA1_ITGB1",0.00112592232676507,0,"LAMA3_ITGA1_ITGB1","LAMA3 - (ITGA1+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Myoid","Myoid","LAMA3","ITGA1_ITGB1",1.57485825018519e-05,0,"LAMA3_ITGA1_ITGB1","LAMA3 - (ITGA1+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Myoid","Myoid","LAMB1","ITGA1_ITGB1",6.52441161915642e-05,0,"LAMB1_ITGA1_ITGB1","LAMB1 - (ITGA1+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Fibroblast","Myoid","LAMB1","ITGA1_ITGB1",1.13686941323795e-05,0,"LAMB1_ITGA1_ITGB1","LAMB1 - (ITGA1+ITGB1)","LAMININ","ECM-Receptor","KEGG: hsa04512"
