"pathway_name","category","evidence","lr_count_CellChatDB","lr_count_detected","lr_pair_example"
"LAMININ","ECM-Receptor","KEGG: hsa04512",143,42,"LAMA1_ITGA1_ITGB1"
"ADGRL","Cell-Cell Contact","PMID: 25728924;PMID: 34022279;PMID: 27091502;PMID: 35907405",32,8,"FLRT1_ADGRL1"
"CADM","Cell-Cell Contact","PMID: 24503895",8,2,"CADM1_CADM1"
"PTPRM","Cell-Cell Contact","KEGG: hsa04514",1,1,"PTPRM_PTPRM"
"NRG","Secreted Signaling","KEGG: hsa04012",14,4,"NRG1_ERBB3"
"COLLAGEN","ECM-Receptor","KEGG: hsa04512",187,24,"COL1A1_ITGA1_ITGB1"
"JAM","Cell-Cell Contact","PMID: 12070135",10,4,"JAM2_ITGA3_ITGB1"
"CDH","Cell-Cell Contact","KEGG: hsa04514",6,1,"CDH15_CDH15"
"Testosterone","Non-protein Signaling","HMRbase;uniprot",3,2,"Testosterone-Testosterone-AKR1D1_AR"
"NCAM","Cell-Cell Contact","PMID: 12791257",5,2,"NCAM1_FGFR1"
"Cholesterol","Non-protein Signaling","HMRbase;PMID:12467577;PDB:1N83",8,2,"Cholesterol-Cholesterol-CEL_RORA"
"APP","Cell-Cell Contact","PMID: 19849849",4,3,"APP_CD74"
"Estradiol","Non-protein Signaling","HMRbase;reactome",8,1,"Estradiol-E2-CYP19A1_ESR1"
"MPZ","Cell-Cell Contact","KEGG: hsa04514",3,1,"MPZ_MPZL1"
"NRXN","Cell-Cell Contact","KEGG: hsa04514",32,7,"NRXN1_NLGN1"
"PROS","Secreted Signaling","PMID: 29531161",3,3,"PROS1_AXL"
"BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264",76,8,"BMP2_BMPR1A_ACVR2A"
"IGF","Secreted Signaling","PMID: 14604834",8,1,"IGF1_IGF1R"
"PCDH","Cell-Cell Contact","PMID: 35253643; PMID: 32694982",53,1,"PCDHA10_PCDHA10"
"Androstenedione","Non-protein Signaling","HMRbase;reactome",1,1,"ANDROSTENEDIONE-CYP17A1_AR"
"PTPR","Cell-Cell Contact","PMID: 29674953;PMID: 23916315",11,2,"LRFN4_PTPRD"
"TENASCIN","ECM-Receptor","KEGG: hsa04512",28,4,"TNC_ITGA8_ITGB1"
"CLDN","Cell-Cell Contact","KEGG: hsa04514",4,1,"CLDN11_CLDN11"
"CD39","Cell-Cell Contact","PMID: 21677139",5,2,"ENTPD1_ADORA1"
"NECTIN","Cell-Cell Contact","PMID: 23027581",8,1,"NECTIN1_CADM3"
"Cort","Non-protein Signaling","PMID: 28116713",2,2,"Cort-CYP11B1_NR3C1"
"PDGF","Secreted Signaling","PMID: 15207812",6,1,"PDGFA_PDGFRA"
"GAS","Secreted Signaling","PMID: 27801848",3,3,"GAS6_AXL"
"EPHB","Cell-Cell Contact","PMID: 15114347",16,1,"EFNB1_EPHA4"
"CNTN","Cell-Cell Contact","KEGG: hsa04514",7,3,"NFASC_CNTN1_CNTNAP1"
"PSAP","Secreted Signaling","PMID: 23690594",2,1,"PSAP_GPR37L1"
"EPHA","Cell-Cell Contact","PMID: 15114347",36,1,"EFNA1_EPHA1"
"SEMA5","Cell-Cell Contact","PMID: 27533782",5,1,"SEMA5A_PLXNA1"
"EGF","Secreted Signaling","KEGG: hsa04012",18,1,"EGF_EGFR"
"2-AG","Non-protein Signaling","PMID: 15115777",6,1,"2arachidonoylglycerol-2AG-DAGLA_CNR1"
"RELN","ECM-Receptor","KEGG: hsa04512",3,1,"RELN_ITGA3_ITGB1"
"GAP","Cell-Cell Contact","PMID: 32532966;PMID: 15094344",10,3,"GJA5_GJA5"
"NGL","Cell-Cell Contact","KEGG: hsa04514",3,1,"LRRC4C_NTNG1"
"Netrin","Cell-Cell Contact","PMID: 22685302",8,4,"NTN1_DCC"
"FGF","Secreted Signaling","PMC: 4393358",60,4,"FGF1_FGFR1"
"SEMA6","Cell-Cell Contact","PMID: 22325954",7,2,"SEMA6D_PLXNA1_KDR"
"SEMA3","Secreted Signaling","PMID: 27533782",39,2,"SEMA3A_NRP1_PLXNA1"
"VCAM","Cell-Cell Contact","KEGG: hsa04514",4,2,"ITGA4_ITGB1_VCAM1"
"CD99","Cell-Cell Contact","PMID: 18234675",4,1,"CD99_PILRA"
"NT","Secreted Signaling","PMID: 27908981",11,1,"BDNF_NTRK2"
"NEGR","Cell-Cell Contact","KEGG: hsa04514",1,1,"NEGR1_NEGR1"
