"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"SSC","SSC","CADM1","CADM1",0.000463990697930605,0,"CADM1_CADM1","CADM1 - CADM1","CADM","Cell-Cell Contact","PMID: 24503895"
"Spermatid","SSC","CADM1","CADM1",0.000549145391970268,0.04,"CADM1_CADM1","CADM1 - CADM1","CADM","Cell-Cell Contact","PMID: 24503895"
"Sertoli","SSC","CADM1","CADM1",0.00557211648758162,0,"CADM1_CADM1","CADM1 - CADM1","CADM","Cell-Cell Contact","PMID: 24503895"
"Sertoli","Spermatocyte","CADM1","CADM1",0.0136942980575693,0,"CADM1_CADM1","CADM1 - CADM1","CADM","Cell-Cell Contact","PMID: 24503895"
"SSC","Spermatid","CADM1","CADM1",0.000549145391970268,0.04,"CADM1_CADM1","CADM1 - CADM1","CADM","Cell-Cell Contact","PMID: 24503895"
"Sertoli","Spermatid","CADM1","CADM1",0.00665382779793332,0,"CADM1_CADM1","CADM1 - CADM1","CADM","Cell-Cell Contact","PMID: 24503895"
"SSC","Sertoli","CADM1","CADM1",0.00557211648758162,0,"CADM1_CADM1","CADM1 - CADM1","CADM","Cell-Cell Contact","PMID: 24503895"
"Spermatocyte","Sertoli","CADM1","CADM1",0.0136942980575693,0,"CADM1_CADM1","CADM1 - CADM1","CADM","Cell-Cell Contact","PMID: 24503895"
"Spermatid","Sertoli","CADM1","CADM1",0.00665382779793332,0,"CADM1_CADM1","CADM1 - CADM1","CADM","Cell-Cell Contact","PMID: 24503895"
"Sertoli","Sertoli","CADM1","CADM1",0.0666974664526969,0,"CADM1_CADM1","CADM1 - CADM1","CADM","Cell-Cell Contact","PMID: 24503895"
"SSC","SSC","CADM1","NECTIN3",0.000105823001662247,0,"CADM1_NECTIN3","CADM1 - NECTIN3","CADM","Cell-Cell Contact","uniprot"
"Spermatocyte","SSC","CADM1","NECTIN3",0.000241016251045159,0,"CADM1_NECTIN3","CADM1 - NECTIN3","CADM","Cell-Cell Contact","uniprot"
"Spermatid","SSC","CADM1","NECTIN3",0.000117976173293825,0,"CADM1_NECTIN3","CADM1 - NECTIN3","CADM","Cell-Cell Contact","uniprot"
"Sertoli","SSC","CADM1","NECTIN3",0.00130042793202613,0,"CADM1_NECTIN3","CADM1 - NECTIN3","CADM","Cell-Cell Contact","uniprot"
"SSC","Spermatocyte","CADM1","NECTIN3",0.000947461246305596,0,"CADM1_NECTIN3","CADM1 - NECTIN3","CADM","Cell-Cell Contact","uniprot"
"Spermatocyte","Spermatocyte","CADM1","NECTIN3",0.00221868460947735,0,"CADM1_NECTIN3","CADM1 - NECTIN3","CADM","Cell-Cell Contact","uniprot"
"Spermatid","Spermatocyte","CADM1","NECTIN3",0.00108316556102503,0,"CADM1_NECTIN3","CADM1 - NECTIN3","CADM","Cell-Cell Contact","uniprot"
"Sertoli","Spermatocyte","CADM1","NECTIN3",0.0115282401138093,0,"CADM1_NECTIN3","CADM1 - NECTIN3","CADM","Cell-Cell Contact","uniprot"
"Endothelial","Spermatocyte","CADM1","NECTIN3",0.000126094122593678,0,"CADM1_NECTIN3","CADM1 - NECTIN3","CADM","Cell-Cell Contact","uniprot"
"SSC","Spermatid","CADM1","NECTIN3",0.000446044474052835,0,"CADM1_NECTIN3","CADM1 - NECTIN3","CADM","Cell-Cell Contact","uniprot"
"Spermatocyte","Spermatid","CADM1","NECTIN3",0.00104533223308672,0,"CADM1_NECTIN3","CADM1 - NECTIN3","CADM","Cell-Cell Contact","uniprot"
"Spermatid","Spermatid","CADM1","NECTIN3",0.000510294199877523,0,"CADM1_NECTIN3","CADM1 - NECTIN3","CADM","Cell-Cell Contact","uniprot"
"Sertoli","Spermatid","CADM1","NECTIN3",0.00542575340669467,0,"CADM1_NECTIN3","CADM1 - NECTIN3","CADM","Cell-Cell Contact","uniprot"
"Endothelial","Spermatid","CADM1","NECTIN3",5.94594387658848e-05,0,"CADM1_NECTIN3","CADM1 - NECTIN3","CADM","Cell-Cell Contact","uniprot"
"SSC","Leydig","CADM1","NECTIN3",8.91856653937213e-05,0,"CADM1_NECTIN3","CADM1 - NECTIN3","CADM","Cell-Cell Contact","uniprot"
"Spermatocyte","Leydig","CADM1","NECTIN3",0.000202498866974768,0,"CADM1_NECTIN3","CADM1 - NECTIN3","CADM","Cell-Cell Contact","uniprot"
"Spermatid","Leydig","CADM1","NECTIN3",9.91508022419091e-05,0,"CADM1_NECTIN3","CADM1 - NECTIN3","CADM","Cell-Cell Contact","uniprot"
"Sertoli","Leydig","CADM1","NECTIN3",0.00109720780977519,0,"CADM1_NECTIN3","CADM1 - NECTIN3","CADM","Cell-Cell Contact","uniprot"
"SSC","SSC","PTPRM","PTPRM",0.000647653897615372,0,"PTPRM_PTPRM","PTPRM - PTPRM","PTPRM","Cell-Cell Contact","KEGG: hsa04514"
"Sertoli","SSC","PTPRM","PTPRM",0.0066267139440054,0,"PTPRM_PTPRM","PTPRM - PTPRM","PTPRM","Cell-Cell Contact","KEGG: hsa04514"
"SSC","Sertoli","PTPRM","PTPRM",0.0066267139440054,0,"PTPRM_PTPRM","PTPRM - PTPRM","PTPRM","Cell-Cell Contact","KEGG: hsa04514"
"Sertoli","Sertoli","PTPRM","PTPRM",0.0677245146559487,0,"PTPRM_PTPRM","PTPRM - PTPRM","PTPRM","Cell-Cell Contact","KEGG: hsa04514"
"SSC","Sertoli","LAMA1","ITGAV_ITGB8",0.000311151509036394,0,"LAMA1_ITGAV_ITGB8","LAMA1 - (ITGAV+ITGB8)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Spermatocyte","Sertoli","LAMA1","ITGAV_ITGB8",0.000282361009904465,0,"LAMA1_ITGAV_ITGB8","LAMA1 - (ITGAV+ITGB8)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Spermatid","Sertoli","LAMA1","ITGAV_ITGB8",8.19576237567527e-05,0,"LAMA1_ITGAV_ITGB8","LAMA1 - (ITGAV+ITGB8)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Sertoli","Sertoli","LAMA1","ITGAV_ITGB8",0.00904535495393617,0,"LAMA1_ITGAV_ITGB8","LAMA1 - (ITGAV+ITGB8)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Spermatocyte","Sertoli","LAMA2","ITGAV_ITGB8",0.000194745179800207,0,"LAMA2_ITGAV_ITGB8","LAMA2 - (ITGAV+ITGB8)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Spermatid","Sertoli","LAMA2","ITGAV_ITGB8",0.000200692014183616,0,"LAMA2_ITGAV_ITGB8","LAMA2 - (ITGAV+ITGB8)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Leydig","Sertoli","LAMA2","ITGAV_ITGB8",0.000215085575327704,0,"LAMA2_ITGAV_ITGB8","LAMA2 - (ITGAV+ITGB8)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Myoid","Sertoli","LAMA2","ITGAV_ITGB8",0.00116278466300319,0,"LAMA2_ITGAV_ITGB8","LAMA2 - (ITGAV+ITGB8)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Fibroblast","Sertoli","LAMA2","ITGAV_ITGB8",0.00169545821353941,0,"LAMA2_ITGAV_ITGB8","LAMA2 - (ITGAV+ITGB8)","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Endothelial","Sertoli","LAMA2","ITGAV_ITGB8",0.000122525117660515,0,"LAMA2_ITGAV_ITGB8","LAMA2 - (ITGAV+ITGB8)","LAMININ","ECM-Receptor","KEGG: hsa04512"
