"pathway_name","category","evidence","lr_count_CellChatDB","lr_count_detected","lr_pair_example"
"CADM","Cell-Cell Contact","PMID: 24503895",8,2,"CADM1_CADM1"
"PTPRM","Cell-Cell Contact","KEGG: hsa04514",1,1,"PTPRM_PTPRM"
"LAMININ","ECM-Receptor","KEGG: hsa04512",143,12,"LAMA1_ITGA1_ITGB1"
"JAM","Cell-Cell Contact","PMID: 12070135",10,4,"JAM2_ITGA3_ITGB1"
"ADGRL","Cell-Cell Contact","PMID: 25728924;PMID: 34022279;PMID: 27091502;PMID: 35907405",32,8,"FLRT1_ADGRL1"
"CDH","Cell-Cell Contact","KEGG: hsa04514",6,1,"CDH15_CDH15"
"NCAM","Cell-Cell Contact","PMID: 12791257",5,1,"NCAM1_FGFR1"
"NRG","Secreted Signaling","KEGG: hsa04012",14,4,"NRG1_ERBB3"
"MPZ","Cell-Cell Contact","KEGG: hsa04514",3,1,"MPZ_MPZL1"
"Testosterone","Non-protein Signaling","HMRbase;uniprot",3,2,"Testosterone-Testosterone-AKR1D1_AR"
"APP","Cell-Cell Contact","PMID: 19849849",4,1,"APP_CD74"
"COLLAGEN","ECM-Receptor","KEGG: hsa04512",187,7,"COL1A1_ITGA1_ITGB1"
"IGF","Secreted Signaling","PMID: 14604834",8,1,"IGF1_IGF1R"
"Estradiol","Non-protein Signaling","HMRbase;reactome",8,1,"Estradiol-E2-CYP19A1_ESR1"
"PDGF","Secreted Signaling","PMID: 15207812",6,1,"PDGFA_PDGFRA"
"NRXN","Cell-Cell Contact","KEGG: hsa04514",32,5,"NRXN1_NLGN1"
"PROS","Secreted Signaling","PMID: 29531161",3,3,"PROS1_AXL"
"BMP","Secreted Signaling","KEGG: hsa04350; PMID:26893264",76,5,"BMP2_BMPR1A_ACVR2A"
"CLDN","Cell-Cell Contact","KEGG: hsa04514",4,1,"CLDN11_CLDN11"
"PCDH","Cell-Cell Contact","PMID: 35253643; PMID: 32694982",53,1,"PCDHA10_PCDHA10"
"CD39","Cell-Cell Contact","PMID: 21677139",5,1,"ENTPD1_ADORA1"
"EPHA","Cell-Cell Contact","PMID: 15114347",36,1,"EFNA1_EPHA1"
"Androstenedione","Non-protein Signaling","HMRbase;reactome",1,1,"ANDROSTENEDIONE-CYP17A1_AR"
"RELN","ECM-Receptor","KEGG: hsa04512",3,1,"RELN_ITGA3_ITGB1"
"TENASCIN","ECM-Receptor","KEGG: hsa04512",28,1,"TNC_ITGA8_ITGB1"
"GAP","Cell-Cell Contact","PMID: 32532966;PMID: 15094344",10,1,"GJA5_GJA5"
