horse_symbol,horse_gene_id,human_gene_id,human_symbol,status
A1BG,100064369,1.0,A1BG,OK
A1CF,100071844,29974.0,A1CF,OK
A2M,100061692,2.0,A2M,OK
A2ML1,100061421,144568.0,A2ML1,OK
A3F2,100147481,,,NO_ORTHOLOG
A3GALT2,106782783,127550.0,A3GALT2,OK
A4GALT,102150730,53947.0,A4GALT,OK
A4GNT,100033872,51146.0,A4GNT,OK
AAAS,100063811,8086.0,AAAS,OK
AACS,100061661,65985.0,AACS,OK
AADAC,100056411,,,NO_ORTHOLOG
AADACL2,100056680,344752.0,AADACL2,OK
AADACL3,100055454,,,NO_ORTHOLOG
AADAT,100067095,51166.0,AADAT,OK
AAGAB,100052900,79719.0,AAGAB,OK
AAK1,100050738,22848.0,AAK1,OK
AAMDC,100051441,28971.0,AAMDC,OK
AAMP,100058415,14.0,AAMP,OK
AANAT,100058770,15.0,AANAT,OK
AARD,111774890,441376.0,AARD,OK
AARS1,100054983,16.0,AARS1,OK
AARS2,100067843,57505.0,AARS2,OK
AARSD1,100052171,80755.0,AARSD1,OK
AASDH,100053858,132949.0,AASDH,OK
AASDHPPT,100061627,60496.0,AASDHPPT,OK
AASS,100056260,10157.0,AASS,OK
AATF,100057601,26574.0,AATF,OK
AATK,100056201,9625.0,AATK,OK
ABAT,100051470,18.0,ABAT,OK
ABCA1,100054241,19.0,ABCA1,OK
ABCA10,100062390,10349.0,ABCA10,OK
ABCA12,100050461,26154.0,ABCA12,OK
ABCA13,100066185,154664.0,ABCA13,OK
ABCA14,100058987,,,NO_ORTHOLOG
ABCA16,100058833,,,NO_ORTHOLOG
ABCA17,100068332,,,NO_ORTHOLOG
ABCA2,100067889,20.0,ABCA2,OK
ABCA3,100068313,21.0,ABCA3,OK
ABCA4,100058746,24.0,ABCA4,OK
ABCA5,100053093,23461.0,ABCA5,OK
ABCA6,100062487,23460.0,ABCA6,OK
ABCA7,111774161,10347.0,ABCA7,OK
ABCA8,100062560,10351.0,ABCA8,OK
ABCA9,100062524,10350.0,ABCA9,OK
ABCB1,100034074,5243.0,ABCB1,OK
ABCB10,100065938,23456.0,ABCB10,OK
ABCB11,100052359,8647.0,ABCB11,OK
ABCB4,100147513,5244.0,ABCB4,OK
ABCB5,100067103,340273.0,ABCB5,OK
ABCB6,100059171,10058.0,ABCB6,OK
ABCB7,100060544,22.0,ABCB7,OK
ABCB8,100064064,11194.0,ABCB8,OK
ABCB9,100058934,23457.0,ABCB9,OK
ABCC1,791240,4363.0,ABCC1,OK
ABCC10,100067430,89845.0,ABCC10,OK
