Gene stable ID,Gene stable ID version,Transcript stable ID,Transcript stable ID version,Human gene stable ID,Human gene name,%id. target Human gene identical to query gene,%id. query gene identical to target Human gene,"Human orthology confidence [0 low, 1 high]"
ENSECAG00000027684,ENSECAG00000027684.1,ENSECAT00000029856,ENSECAT00000029856.1,ENSG00000198888,MT-ND1,78.6164,78.6164,1
ENSECAG00000027681,ENSECAG00000027681.1,ENSECAT00000029834,ENSECAT00000029834.1,ENSG00000198763,MT-ND2,63.0058,62.8242,1
ENSECAG00000027689,ENSECAG00000027689.1,ENSECAT00000029861,ENSECAT00000029861.1,ENSG00000198804,MT-CO1,92.2179,92.3977,1
ENSECAG00000027692,ENSECAG00000027692.1,ENSECAT00000029837,ENSECAT00000029837.1,ENSG00000198712,MT-CO2,73.1278,73.1278,1
ENSECAG00000027679,ENSECAG00000027679.1,ENSECAT00000029832,ENSECAT00000029832.1,ENSG00000228253,MT-ATP8,49.2537,48.5294,0
ENSECAG00000027671,ENSECAG00000027671.1,ENSECAT00000029851,ENSECAT00000029851.1,ENSG00000198899,MT-ATP6,77.8761,77.8761,1
ENSECAG00000027672,ENSECAG00000027672.1,ENSECAT00000029868,ENSECAT00000029868.1,ENSG00000198938,MT-CO3,86.59,86.59,1
ENSECAG00000027695,ENSECAG00000027695.1,ENSECAT00000029835,ENSECAT00000029835.1,ENSG00000198840,MT-ND3,74.7826,74.7826,1
ENSECAG00000027691,ENSECAG00000027691.1,ENSECAT00000029855,ENSECAT00000029855.1,ENSG00000212907,MT-ND4L,72.449,72.449,1
ENSECAG00000027675,ENSECAG00000027675.1,ENSECAT00000029858,ENSECAT00000029858.1,ENSG00000198886,MT-ND4,74.2919,74.2919,1
ENSECAG00000027694,ENSECAG00000027694.1,ENSECAT00000029862,ENSECAT00000029862.1,ENSG00000198786,MT-ND5,70.0331,70.1493,1
ENSECAG00000027677,ENSECAG00000027677.1,ENSECAT00000029841,ENSECAT00000029841.1,ENSG00000198695,MT-ND6,61.7143,62.069,1
ENSECAG00000027669,ENSECAG00000027669.1,ENSECAT00000029845,ENSECAT00000029845.1,ENSG00000198727,MT-CYB,80.4749,80.2632,1
ENSECAG00000022696,ENSECAG00000022696.4,ENSECAT00000048007,ENSECAT00000048007.2,ENSG00000151012,SLC7A11,95.8506,92.2156,1
ENSECAG00000022696,ENSECAG00000022696.4,ENSECAT00000029084,ENSECAT00000029084.3,ENSG00000151012,SLC7A11,95.8506,92.2156,1
ENSECAG00000022696,ENSECAG00000022696.4,ENSECAT00000024226,ENSECAT00000024226.3,ENSG00000151012,SLC7A11,95.8506,92.2156,1
ENSECAG00000031416,ENSECAG00000031416.2,ENSECAT00000031962,ENSECAT00000031962.2,ENSG00000254535,PABPC4L,89.7297,89.7297,1
ENSECAG00000023838,ENSECAG00000023838.3,ENSECAT00000025577,ENSECAT00000025577.3,ENSG00000151470,C4orf33,90.9548,90.9548,1
ENSECAG00000024050,ENSECAG00000024050.4,ENSECAT00000066801,ENSECAT00000066801.2,ENSG00000151466,SCLT1,86.7733,86.7733,1
ENSECAG00000024050,ENSECAG00000024050.4,ENSECAT00000068581,ENSECAT00000068581.2,ENSG00000151466,SCLT1,86.7733,86.7733,1
ENSECAG00000024050,ENSECAG00000024050.4,ENSECAT00000025970,ENSECAT00000025970.3,ENSG00000151466,SCLT1,86.7733,86.7733,1
ENSECAG00000024050,ENSECAG00000024050.4,ENSECAT00000070587,ENSECAT00000070587.2,ENSG00000151466,SCLT1,86.7733,86.7733,1
ENSECAG00000023184,ENSECAG00000023184.3,ENSECAT00000035455,ENSECAT00000035455.2,ENSG00000138650,PCDH10,96.878,98.4615,1
ENSECAG00000023184,ENSECAG00000023184.3,ENSECAT00000024768,ENSECAT00000024768.3,ENSG00000138650,PCDH10,96.878,98.4615,1
ENSECAG00000023184,ENSECAG00000023184.3,ENSECAT00000141775,ENSECAT00000141775.1,ENSG00000138650,PCDH10,96.878,98.4615,1
ENSECAG00000021948,ENSECAG00000021948.3,ENSECAT00000023345,ENSECAT00000023345.3,ENSG00000109390,NDUFC1,76.8293,82.8947,1
ENSECAG00000021948,ENSECAG00000021948.3,ENSECAT00000109373,ENSECAT00000109373.1,ENSG00000109390,NDUFC1,76.8293,82.8947,1
ENSECAG00000021948,ENSECAG00000021948.3,ENSECAT00000079811,ENSECAT00000079811.1,ENSG00000109390,NDUFC1,76.8293,82.8947,1
ENSECAG00000021948,ENSECAG00000021948.3,ENSECAT00000138131,ENSECAT00000138131.1,ENSG00000109390,NDUFC1,76.8293,82.8947,1
ENSECAG00000019219,ENSECAG00000019219.4,ENSECAT00000078067,ENSECAT00000078067.2,ENSG00000145391,SETD7,72.1649,95.6284,1
ENSECAG00000019219,ENSECAG00000019219.4,ENSECAT00000020466,ENSECAT00000020466.3,ENSG00000145391,SETD7,72.1649,95.6284,1
ENSECAG00000019219,ENSECAG00000019219.4,ENSECAT00000089406,ENSECAT00000089406.1,ENSG00000145391,SETD7,72.1649,95.6284,1
ENSECAG00000019219,ENSECAG00000019219.4,ENSECAT00000039163,ENSECAT00000039163.2,ENSG00000145391,SETD7,72.1649,95.6284,1
ENSECAG00000019611,ENSECAG00000019611.3,ENSECAT00000020853,ENSECAT00000020853.3,ENSG00000172007,RAB33B,82.1818,98.69,1
ENSECAG00000019611,ENSECAG00000019611.3,ENSECAT00000103219,ENSECAT00000103219.1,ENSG00000172007,RAB33B,82.1818,98.69,1
ENSECAG00000019842,ENSECAG00000019842.4,ENSECAT00000021674,ENSECAT00000021674.4,ENSG00000164134,NAA15,99.4226,99.4226,1
ENSECAG00000019842,ENSECAG00000019842.4,ENSECAT00000052638,ENSECAT00000052638.3,ENSG00000164134,NAA15,99.4226,99.4226,1
ENSECAG00000019842,ENSECAG00000019842.4,ENSECAT00000059396,ENSECAT00000059396.3,ENSG00000164134,NAA15,99.4226,99.4226,1
ENSECAG00000022077,ENSECAG00000022077.4,ENSECAT00000122531,ENSECAT00000122531.1,ENSG00000109381,ELF2,92.7536,86.3406,1
ENSECAG00000022077,ENSECAG00000022077.4,ENSECAT00000052016,ENSECAT00000052016.3,ENSG00000109381,ELF2,92.7536,86.3406,1
ENSECAG00000022077,ENSECAG00000022077.4,ENSECAT00000094084,ENSECAT00000094084.1,ENSG00000109381,ELF2,92.7536,86.3406,1
ENSECAG00000022077,ENSECAG00000022077.4,ENSECAT00000023628,ENSECAT00000023628.4,ENSG00000109381,ELF2,92.7536,86.3406,1
ENSECAG00000022077,ENSECAG00000022077.4,ENSECAT00000078178,ENSECAT00000078178.2,ENSG00000109381,ELF2,92.7536,86.3406,1
ENSECAG00000022077,ENSECAG00000022077.4,ENSECAT00000023598,ENSECAT00000023598.3,ENSG00000109381,ELF2,92.7536,86.3406,1
ENSECAG00000022676,ENSECAG00000022676.3,ENSECAT00000079472,ENSECAT00000079472.1,ENSG00000151014,NOCT,72.4077,95.5916,1
ENSECAG00000022676,ENSECAG00000022676.3,ENSECAT00000024194,ENSECAT00000024194.3,ENSG00000151014,NOCT,72.4077,95.5916,1
