"external_gene_name","hsapiens_homolog_associated_gene_name"
"",""
"MT-ND1","MT-ND1"
"MT-ND2","MT-ND2"
"MT-CO1","MT-CO1"
"MT-CO2","MT-CO2"
"MT-ATP8","MT-ATP8"
"MT-ATP6","MT-ATP6"
"MT-CO3","MT-CO3"
"MT-ND3","MT-ND3"
"MT-ND4L","MT-ND4L"
"MT-ND4","MT-ND4"
"MT-ND5","MT-ND5"
"MT-ND6","MT-ND6"
"MT-CYB","MT-CYB"
"SLC7A11","SLC7A11"
"PABPC4L","PABPC4L"
"C2H4orf33","C4orf33"
"SCLT1","SCLT1"
"PCDH10","PCDH10"
"NDUFC1","NDUFC1"
"SETD7","SETD7"
"RAB33B","RAB33B"
"NAA15","NAA15"
"ELF2","ELF2"
"NOCT","NOCT"
"","ENO1"
"PCDH18","PCDH18"
"ABHD18","ABHD18"
"PGRMC2","PGRMC2"
"LARP1B","LARP1B"
"MFSD8","MFSD8"
"PLK4","PLK4"
"CCKAR","CCKAR"
"CACHD1","CACHD1"
"LGI2","LGI2"
"","UNG"
"HSPA4L","HSPA4L"
"STIM2","STIM2"
"C5H1orf87","C1orf87"
"SLC25A31","SLC25A31"
"UBE2U","UBE2U"
"INTU","INTU"
"RBPJ","RBPJ"
"ROR1","ROR1"
"JADE1","JADE1"
"PDE4B","PDE4B"
"TBC1D19","TBC1D19"
"L1TD1","L1TD1"
"PATJ","PATJ"
"TM2D1","TM2D1"
"SMIM20","SMIM20"
"NFIA","NFIA"
"PCDH7","PCDH7"
"SGIP1","SGIP1"
"SEL1L3","SEL1L3"
"SLC34A2","SLC34A2"
"ANAPC4","ANAPC4"
"U7",""
"PGM1","PGM1"
"U6",""
"MGARP","MGARP"
"ZCCHC4","ZCCHC4"
"ATG4C","ATG4C"
"PI4K2B","PI4K2B"
"SEPSECS","SEPSECS"
"DOCK7","DOCK7"
"DTHD1","DTHD1"
"ANGPTL3","ANGPTL3"
"USP1","USP1"
"KANK4","KANK4"
"ARAP2","ARAP2"
"EFCAB7","EFCAB7"
"ITGB3BP","ITGB3BP"
"ALG6","ALG6"
"POLE2","DNAAF2"
"LEPR","LEPR"
"LRR1","LRR1"
"MGAT2","MGAT2"
"LEPROT","LEPROT"
"","RPL36AL"
"KLHDC1","KLHDC1"
"DNAJC6","DNAJC6"
"KLHDC2","KLHDC2"
"NEMF","NEMF"
"ARF6","ARF6"
"PYGL","PYGL"
"AK4","AK4P3"
"AK4","AK4"
"U1","RNU1-42P"
"ABHD12B","ABHD12B"
"U6","RNU6-576P"
"eca-mir-1261",""
"NWD2","NWD2"
"TRIM9","TRIM9"
"JAK1","JAK1"
"TMX1","TMX1"
"FRMD6","FRMD6"
"GNG2","GNG2"
"RAVER2","RAVER2"
"RTRAF","RTRAF"
"NID2","NID2"
"PTGDR","PTGDR"
"VCPKMT","VCPKMT"
"CDKL1","CDKL1"
"SOS2","SOS2"
"L2HGDH","L2HGDH"
"CAND1","CAND1"
"eca-mir-101-1","MIR101-1"
"IFNG","IFNG"
"DMAC2L","DMAC2L"
"IL26","IL26"
"TSPAN8","TSPAN8"
"MAP4K5","MAP4K5"
"","ZNF133"
"KCNA4","KCNA4"
"LIN7C","LIN7C"
"DYRK2","DYRK2"
"ATL1","ATL1"
"IL22","IL22"
"SAV1","SAV1"
"BDNF","BDNF"
"TBC1D30","TBC1D30"
"WIF1","WIF1"
"LUZP2","LUZP2"
"NIN","NIN"
"LEMD3","LEMD3"
"FIBIN","FIBIN"
"BBOX1","BBOX1"
"CCDC34","CCDC34"
"ADGRL3","ADGRL3"
"MSRB3","MSRB3"
"MDGA2","MDGA2"
"LGR4","LGR4"
"RPL10L","RPL10L"
"CCDC73","CCDC73"
"HMGA2","HMGA2"
"ZFC3H1","ZFC3H1"
"EIF3M","EIF3M"
"THAP2","THAP2"
"PPDPFL","PPDPFL"
"TMEM19","TMEM19"
"CHIC2","CHIC2"
"NPBWR1","NPBWR1"
"ALKAL1","ALKAL1"
"","RABL2B"
"","RABL2A"
"RB1CC1","RB1CC1"
"PRRG4","PRRG4"
"GSX2","GSX2"
"QSER1","QSER1"
"CNOT2","CNOT2"
"PDGFRA","PDGFRA"
"PCMTD1","PCMTD1"
"RCN1","RCN1"
"PXDNL","PXDNL"
"WT1","WT1"
"TECRL","TECRL"
"CCDC179","CCDC179"
"SNTG1","SNTG1"
"ANO3","ANO3"
"KCNMB4","KCNMB4"
"LNX1","LNX1"
"Metazoa_SRP",""
"MUC15","MUC15"
"Metazoa_SRP","RN7SL1"
"SNORA70","SNORA70"
"FIP1L1","FIP1L1"
"SLC5A12","SLC5A12"
"BHLHE22","BHLHE22"
"OPRK1","OPRK1"
"KIF18A","KIF18A"
"","GAPDH"
"CHD7","CHD7"
"METTL15","METTL15"
"RUNX1T1","RUNX1T1"
"SCFD2","SCFD2"
"","FSHB"
